Zip,Tested,Positive_Cases
60002,1898,130
60004,9294,404
60005,4673,255
60007,4114,384
60008,4617,378
60010,4424,222
60012,1007,97
60013,1963,150
60014,4625,366
60015,3462,212
60016,9339,1184
60018,5465,712
60020,1158,50
60021,412,31
60022,946,38
60025,5615,457
60026,3454,187
60029,112,12
60030,4100,229
60031,5257,394
60033,1707,243
60035,5261,305
60040,1036,185
60041,971,57
60042,727,59
60043,318,19
60044,1647,116
60045,2929,139
60046,3370,248
60047,6170,541
60048,3175,194
60050,3295,251
60051,2217,147
60053,3788,338
60056,6834,694
60060,3934,487
60061,2925,202
60062,7388,369
60064,2556,682
60067,6102,289
60068,5281,367
60069,2718,105
60070,2586,287
60071,308,19
60073,8485,1162
60074,4507,514
60076,5838,582
60077,4641,445
60079,131,13
60081,734,50
60083,1290,115
60084,1681,203
60085,13309,2546
60087,4830,723
60088,763,249
60089,4804,356
60090,5840,855
60091,3123,188
60093,2652,199
60096,619,49
60097,929,50
60098,4472,402
60099,4865,626
60101,5532,864
60102,2841,218
60103,4710,336
60104,3429,468
60106,4369,563
60107,5891,701
60108,4352,365
60109,348,13
60110,4168,782
60112,458,32
60115,4971,326
60118,1478,99
60119,980,44
60120,7288,1458
60123,7158,979
60124,2238,160
60126,6674,417
60130,4071,177
60131,2692,383
60133,5688,805
60134,3140,227
60135,736,64
60136,745,75
60137,4232,197
60139,4973,705
60140,1672,117
60141,981,24
60142,2847,137
60143,1723,207
60145,181,10
60146,245,11
60148,6282,451
60151,342,21
60152,1145,88
60153,3848,554
60154,2907,233
60155,1228,190
60156,2426,186
60157,244,12
60160,4361,795
60162,1950,181
60163,810,102
60164,5335,561
60165,773,186
60169,4076,443
60171,1468,143
60172,2960,259
60173,1201,116
60174,4170,231
60175,2227,134
60176,1384,179
60177,2954,349
60178,2021,84
60181,3418,315
60184,220,10
60185,5338,814
60187,4169,185
60188,5465,551
60189,3364,132
60190,1703,74
60191,1797,241
60192,1346,79
60193,5270,307
60194,3283,203
60195,392,21
60201,6527,359
60202,5259,468
60203,682,42
60301,488,33
60302,5397,251
60304,2346,92
60305,1437,84
60401,1243,59
60402,10857,1532
60403,2826,259
60404,2437,136
60406,4547,569
60408,754,28
60409,6799,713
60410,1246,59
60411,10332,1092
60415,2233,233
60416,715,29
60417,2607,201
60418,920,135
60419,4737,459
60420,450,13
60421,330,16
60422,1642,105
60423,3292,209
60424,163,6
60425,2221,195
60426,5214,541
60428,2255,246
60429,3260,255
60430,3391,308
60431,3757,262
60432,3128,512
60433,3307,357
60434,408,171
60435,8665,772
60436,2984,280
60438,4392,467
60439,2998,145
60440,9792,960
60441,3173,257
60442,843,57
60443,4055,420
60445,2714,205
60446,6168,608
60447,1337,65
60448,2270,189
60449,1296,90
60450,2091,85
60451,3015,180
60452,3306,283
60453,8574,897
60455,2619,393
60456,561,56
60457,1839,158
60458,1771,177
60459,4137,482
60461,907,68
60462,5010,417
60463,2099,268
60464,1188,67
60465,2028,299
60466,4461,535
60467,2774,214
60468,640,41
60469,906,112
60471,2529,241
60472,954,76
60473,5446,492
60475,1280,107
60476,436,37
60477,4297,301
60478,3854,379
60480,759,45
60481,1564,39
60482,1105,120
60484,1080,141
60487,2551,191
60490,2850,173
60491,2039,177
60501,1815,318
60502,2277,129
60503,1594,88
60504,4720,404
60505,12068,2106
60506,10209,1213
60510,3774,156
60512,137,6
60513,3072,189
60514,1226,63
60515,2885,129
60516,3259,167
60517,4094,265
60518,213,9
60520,266,11
60521,2635,223
60523,1525,123
60525,5981,352
60526,3664,106
60527,5196,305
60531,158,7
60532,3481,168
60534,1695,199
60538,3641,358
60540,4784,178
60541,260,12
60542,2689,221
60543,4519,338
60544,4151,222
60545,1771,170
60546,3856,184
60548,2024,140
60551,333,30
60552,436,14
60554,1276,59
60555,1748,148
60558,1788,92
60559,3423,360
60560,2626,158
60561,2888,145
60563,5344,219
60564,4380,244
60565,4120,229
60585,2660,139
60586,5869,480
60601,1750,93
60602,371,16
60603,181,9
60604,248,24
60605,4348,244
60606,1336,40
60607,4453,512
60608,13020,1918
60609,11516,1951
60610,6276,350
60611,6000,225
60612,7342,768
60613,6979,470
60614,10682,643
60615,6860,457
60616,9542,544
60617,14206,1342
60618,15270,1497
60619,13128,1061
60620,12341,1252
60621,5630,602
60622,9241,743
60623,15492,3622
60624,6618,970
60625,13262,1575
60626,13051,1190
60628,11553,1266
60629,17904,3646
60630,8308,893
60631,5941,392
60632,14664,3402
60633,3377,333
60634,14619,1652
60636,5632,835
60637,9013,701
60638,9108,1246
60639,18980,3672
60640,14262,944
60641,13712,1685
60642,3484,233
60643,9930,842
60644,9977,1357
60645,8947,1151
60646,5146,418
60647,15175,1575
60649,9605,909
60651,11224,1907
60652,7146,1081
60653,8158,605
60654,2783,192
60655,4924,313
60656,4337,335
60657,9084,451
60659,5968,848
60660,6496,509
60661,1239,64
60680,137,9
60706,5084,474
60707,7730,870
60712,2449,198
60714,7297,956
60803,2818,305
60804,15234,3139
60805,2782,259
60827,3978,427
60901,7471,769
60911,182,13
60912,70,6
60913,156,9
60914,4872,256
60915,2026,109
60919,55,7
60922,365,20
60927,673,55
60928,76,7
60930,365,7
60936,637,11
60938,430,11
60940,429,23
60941,223,8
60942,819,11
60950,2898,125
60953,252,6
60954,1485,52
60955,217,17
60957,611,14
60958,337,26
60964,730,45
60970,848,23
61008,4794,503
61010,1253,38
61011,231,13
61012,220,25
61016,581,51
61019,331,16
61020,293,18
61021,2173,100
61024,357,8
61025,322,9
61032,4477,244
61036,979,22
61038,100,6
61041,101,6
61047,141,6
61048,280,7
61054,511,20
61061,695,24
61063,382,12
61064,271,16
61065,1069,83
61068,1809,178
61071,694,49
61072,1029,47
61073,1912,96
61080,833,65
61081,1264,102
61084,215,13
61085,268,8
61088,565,15
61101,3544,353
61102,2889,310
61103,4657,344
61104,2567,349
61107,4594,308
61108,4766,476
61109,3593,324
61111,2902,136
61114,2313,130
61115,2534,154
61201,5822,345
61231,466,7
61232,151,7
61235,171,8
61238,336,10
61239,162,8
61240,936,28
61241,885,22
61244,4640,308
61252,453,36
61254,1330,25
61256,250,9
61264,1373,49
61265,6767,394
61270,507,15
61273,376,13
61275,436,21
61282,1530,75
61284,232,10
61301,974,9
61310,278,6
61314,59,6
61341,1068,48
61342,596,30
61348,311,7
61350,2759,49
61354,852,13
61356,1083,15
61360,196,9
61362,699,11
61364,1626,18
61401,3161,150
61410,200,8
61420,67,6
61443,1036,24
61455,1674,91
61462,965,120
61469,165,7
61473,103,6
61520,1738,6
61523,1397,9
61525,1124,40
61528,333,9
61534,155,6
61547,361,10
61548,1136,25
61550,2351,30
61554,4981,55
61568,340,6
61571,2746,36
61602,251,8
61603,2505,125
61604,4391,120
61605,2019,88
61606,647,22
61607,1120,16
61610,570,8
61611,2958,52
61614,4683,179
61615,3638,72
61616,1187,20
61701,4518,83
61704,3519,98
61705,1514,23
61726,225,6
61727,697,12
61729,94,6
61739,483,6
61745,382,10
61748,273,7
61761,4426,90
61764,1326,24
61801,5118,62
61802,4670,138
61820,5776,168
61821,7235,203
61822,5338,92
61832,3277,49
61834,632,7
61842,345,7
61843,596,23
61853,3573,70
61856,1229,11
61866,3076,208
61873,1018,18
61874,2448,42
61880,771,18
61883,324,6
61884,200,6
61910,488,26
61911,286,16
61920,2979,117
61938,3636,74
61943,151,6
61944,734,16
61951,905,10
61953,781,17
61956,422,6
62002,2361,187
62010,553,51
62012,569,17
62014,240,6
62018,205,13
62024,569,19
62025,2580,176
62033,648,8
62034,1655,95
62035,1846,78
62040,3788,257
62049,1247,21
62052,1069,27
62056,1468,40
62059,63,9
62060,622,59
62062,1505,25
62067,151,8
62069,376,12
62084,67,6
62088,915,9
62090,149,16
62095,750,29
62201,1194,145
62203,840,89
62204,741,84
62205,1041,99
62206,1994,246
62207,861,144
62208,1622,142
62215,145,7
62216,289,11
62217,72,10
62220,1847,234
62221,2191,234
62223,1589,103
62225,178,10
62226,2828,276
62230,600,28
62231,796,89
62232,1421,58
62233,966,125
62234,2996,241
62236,654,72
62237,709,7
62238,58,8
62239,268,24
62240,76,6
62241,89,7
62242,77,7
62243,341,12
62245,133,7
62246,1032,14
62249,1123,28
62254,756,104
62255,65,8
62257,227,13
62258,1018,31
62260,337,25
62263,367,6
62264,268,60
62265,940,49
62269,2271,151
62272,227,50
62274,647,14
62278,631,31
62281,177,6
62285,297,23
62286,632,60
62288,340,34
62293,459,16
62294,1025,50
62295,109,14
62298,1482,82
62301,6370,89
62305,930,80
62325,19,9
62353,474,7
62401,1579,13
62411,500,6
62420,516,24
62427,94,6
62428,298,9
