County,Tested,Positive_Cases,Deaths
Illinois,3147703,196948,7657
Adams,20019,557,6
Alexander,1201,37,0
Bond,3370,62,3
Boone,9357,769,23
Brown,1024,15,0
Bureau,4527,231,3
Calhoun,473,9,0
Carroll,1695,61,4
Cass,3225,233,11
Champaign,90294,1693,19
Chicago,750994,64356,2812
Christian,6555,143,4
Clark,2483,87,2
Clay,1745,26,0
Clinton,7307,415,17
Coles,12943,492,21
Cook,615630,48128,2121
Crawford,1684,30,0
Cumberland,2144,57,3
De Witt,2053,34,0
DeKalb,17139,947,30
Douglas,4390,122,2
DuPage,201604,12427,522
Edgar,1925,29,0
Edwards,433,20,0
Effingham,5831,163,1
Fayette,2778,69,3
Ford,2586,50,2
Franklin,6044,194,1
Fulton,5162,35,0
Gallatin,456,51,2
Greene,1851,59,0
Grundy,6842,334,5
Hamilton,809,29,0
Hancock,3298,63,1
Hardin,506,18,0
Henderson,643,13,0
Henry,9456,253,1
Iroquois,6382,267,11
Jackson,11447,731,20
Jasper,1469,60,7
Jefferson,5429,292,19
Jersey,2705,117,2
Jo Daviess,3008,130,1
Johnson,1493,71,0
Kane,108530,9878,305
Kankakee,31004,1802,69
Kendall,21177,1398,23
Knox,8621,313,1
Lake,161076,12852,447
LaSalle,17487,801,24
Lawrence,2467,51,0
Lee,4362,178,1
Livingston,5153,122,3
Logan,7617,157,1
Macon,20345,650,23
Macoupin,10717,182,3
Madison,44381,2702,76
Marion,5897,165,0
Marshall,1765,28,0
Mason,2543,56,0
Massac,1782,41,0
McDonough,4159,145,15
McHenry,47035,3250,114
McLean,31969,670,15
Menard,2847,57,0
Mercer,2545,76,4
Monroe,4416,323,13
Montgomery,7666,171,7
Morgan,8464,269,6
Moultrie,2245,75,0
Ogle,8680,416,5
Out Of State,36704,1,0
Peoria,48693,1667,36
Perry,3505,184,2
Piatt,4332,63,0
Pike,1673,24,0
Pope,331,11,0
Pulaski,850,94,1
Putnam,542,14,0
Randolph,6478,474,7
Richland,2622,20,0
Rock Island,37413,1764,36
Saline,3670,134,2
Sangamon,62346,1297,33
Schuyler,1073,18,0
Scott,1158,21,0
Shelby,3723,86,1
St. Clair,47849,4107,161
Stark,1043,7,0
Stephenson,7435,334,6
Tazewell,31810,610,8
Unassigned,50947,47,0
Union,3711,327,23
Vermilion,14526,234,2
Wabash,1203,40,0
Warren,2232,191,0
Washington,1653,67,0
Wayne,1855,66,2
White,1668,71,0
Whiteside,8766,366,17
Will,132479,9413,346
Williamson,13438,434,6
Winnebago,56609,3797,131
Woodford,6389,158,3
