County,Tested,Positive_Cases,Deaths
Illinois,1842576,149432,7099
Adams,9339,139,1
Alexander,643,22,0
Bond,1189,17,1
Boone,6019,623,21
Brown,530,10,0
Bureau,2666,31,2
Calhoun,314,1,0
Carroll,878,21,2
Cass,2022,136,7
Champaign,36336,992,17
Chicago,465460,54044,2650
Christian,2788,47,4
Clark,971,18,0
Clay,1256,2,0
Clinton,4357,244,17
Coles,6718,184,17
Cook,387707,39452,2014
Crawford,1029,18,0
Cumberland,1033,24,0
De Witt,1136,16,0
DeKalb,10863,595,20
Douglas,1981,54,0
DuPage,116920,9454,480
Edgar,1238,16,0
Edwards,266,2,0
Effingham,2908,19,1
Fayette,1754,24,3
Ford,1547,41,1
Franklin,3252,36,0
Fulton,2725,16,0
Gallatin,193,4,0
Greene,1019,8,0
Grundy,3955,185,5
Hamilton,433,6,0
Hancock,1234,19,1
Hardin,185,1,0
Henderson,398,8,0
Henry,3873,103,1
Iroquois,3402,168,5
Jackson,6039,343,19
Jasper,971,47,7
Jefferson,2963,111,17
Jersey,1442,37,1
Jo Daviess,1775,49,1
Johnson,757,21,0
Kane,67232,7949,280
Kankakee,18157,1335,65
Kendall,12670,1011,22
Knox,4060,149,0
Lake,95032,10104,427
LaSalle,9405,237,17
Lawrence,1212,8,0
Lee,2605,104,2
Livingston,2926,53,2
Logan,4005,18,0
Macon,9403,241,22
Macoupin,5178,61,3
Madison,21329,1077,70
Marion,3289,73,0
Marshall,1067,12,0
Mason,1478,23,0
Massac,1104,15,0
McDonough,2528,104,15
McHenry,26951,2179,100
McLean,15255,292,14
Menard,1572,26,0
Mercer,1160,25,0
Monroe,2113,141,13
Montgomery,3575,59,1
Morgan,4786,132,3
Moultrie,1245,19,0
Ogle,4836,279,4
Out Of State,16205,1,0
Peoria,22601,583,29
Perry,1868,59,1
Piatt,2090,20,0
Pike,949,5,0
Pope,166,1,0
Pulaski,569,79,0
Putnam,291,1,0
Randolph,3604,291,7
Richland,1392,7,0
Rock Island,18734,1094,30
Saline,1575,10,0
Sangamon,33455,473,33
Schuyler,629,13,0
Scott,550,1,0
Shelby,1944,19,1
St. Clair,23862,2089,143
Stark,466,6,0
Stephenson,5250,280,6
Tazewell,14761,158,8
Unassigned,42782,48,0
Union,2373,195,19
Vermilion,6757,82,2
Wabash,732,23,0
Warren,1232,147,0
Washington,906,25,0
Wayne,1308,15,1
White,569,9,0
Whiteside,4725,199,15
Will,84145,7061,322
Williamson,6764,134,4
Winnebago,36603,3131,101
Woodford,2827,39,2
