Zip,Positive_Cases,Tested
53142,7,35
60002,38,261
60004,64,790
60005,46,256
60007,66,297
60008,52,201
60010,33,223
60012,21,62
60013,33,136
60014,50,265
60015,82,403
60016,380,1065
60018,135,435
60020,12,80
60021,6,32
60022,15,117
60025,158,718
60026,68,243
60030,49,325
60031,91,463
60033,24,106
60035,119,543
60040,21,75
60041,10,68
60042,7,47
60043,13,54
60044,39,163
60045,77,304
60046,62,337
60047,49,231
60048,47,251
60050,54,203
60051,20,154
60053,103,460
60056,154,649
60060,84,322
60061,47,241
60062,99,590
60064,178,323
60067,39,291
60068,111,474
60069,20,125
60070,48,167
60073,159,547
60074,85,309
60076,204,853
60077,150,678
60081,17,66
60083,29,110
60084,58,118
60085,615,1162
60087,160,385
60088,17,42
60089,73,370
60090,132,507
60091,78,465
60093,90,362
60096,12,68
60097,13,74
60098,82,256
60099,176,404
60101,146,499
60102,35,177
60103,50,263
60104,169,477
60106,134,362
60107,112,351
60108,48,354
60110,64,180
60115,24,213
60118,19,82
60119,9,65
60120,101,283
60123,89,322
60124,15,109
60126,101,503
60130,52,285
60131,85,319
60133,111,329
60134,28,160
60136,13,52
60137,37,279
60139,97,371
60140,21,112
60141,6,112
60142,22,152
60143,20,89
60148,103,472
60152,7,63
60153,137,514
60154,73,355
60155,47,177
60156,29,147
60160,137,451
60162,59,189
60163,24,80
60164,100,400
60165,41,91
60169,67,268
60171,40,187
60172,37,167
60173,12,87
60174,27,223
60175,24,179
60176,28,147
60177,31,132
60178,11,117
60181,79,301
60185,77,297
60187,27,197
60188,133,420
60189,38,204
60190,10,78
60191,31,158
60192,16,118
60193,61,285
60194,30,154
60201,133,907
60202,129,773
60203,14,83
60301,12,57
60302,89,561
60304,34,251
60305,19,149
60401,24,116
60402,314,1182
60403,51,362
60404,41,264
60406,111,406
60408,6,59
60409,214,760
60410,12,130
60411,308,1161
60415,88,255
60417,67,267
60418,33,126
60419,156,540
60422,51,205
60423,70,346
60425,55,236
60426,165,602
60428,94,349
60429,109,468
60430,114,426
60431,78,462
60432,60,286
60433,78,272
60434,82,52
60435,240,1026
60436,57,366
60438,131,512
60439,42,246
60440,185,954
60441,81,413
60442,16,104
60443,170,617
60445,52,221
60446,132,627
60447,10,152
60448,45,219
60449,37,184
60450,14,110
60451,47,293
60452,66,311
60453,201,729
60455,75,248
60456,16,62
60457,39,145
60458,30,201
60459,107,355
60461,33,138
60462,94,431
60463,46,192
60464,14,93
60465,55,225
60466,262,793
60467,66,283
60468,12,40
60469,19,79
60471,104,388
60472,37,140
60473,187,584
60475,40,155
60476,6,32
60477,74,398
60478,130,547
60480,13,84
60481,9,102
60482,22,138
60484,52,177
60487,53,270
60490,64,352
60491,68,247
60501,49,156
60502,26,138
60503,15,88
60504,53,250
60505,140,360
60506,136,480
60510,22,181
60513,54,326
60514,24,123
60515,28,180
60516,36,239
60517,67,346
60521,35,283
60523,37,169
60525,91,531
60526,26,224
60527,138,533
60532,42,213
60534,37,144
60538,33,180
60540,32,328
60542,19,144
60543,52,268
60544,54,403
60545,11,72
60546,60,291
60548,8,53
60551,15,23
60554,9,68
60555,25,103
60558,16,135
60559,90,290
60560,22,133
60561,50,272
60563,46,324
60564,53,350
60565,78,322
60585,35,199
60586,101,616
60601,36,198
60605,87,483
60606,22,153
60607,179,590
60608,414,1412
60609,361,1071
60610,115,586
60611,78,569
60612,289,1306
60613,177,686
60614,203,965
60615,196,1033
60616,205,865
60617,382,1611
60618,361,1426
60619,445,1558
60620,503,1496
60621,228,705
60622,235,954
60623,581,1420
60624,326,1075
60625,362,1161
60626,306,1047
60628,424,1463
60629,617,1583
60630,198,1050
60631,102,830
60632,485,1275
60633,56,229
60634,397,2067
60636,253,668
60637,257,1172
60638,270,1172
60639,641,1679
60640,294,1014
60641,322,1197
60642,42,314
60643,356,1161
60644,397,1186
60645,511,1455
60646,81,628
60647,276,1289
60649,325,1258
60651,427,1247
60652,246,739
60653,232,884
60654,83,285
60655,138,777
60656,97,716
60657,169,987
60659,289,793
60660,174,599
60661,21,121
60706,102,556
60707,207,988
60712,85,323
60714,191,565
60803,72,317
60804,474,1303
60805,86,283
60827,149,504
60901,175,679
60914,48,331
60915,15,141
60950,16,160
60954,9,64
60964,9,64
61008,33,149
61016,12,59
61021,12,287
61032,10,114
61065,7,53
61068,55,228
61071,15,52
61073,6,75
61081,20,66
61101,14,136
61102,27,104
61103,23,182
61104,22,110
61107,17,170
61108,38,176
61109,32,148
61111,8,101
61114,17,82
61115,8,112
61201,51,144
61235,6,19
61241,10,58
61244,78,183
61264,10,46
61265,73,250
61282,19,69
61342,6,38
61401,15,152
61462,18,45
61604,10,95
61611,9,100
61614,12,84
61615,11,64
61701,33,540
61704,16,402
61705,7,159
61761,18,447
61764,8,114
61801,11,204
61802,17,213
61820,7,203
61821,10,293
61822,25,268
61832,6,206
61853,7,142
61874,6,86
61910,6,33
61920,8,77
61938,7,116
62002,39,110
62010,7,23
62024,7,15
62025,57,61
62034,11,28
62035,8,41
62040,35,196
62052,8,44
62056,6,75
62060,7,31
62069,6,29
62095,8,33
62201,8,18
62203,11,22
62204,9,21
62205,11,27
62206,30,48
62207,18,18
62208,22,71
62220,26,77
62221,29,99
62223,21,45
62226,51,90
62233,35,118
62234,22,78
62236,30,74
62249,9,57
62258,11,47
62265,7,22
62269,27,116
62278,13,42
62286,7,49
62294,10,40
62298,23,71
62301,13,149
62305,12,61
62448,33,94
62471,13,64
62521,72,348
62522,10,49
62526,7,112
62568,23,122
62618,7,43
62650,13,129
62684,6,30
62702,17,283
62703,7,195
62704,6,286
62707,6,58
62711,11,117
62801,38,265
62864,65,289
62901,40,235
62959,11,187
62992,10,31
