County,Tested,Positive_Cases,Deaths
Illinois,1311003,135470,6580
Adams,6575,47,1
Alexander,361,18,0
Bond,572,12,1
Boone,4386,551,19
Brown,455,10,0
Bureau,1658,24,1
Calhoun,89,1,0
Carroll,475,18,2
Cass,1340,100,0
Champaign,21972,765,11
Chicago,344851,50277,2481
Christian,1968,42,4
Clark,658,13,0
Clay,556,2,0
Clinton,3097,220,17
Coles,4199,146,17
Cook,286765,36274,1882
Crawford,572,17,0
Cumberland,585,10,0
De Witt,803,4,0
DeKalb,7389,513,18
Douglas,1304,42,0
DuPage,82411,8609,444
Edgar,928,6,0
Edwards,199,2,0
Effingham,1595,12,1
Fayette,1162,23,3
Ford,989,22,1
Franklin,2212,12,0
Fulton,1868,12,0
Gallatin,130,2,0
Greene,516,8,0
Grundy,2781,140,3
Hamilton,302,2,0
Hancock,926,18,1
Hardin,112,1,0
Henderson,291,8,0
Henry,2323,73,1
Iroquois,2191,143,5
Jackson,4518,321,18
Jasper,665,46,7
Jefferson,2131,104,16
Jersey,476,29,1
Jo Daviess,835,35,1
Johnson,550,20,0
Kane,50337,7274,245
Kankakee,12608,1130,61
Kendall,9252,903,20
Knox,2661,115,0
Lake,67608,9242,395
LaSalle,6275,188,16
Lawrence,730,5,0
Lee,1856,94,1
Livingston,2096,36,2
Logan,2661,12,0
Macon,6108,216,21
Macoupin,3639,47,3
Madison,11600,785,66
Marion,2439,57,0
Marshall,580,6,0
Mason,1160,19,0
Massac,804,7,0
McDonough,1986,101,15
McHenry,18972,1891,89
McLean,10978,246,13
Menard,1200,23,0
Mercer,771,19,0
Monroe,1183,111,12
Montgomery,2258,42,1
Morgan,2885,119,3
Moultrie,609,15,0
Ogle,3279,231,4
Out Of State,7550,7,0
Peoria,15217,419,22
Perry,1046,44,0
Piatt,1092,16,0
Pike,699,2,0
Pope,111,1,0
Pulaski,392,65,0
Putnam,186,1,0
Randolph,2666,278,7
Richland,625,4,0
Rock Island,10463,769,28
Saline,951,8,0
Sangamon,22937,387,31
Schuyler,471,13,0
Shelby,1419,16,1
St. Clair,14363,1561,123
Stark,227,3,0
Stephenson,3614,242,5
Tazewell,9664,108,7
Unassigned,34134,46,0
Union,1792,183,18
Vermilion,3890,47,2
Wabash,449,15,0
Warren,949,127,0
Washington,635,19,0
Wayne,851,11,1
White,418,3,0
Whiteside,3350,171,15
Will,61735,6284,309
Williamson,4252,91,4
Winnebago,28086,2810,82
Woodford,2033,31,2
