County,Positive_Cases,Deaths,Tested
Illinois,35108,1565,164346
Chicago,14394,604,0
Adams,29,0,0
Alexander,2,0,0
Bond,4,1,0
Boone,41,6,0
Bureau,8,0,0
Calhoun,1,0,0
Carroll,7,2,0
Cass,7,0,0
Champaign,97,4,0
Christian,26,4,0
Clark,4,0,0
Clay,2,0,0
Clinton,49,0,0
Coles,18,0,0
Cook,10152,468,0
Crawford,8,0,0
Cumberland,2,0,0
DeKalb,56,1,0
De Witt,1,0,0
Douglas,12,0,0
DuPage,1947,103,0
Effingham,5,1,0
Fayette,15,1,0
Ford,6,1,0
Franklin,8,0,0
Fulton,1,0,0
Gallatin,2,0,0
Greene,2,0,0
Grundy,26,0,0
Hamilton,2,0,0
Hancock,4,0,0
Hardin,1,0,0
Henderson,2,0,0
Henry,32,0,0
Iroquois,14,0,0
Jackson,50,6,0
Jasper,36,2,0
Jefferson,75,1,0
Jersey,10,0,0
Jo Daviess,11,0,0
Johnson,3,0,0
Kane,764,37,0
Kankakee,285,14,0
Kendall,157,4,0
Knox,16,0,0
Lake,2379,89,0
LaSalle,38,1,0
Lawrence,2,0,0
Lee,18,0,0
Livingston,18,1,0
Logan,4,0,0
McDonough,4,0,0
McHenry,399,22,0
McLean,86,3,0
Macon,93,10,0
Macoupin,24,0,0
Madison,226,13,0
Marion,24,0,0
Marshall,4,0,0
Mason,6,0,0
Massac,3,0,0
Menard,4,0,0
Mercer,5,0,0
Monroe,58,8,0
Montgomery,21,1,0
Morgan,14,1,0
Moultrie,2,0,0
Ogle,71,1,0
Peoria,46,2,0
Perry,2,0,0
Piatt,7,0,0
Pike,1,0,0
Pulaski,12,0,0
Randolph,63,1,0
Richland,2,0,0
Rock Island,242,6,0
St. Clair,316,19,0
Saline,3,0,0
Sangamon,69,4,0
Schuyler,1,0,0
Shelby,4,0,0
Stark,1,0,0
Stephenson,13,0,0
Tazewell,25,3,0
Unassigned,228,1,0
Union,5,0,0
Vermilion,10,0,0
Wabash,1,0,0
Warren,19,0,0
Washington,7,0,0
Wayne,1,0,0
White,1,0,0
Whiteside,45,3,0
Will,1820,110,0
Williamson,17,0,0
Winnebago,238,5,0
Woodford,11,1,0
