update_date,update_time,Zip,Positive_Cases,Tested
06-16-2020,14:45,60002,107,1202
06-16-2020,14:45,60004,343,6047
06-16-2020,14:45,60005,190,2732
06-16-2020,14:45,60007,349,2454
06-16-2020,14:45,60008,337,3262
06-16-2020,14:45,60010,130,2059
06-16-2020,14:45,60012,86,578
06-16-2020,14:45,60013,93,1066
06-16-2020,14:45,60014,289,2735
06-16-2020,14:45,60015,182,1780
06-16-2020,14:45,60016,1041,6156
06-16-2020,14:45,60018,637,3383
06-16-2020,14:45,60020,39,742
06-16-2020,14:45,60021,22,247
06-16-2020,14:45,60022,27,462
06-16-2020,14:45,60025,360,3478
06-16-2020,14:45,60026,147,1375
06-16-2020,14:45,60029,8,74
06-16-2020,14:45,60030,179,2316
06-16-2020,14:45,60031,344,3040
06-16-2020,14:45,60033,200,1078
06-16-2020,14:45,60035,264,2698
06-16-2020,14:45,60040,178,607
06-16-2020,14:45,60041,47,567
06-16-2020,14:45,60042,38,410
06-16-2020,14:45,60043,19,195
06-16-2020,14:45,60044,103,966
06-16-2020,14:45,60045,118,1445
06-16-2020,14:45,60046,203,1981
06-16-2020,14:45,60047,389,2689
06-16-2020,14:45,60048,147,1645
06-16-2020,14:45,60050,223,2062
06-16-2020,14:45,60051,124,1386
06-16-2020,14:45,60053,291,2133
06-16-2020,14:45,60056,622,4223
06-16-2020,14:45,60060,432,2485
06-16-2020,14:45,60061,178,1945
06-16-2020,14:45,60062,318,3593
06-16-2020,14:45,60064,649,1901
06-16-2020,14:45,60067,224,3219
06-16-2020,14:45,60068,304,2730
06-16-2020,14:45,60069,89,1068
06-16-2020,14:45,60070,254,1496
06-16-2020,14:45,60071,14,195
06-16-2020,14:45,60073,1034,5422
06-16-2020,14:45,60074,450,2952
06-16-2020,14:45,60076,495,3582
06-16-2020,14:45,60077,397,2787
06-16-2020,14:45,60079,12,55
06-16-2020,14:45,60081,41,459
06-16-2020,14:45,60083,98,833
06-16-2020,14:45,60084,183,993
06-16-2020,14:45,60085,2385,9056
06-16-2020,14:45,60087,658,3466
06-16-2020,14:45,60088,61,468
06-16-2020,14:45,60089,279,2526
06-16-2020,14:45,60090,796,3927
06-16-2020,14:45,60091,157,1762
06-16-2020,14:45,60093,173,1526
06-16-2020,14:45,60096,38,410
06-16-2020,14:45,60097,40,591
06-16-2020,14:45,60098,310,2363
06-16-2020,14:45,60099,572,3028
06-16-2020,14:45,60101,793,3778
06-16-2020,14:45,60102,156,1735
06-16-2020,14:45,60103,281,2786
06-16-2020,14:45,60104,408,2361
06-16-2020,14:45,60106,511,2426
06-16-2020,14:45,60107,642,3718
06-16-2020,14:45,60108,322,2810
06-16-2020,14:45,60109,11,314
06-16-2020,14:45,60110,707,3012
06-16-2020,14:45,60112,28,302
06-16-2020,14:45,60115,278,3171
06-16-2020,14:45,60118,80,923
06-16-2020,14:45,60119,37,578
06-16-2020,14:45,60120,1324,5370
06-16-2020,14:45,60123,839,4831
06-16-2020,14:45,60124,118,1406
06-16-2020,14:45,60126,264,3342
06-16-2020,14:45,60130,150,2226
06-16-2020,14:45,60131,351,1947
06-16-2020,14:45,60133,740,3912
06-16-2020,14:45,60134,155,1616
06-16-2020,14:45,60135,34,462
06-16-2020,14:45,60136,55,446
06-16-2020,14:45,60137,150,2272
06-16-2020,14:45,60139,638,3380
06-16-2020,14:45,60140,94,1064
06-16-2020,14:45,60141,24,605
06-16-2020,14:45,60142,101,1607
06-16-2020,14:45,60143,182,1094
06-16-2020,14:45,60145,6,111
06-16-2020,14:45,60146,8,161
06-16-2020,14:45,60148,379,3740
06-16-2020,14:45,60151,18,249
06-16-2020,14:45,60152,80,649
06-16-2020,14:45,60153,508,2796
06-16-2020,14:45,60154,204,1928
06-16-2020,14:45,60155,170,886
06-16-2020,14:45,60156,161,1483
06-16-2020,14:45,60157,12,154
06-16-2020,14:45,60160,744,3342
