,County,Positive_Cases,Deaths,Tested,update_date,update_time
0,Illinois,29160,1259,137404,04-18-2020,23:45
1,Chicago,12007,491,0,04-18-2020,23:45
2,Adams,31,0,0,04-18-2020,23:45
3,Alexander,1,0,0,04-18-2020,23:45
4,Bond,4,1,0,04-18-2020,23:45
5,Boone,29,2,0,04-18-2020,23:45
6,Bureau,8,0,0,04-18-2020,23:45
7,Calhoun,1,0,0,04-18-2020,23:45
8,Carroll,6,1,0,04-18-2020,23:45
9,Champaign,93,4,0,04-18-2020,23:45
10,Christian,25,4,0,04-18-2020,23:45
11,Clark,4,0,0,04-18-2020,23:45
12,Clay,1,0,0,04-18-2020,23:45
13,Clinton,44,0,0,04-18-2020,23:45
14,Coles,14,0,0,04-18-2020,23:45
15,Cook,8388,369,0,04-18-2020,23:45
16,Crawford,5,0,0,04-18-2020,23:45
17,Cumberland,2,0,0,04-18-2020,23:45
18,DeKalb,54,1,0,04-18-2020,23:45
19,De Witt,1,0,0,04-18-2020,23:45
20,Douglas,12,0,0,04-18-2020,23:45
21,DuPage,1642,82,0,04-18-2020,23:45
22,Effingham,4,1,0,04-18-2020,23:45
23,Fayette,13,1,0,04-18-2020,23:45
24,Ford,5,1,0,04-18-2020,23:45
25,Franklin,5,0,0,04-18-2020,23:45
26,Fulton,1,0,0,04-18-2020,23:45
27,Gallatin,2,0,0,04-18-2020,23:45
28,Greene,1,0,0,04-18-2020,23:45
29,Grundy,26,0,0,04-18-2020,23:45
30,Hamilton,1,0,0,04-18-2020,23:45
31,Hancock,3,0,0,04-18-2020,23:45
32,Henderson,2,0,0,04-18-2020,23:45
33,Henry,30,0,0,04-18-2020,23:45
34,Iroquois,12,0,0,04-18-2020,23:45
35,Jackson,42,4,0,04-18-2020,23:45
36,Jasper,7,1,0,04-18-2020,23:45
37,Jefferson,12,0,0,04-18-2020,23:45
38,Jersey,8,0,0,04-18-2020,23:45
39,Jo Daviess,12,0,0,04-18-2020,23:45
40,Johnson,2,0,0,04-18-2020,23:45
41,Kane,582,29,0,04-18-2020,23:45
42,Kankakee,272,12,0,04-18-2020,23:45
43,Kendall,135,3,0,04-18-2020,23:45
44,Knox,5,0,0,04-18-2020,23:45
45,Lake,2073,75,0,04-18-2020,23:45
46,LaSalle,27,1,0,04-18-2020,23:45
47,Lawrence,2,0,0,04-18-2020,23:45
48,Lee,17,0,0,04-18-2020,23:45
49,Livingston,17,0,0,04-18-2020,23:45
50,Logan,4,0,0,04-18-2020,23:45
51,McDonough,3,0,0,04-18-2020,23:45
52,McHenry,340,17,0,04-18-2020,23:45
53,McLean,83,3,0,04-18-2020,23:45
54,Macon,55,7,0,04-18-2020,23:45
55,Macoupin,21,0,0,04-18-2020,23:45
56,Madison,169,5,0,04-18-2020,23:45
57,Marion,19,0,0,04-18-2020,23:45
58,Marshall,3,0,0,04-18-2020,23:45
59,Mason,4,0,0,04-18-2020,23:45
60,Massac,3,0,0,04-18-2020,23:45
61,Menard,3,0,0,04-18-2020,23:45
62,Mercer,5,0,0,04-18-2020,23:45
63,Monroe,52,7,0,04-18-2020,23:45
64,Montgomery,13,1,0,04-18-2020,23:45
65,Morgan,12,1,0,04-18-2020,23:45
66,Moultrie,2,0,0,04-18-2020,23:45
67,Ogle,48,1,0,04-18-2020,23:45
68,Peoria,37,2,0,04-18-2020,23:45
69,Perry,1,0,0,04-18-2020,23:45
70,Piatt,7,0,0,04-18-2020,23:45
71,Pike,1,0,0,04-18-2020,23:45
72,Pulaski,9,0,0,04-18-2020,23:45
73,Randolph,54,1,0,04-18-2020,23:45
74,Richland,2,0,0,04-18-2020,23:45
75,Rock Island,187,4,0,04-18-2020,23:45
76,St. Clair,265,17,0,04-18-2020,23:45
77,Saline,3,0,0,04-18-2020,23:45
78,Sangamon,61,3,0,04-18-2020,23:45
79,Schuyler,1,0,0,04-18-2020,23:45
80,Shelby,4,0,0,04-18-2020,23:45
81,Stark,1,0,0,04-18-2020,23:45
82,Stephenson,12,0,0,04-18-2020,23:45
83,Tazewell,41,3,0,04-18-2020,23:45
84,Unassigned,84,3,0,04-18-2020,23:45
85,Union,5,0,0,04-18-2020,23:45
86,Vermilion,9,0,0,04-18-2020,23:45
87,Wabash,1,0,0,04-18-2020,23:45
88,Warren,4,0,0,04-18-2020,23:45
89,Washington,6,0,0,04-18-2020,23:45
90,Wayne,1,0,0,04-18-2020,23:45
91,Whiteside,36,3,0,04-18-2020,23:45
92,Will,1603,94,0,04-18-2020,23:45
93,Williamson,13,0,0,04-18-2020,23:45
94,Winnebago,172,4,0,04-18-2020,23:45
95,Woodford,11,0,0,04-18-2020,23:45
