Zip,Tested,Positive_Cases
53142,73,9
53143,43,6
60002,356,47
60004,1396,113
60005,397,66
60007,459,94
60008,332,100
60010,381,40
60012,128,47
60013,211,39
60014,518,70
60015,563,95
60016,1537,519
60018,703,220
60020,129,13
60021,66,9
60022,173,21
60025,962,183
60026,323,82
60030,476,65
60031,625,128
60033,181,49
60035,737,142
60040,111,38
60041,107,18
60042,74,10
60043,89,14
60044,234,49
60045,422,85
60046,463,79
60047,371,71
60048,356,56
60050,387,87
60051,270,36
60053,599,141
60056,977,246
60060,506,142
60061,345,77
60062,1019,152
60064,510,265
60067,463,56
60068,713,155
60069,166,31
60070,288,76
60071,42,6
60073,841,237
60074,501,124
60076,1154,250
60077,906,202
60081,100,22
60083,157,43
60084,176,83
60085,1836,987
60087,583,255
60088,60,25
60089,539,107
60090,766,222
60091,630,97
60093,512,96
60096,90,16
60097,139,19
60098,441,131
60099,588,229
60101,794,272
60102,291,44
60103,490,83
60104,686,218
60106,752,212
60107,605,179
60108,525,91
60110,389,140
60112,49,12
60115,378,39
60118,132,23
60119,116,12
60120,557,215
60123,556,156
60124,188,21
60126,777,131
60130,428,61
60131,509,127
60133,617,219
60134,289,72
60135,69,6
60136,87,20
60137,443,60
60139,674,207
60140,207,26
60141,134,6
60142,277,33
60143,186,49
60148,720,130
60152,133,21
60153,792,209
60154,524,101
60155,281,88
60156,292,43
60160,760,231
60162,275,79
60163,135,33
60164,844,188
60165,138,60
60169,448,121
60171,268,51
60172,273,56
60173,130,20
60174,398,44
60175,286,29
60176,243,51
60177,266,49
60178,189,14
60181,467,100
60185,597,175
60187,373,42
60188,687,195
60189,337,47
60190,242,12
60191,251,56
60192,168,21
60193,473,93
60194,259,50
60195,40,6
60201,1175,174
60202,997,161
60203,114,17
60301,77,14
60302,797,114
60304,388,46
60305,235,28
60401,169,28
60402,1913,521
60403,484,73
60404,383,51
60406,681,172
60408,77,7
60409,1214,285
60410,202,18
60411,1987,460
60415,343,105
60417,401,83
60418,214,51
60419,866,203
60422,320,55
60423,508,84
60425,469,73
60426,1045,238
60428,588,124
60429,783,135
60430,650,155
60431,624,96
60432,439,101
60433,386,105
60434,68,132
60435,1472,328
60436,496,79
60438,815,181
60439,375,51
60440,1401,315
60441,587,109
60442,155,23
60443,925,213
60445,396,74
60446,951,195
60447,247,18
60448,352,75
60449,275,45
60450,200,16
60451,444,53
60452,519,92
60453,1193,320
60455,688,169
60456,93,21
60457,218,60
60458,313,52
60459,590,154
60461,203,38
60462,697,132
60463,327,91
60464,144,22
60465,331,84
60466,1183,333
60467,434,93
60468,68,15
60469,137,32
60471,573,133
60472,220,41
60473,924,228
60475,234,46
60476,64,13
60477,680,113
60478,900,188
60480,113,17
60481,154,14
60482,202,31
60484,260,62
60487,431,70
60490,480,79
60491,378,79
60501,288,89
60502,234,32
60503,141,21
60504,439,92
60505,795,384
60506,1068,263
60510,336,36
60513,511,70
60514,192,25
60515,324,39
60516,364,55
60517,532,101
60521,451,79
60523,258,46
60525,780,122
60526,330,36
60527,809,157
60532,339,59
60534,239,60
60538,309,76
60540,588,55
60542,252,34
60543,398,79
60544,577,75
60545,136,30
60546,413,73
60548,103,15
60551,34,15
60552,40,6
60554,114,13
60555,189,43
60558,196,17
60559,447,134
60560,221,38
60561,428,71
60563,492,66
60564,512,72
60565,487,96
60585,303,41
60586,887,145
60601,358,48
60604,36,6
60605,772,121
60606,211,27
60607,1075,240
60608,2256,654
60609,1713,629
60610,952,141
60611,961,93
60612,1838,375
60613,1053,229
60614,1608,266
60615,1389,236
60616,1207,246
60617,2355,496
60618,2154,504
60619,2270,568
60620,2527,683
60621,1021,293
60622,1482,296
60623,2581,1144
60624,1415,414
60625,1770,553
60626,1635,494
60628,2224,606
60629,2771,1108
60630,1511,318
60631,1103,130
60632,2360,1013
60633,589,118
60634,2947,593
60636,985,360
60637,1849,322
60638,1957,472
60639,2931,1150
60640,1698,440
60641,1901,511
60642,513,68
60643,1987,479
60644,1787,584
60645,1904,612
60646,1114,191
60647,2129,490
60649,1813,455
60651,1978,641
60652,1216,362
60653,1198,294
60654,497,91
60655,1058,166
60656,963,132
60657,1484,201
60659,1084,362
60660,861,222
60661,233,24
60706,793,153
60707,1480,306
60712,414,98
60714,858,311
60803,516,109
60804,2741,1056
60805,444,126
60827,808,193
60901,1057,201
60914,520,61
60915,218,19
60950,213,18
60954,114,11
60958,47,8
60964,72,9
61008,282,81
61016,81,13
61021,346,15
61032,194,30
61065,85,12
61068,689,95
61071,105,19
61073,119,9
61080,58,7
61081,172,46
61101,317,47
61102,242,48
61103,298,40
61104,234,53
61107,271,30
61108,317,72
61109,322,55
61111,195,17
61114,123,22
61115,183,18
61201,335,91
61235,31,7
61240,41,6
61241,86,13
61244,293,106
61252,43,7
61264,91,14
61265,461,115
61275,38,7
61282,94,25
61342,83,14
61356,70,6
61401,454,40
61443,139,9
61455,129,14
61462,149,57
61554,288,10
61603,253,9
61604,356,16
61611,229,16
61614,277,27
61615,221,14
61701,707,34
61704,546,18
61705,208,8
61761,604,22
61764,159,8
61801,341,17
61802,358,21
61820,313,13
61821,489,16
61822,383,28
61832,315,10
61853,214,9
61866,241,9
61874,128,6
61910,46,6
61920,134,10
61938,175,9
62002,179,47
62010,39,8
62024,27,7
62025,363,94
62034,72,32
62035,59,11
62040,270,51
62052,52,9
62056,114,9
62060,42,9
62069,51,7
62088,177,6
62090,13,7
62095,64,9
62201,36,10
62203,42,17
62204,42,19
62205,49,17
62206,210,42
62207,49,26
62208,110,34
62220,124,48
62221,139,38
62223,78,30
62226,351,69
62230,50,6
62231,196,51
62232,34,6
62233,190,56
62234,154,29
62236,87,33
62239,18,6
62249,74,10
