County,Tested,Positive_Cases,Deaths
Illinois,284688,56055,2457
Chicago,90405,22718,945
Adams,0,40,1
Alexander,0,3,0
Bond,0,6,1
Boone,0,113,9
Brown,0,1,0
Bureau,0,10,0
Calhoun,0,1,0
Carroll,0,9,2
Cass,0,34,0
Champaign,0,143,6
Christian,0,29,4
Clark,0,5,0
Clay,0,2,0
Clinton,0,110,4
Coles,0,22,1
Cook,176322,15950,728
Crawford,0,10,0
Cumberland,0,3,0
DeKalb,0,105,1
De Witt,0,3,0
Douglas,0,16,0
DuPage,0,3256,174
Effingham,0,5,1
Fayette,0,16,2
Ford,0,9,1
Franklin,0,8,0
Fulton,0,3,0
Gallatin,0,2,0
Greene,0,3,0
Grundy,0,37,0
Hamilton,0,2,0
Hancock,0,6,0
Hardin,0,1,0
Henderson,0,5,0
Henry,0,49,0
Iroquois,0,31,0
Jackson,0,120,9
Jasper,0,44,5
Jefferson,0,85,12
Jersey,0,12,1
Jo Daviess,0,13,0
Johnson,0,4,0
Kane,0,1677,52
Kankakee,0,350,25
Kendall,0,281,7
Knox,0,47,0
Lake,2024,3766,140
LaSalle,0,54,1
Lawrence,0,3,0
Lee,0,23,0
Livingston,0,20,1
Logan,0,7,0
McDonough,0,18,0
McHenry,0,666,37
McLean,0,97,3
Macon,0,109,12
Macoupin,0,31,0
Madison,2119,335,22
Marion,0,34,0
Marshall,0,4,0
Mason,0,12,0
Massac,0,4,0
Menard,0,9,0
Mercer,0,8,0
Monroe,0,71,10
Montgomery,0,26,1
Morgan,0,24,1
Moultrie,0,5,0
Ogle,0,122,1
Peoria,0,93,3
Perry,0,24,0
Piatt,0,7,0
Pike,0,1,0
Pulaski,0,20,0
Randolph,0,164,1
Richland,0,3,0
Rock Island,0,389,9
St. Clair,0,492,31
Saline,0,3,0
Sangamon,0,195,10
Schuyler,0,1,0
Shelby,0,10,1
Stark,0,1,0
Stephenson,0,45,0
Tazewell,0,41,3
Unassigned,0,363,2
Union,0,19,0
Vermilion,0,17,1
Wabash,0,1,0
Warren,0,70,0
Washington,0,10,0
Wayne,0,2,0
White,0,2,0
Whiteside,0,87,6
Will,0,2617,158
Williamson,0,32,0
Winnebago,0,485,11
Woodford,0,14,1
