County,Positive_Cases,Deaths,Tested
Illinois,31508,1349,148358
Chicago,13013,514,0
Adams,29,0,0
Alexander,2,0,0
Bond,4,1,0
Boone,33,3,0
Bureau,8,0,0
Calhoun,1,0,0
Carroll,6,1,0
Cass,2,0,0
Champaign,95,4,0
Christian,27,4,0
Clark,4,0,0
Clay,1,0,0
Clinton,45,0,0
Coles,16,0,0
Cook,9088,401,0
Crawford,4,0,0
Cumberland,2,0,0
DeKalb,55,1,0
De Witt,1,0,0
Douglas,12,0,0
DuPage,1761,90,0
Effingham,4,1,0
Fayette,15,1,0
Ford,6,1,0
Franklin,5,0,0
Fulton,1,0,0
Gallatin,2,0,0
Greene,1,0,0
Grundy,26,0,0
Hamilton,1,0,0
Hancock,3,0,0
Henderson,2,0,0
Henry,30,0,0
Iroquois,13,0,0
Jackson,44,5,0
Jasper,20,2,0
Jefferson,32,0,0
Jersey,8,0,0
Jo Daviess,12,0,0
Johnson,2,0,0
Kane,638,31,0
Kankakee,278,12,0
Kendall,138,3,0
Knox,10,0,0
Lake,2216,82,0
LaSalle,30,1,0
Lawrence,2,0,0
Lee,17,0,0
Livingston,17,1,0
Logan,4,0,0
McDonough,3,0,0
McHenry,351,17,0
McLean,86,3,0
Macon,55,9,0
Macoupin,20,0,0
Madison,184,8,0
Marion,20,0,0
Marshall,4,0,0
Mason,5,0,0
Massac,3,0,0
Menard,3,0,0
Mercer,5,0,0
Monroe,54,7,0
Montgomery,16,1,0
Morgan,13,1,0
Moultrie,2,0,0
Ogle,58,1,0
Peoria,43,2,0
Perry,1,0,0
Piatt,7,0,0
Pike,1,0,0
Pulaski,9,0,0
Randolph,58,1,0
Richland,2,0,0
Rock Island,211,4,0
St. Clair,276,18,0
Saline,3,0,0
Sangamon,64,4,0
Schuyler,1,0,0
Shelby,4,0,0
Stark,1,0,0
Stephenson,12,0,0
Tazewell,24,3,0
Unassigned,130,2,0
Union,5,0,0
Vermilion,9,0,0
Wabash,1,0,0
Warren,15,0,0
Washington,7,0,0
Wayne,1,0,0
White,1,0,0
Whiteside,41,3,0
Will,1692,102,0
Williamson,15,0,0
Winnebago,195,4,0
Woodford,11,0,0
