Zip,Tested,Positive_Cases
60002,1031,103
60004,4954,326
60005,1966,182
60007,2044,333
60008,2736,320
60010,1663,113
60012,479,77
60013,877,92
60014,2294,257
60015,1493,176
60016,5334,1010
60018,2960,612
60020,612,36
60021,202,22
60022,401,26
60025,3070,351
60026,990,134
60029,65,8
60030,1929,174
60031,2538,331
60033,891,179
60035,2238,254
60040,483,172
60041,472,44
60042,342,35
60043,163,19
60044,771,96
60045,1158,113
60046,1598,198
60047,2225,354
60048,1379,143
60050,1740,215
60051,1178,113
60053,1850,271
60056,3603,594
60060,2149,419
60061,1687,166
60062,3081,305
60064,1725,606
60067,2431,202
60068,2361,295
60069,708,84
60070,1300,243
60071,162,11
60073,4550,977
60074,2499,433
60076,2924,481
60077,2417,387
60079,50,11
60081,395,39
60083,711,96
60084,835,174
60085,8063,2344
60087,2974,637
60088,364,54
60089,2163,265
60090,3432,769
60091,1517,148
60093,1312,162
60096,365,37
60097,513,39
60098,1895,296
60099,2696,560
60101,3378,776
60102,1474,149
60103,2430,268
60104,2137,397
60106,2181,499
60107,3262,615
60108,2367,277
60109,299,11
60110,2671,674
60112,267,27
60115,2783,254
60118,781,74
60119,517,36
60120,4914,1278
60123,4192,783
60124,1186,105
60126,2798,247
60130,1770,142
60131,1745,342
60133,3442,719
60134,1344,154
60135,406,32
60136,383,53
60137,1938,144
60139,2987,617
60140,913,88
60141,527,21
60142,1386,97
60143,951,180
60145,98,6
60146,138,8
60148,3175,350
60151,220,17
60152,568,74
60153,2566,496
60154,1694,203
60155,803,168
60156,1261,151
60157,131,14
60160,2983,714
60162,1070,151
60163,490,89
60164,3199,509
60165,576,173
60169,2303,362
60171,836,116
60172,1483,220
60173,615,99
60174,2088,156
60175,1116,82
60176,822,143
60177,1379,249
60178,1050,53
60181,1819,251
60184,112,6
60185,3251,728
60187,1658,119
60188,2953,473
60189,1438,105
60190,697,43
60191,1100,213
60192,635,55
60193,2347,247
60194,1418,153
60195,186,15
60201,3116,319
60202,2715,425
60203,310,28
60301,227,25
60302,2564,211
60304,1066,73
60305,647,52
60401,593,38
60402,6875,1374
60403,1616,200
60404,1393,113
60406,2906,479
60408,246,18
60409,4103,578
60410,702,52
60411,6228,877
60415,1044,186
60416,311,10
60417,1336,149
60418,554,112
60419,2741,389
60420,202,7
60421,181,12
60422,901,81
60423,1589,136
60425,1340,173
60426,3143,461
60428,1524,208
60429,2216,225
60430,2034,273
60431,2148,215
60432,2021,432
60433,1643,287
60434,231,162
60435,4968,661
60436,1846,238
60438,2553,381
60439,1238,92
60440,5679,848
60441,1860,197
60442,488,41
60443,2392,348
60445,1485,149
60446,3624,508
60447,717,58
60448,1125,130
60449,699,71
60450,745,44
60451,1565,114
60452,1951,232
60453,4618,758
60455,1548,293
60456,344,50
60457,845,119
60458,1050,137
60459,2403,400
60461,543,58
60462,2571,322
60463,1152,244
60464,528,47
60465,1175,235
60466,3001,481
60467,1341,168
60468,325,34
60469,591,81
60471,1429,212
60472,582,69
60473,2965,385
60475,727,72
60476,195,17
60477,2396,246
60478,2468,313
60480,389,35
60481,675,28
60482,663,101
60484,687,110
60487,1400,140
60490,1509,139
60491,1043,140
60501,1195,278
60502,1164,94
60503,738,63
60504,2428,334
60505,7674,1942
60506,5928,1046
60510,1568,94
60513,1821,164
60514,625,46
60515,1334,96
60516,1476,112
60517,2126,215
60520,138,9
60521,1272,182
60523,797,104
60525,2908,282
60526,1470,79
60527,2447,232
60532,1804,123
60534,1048,170
60538,2039,303
60540,2177,129
60541,114,9
60542,1326,167
60543,2259,257
60544,2037,175
60545,1049,151
60546,2124,165
60548,719,76
60551,133,23
60552,189,7
60554,640,42
60555,962,129
60558,750,46
60559,1923,318
60560,1264,103
60561,1471,114
60563,2263,180
60564,1979,154
60565,1843,187
60585,1252,96
60586,3197,345
60601,876,71
60602,184,14
60603,97,8
60604,145,21
60605,1926,185
60606,749,48
60607,2306,437
60608,7546,1725
60609,6988,1758
60610,2962,261
60611,3047,156
60612,4441,699
60613,3046,378
60614,4852,499
60615,3777,379
60616,4496,445
60617,8443,1119
60618,7498,1270
60619,8435,898
60620,7969,1097
60621,3356,537
60622,4146,624
60623,10132,3277
60624,4166,855
60625,6652,1377
60626,5239,997
60628,6972,1038
60629,11937,3214
60630,4710,790
60631,3359,300
60632,9665,3042
60633,1889,261
60634,9041,1422
60636,3462,711
60637,5371,624
60638,5959,1081
60639,12056,3249
60640,5609,784
60641,7380,1472
60642,1474,152
60643,5573,702
60644,6043,1248
60645,4968,1054
60646,2768,368
60647,6947,1315
60649,5445,753
60651,7068,1696
60652,4494,923
60653,4199,522
60654,1250,139
60655,3063,267
60656,2533,274
60657,4356,339
60659,3240,732
60660,2803,424
60661,566,41
60680,87,6
60706,2925,336
60707,4666,762
60712,1007,157
60714,3445,783
60803,1733,259
60804,10276,2847
60805,1555,221
60827,2468,360
60901,3773,555
60911,93,9
60912,37,6
60913,73,6
60914,2004,167
60915,954,65
60919,29,6
60922,166,12
60927,268,47
60928,38,7
60930,28,6
60938,85,6
60940,168,7
60941,97,6
60942,295,6
60950,1192,96
60954,631,31
60955,95,13
60957,284,7
60958,155,22
60964,337,32
60970,409,13
61008,2755,419
61010,276,14
61011,110,10
61012,117,18
61016,353,32
61019,104,6
61020,184,14
61021,1147,84
61032,2227,191
61036,286,13
61054,181,7
61061,232,10
61063,180,8
61064,124,10
61065,617,54
61068,1294,142
61071,350,37
61072,467,38
61073,929,65
61080,451,50
61081,678,76
61084,98,9
61088,284,11
61101,2251,293
61102,1851,244
61103,2521,271
61104,1665,281
61107,2658,237
61108,2762,390
61109,2330,274
61111,1577,103
61114,1295,97
61115,1391,117
61201,1826,207
61235,82,8
61239,53,8
61240,217,12
61241,307,16
61244,1555,179
61252,154,23
61254,439,8
61256,79,6
61264,441,24
61265,2271,217
61270,176,8
61275,135,10
61282,405,43
61314,28,6
61341,507,41
61342,251,19
61350,671,21
61354,404,6
61356,458,6
61401,1602,91
61410,103,6
61443,454,19
61455,976,79
61462,676,114
61469,112,7
61525,390,11
61548,424,8
61550,868,8
61554,2257,26
61571,1087,9
61603,1233,43
61604,2021,57
61605,990,41
61606,283,6
61610,265,7
61611,1329,21
61614,1954,111
61615,1446,31
61701,2304,50
61704,1878,83
61705,751,15
61739,337,6
61761,2190,56
61764,678,19
61801,1691,45
61802,2057,115
61820,1870,111
61821,2876,129
61822,1972,57
61832,1288,24
61853,1008,18
61856,417,6
61866,1794,166
61874,973,21
61910,265,7
61920,1424,92
61938,1438,39
61951,271,7
61953,342,13
62002,991,103
62010,203,19
62012,207,11
62018,94,8
62024,189,10
62025,850,116
62034,476,74
62035,342,26
62040,1068,88
62049,493,6
62052,152,14
62056,445,14
62059,27,7
62060,124,25
62062,560,11
62069,124,9
62088,387,7
62090,32,11
62095,215,26
62201,186,25
62203,349,47
62204,328,51
62205,435,60
62206,699,124
62207,354,82
62208,632,84
62220,668,149
62221,830,127
62223,502,58
62226,1060,161
62230,322,12
62231,435,82
62232,549,28
62233,556,99
62234,904,87
62236,185,44
62237,242,6
62238,44,6
62239,94,15
62241,47,6
62242,40,6
62243,95,8
62246,262,7
62249,425,14
62254,360,54
62257,109,12
62258,304,15
62260,99,12
62264,95,48
62265,513,33
62269,768,83
62272,163,50
62274,195,10
62278,197,15
62285,86,17
62286,406,51
62288,241,33
62293,180,8
62294,324,20
62295,40,9
62298,319,51
62301,1954,22
62305,240,16
62353,332,7
62428,131,7
62441,208,8
62448,442,37
62454,197,8
62471,370,17
62474,43,6
62521,1405,110
62522,464,36
62526,1382,46
62560,95,7
62565,442,14
62568,685,26
62618,654,65
62629,964,14
62650,1353,32
62656,1340,10
62664,277,11
62675,422,11
62681,230,12
62684,755,71
62692,134,7
62702,3356,72
62703,2546,63
62704,3096,50
62707,779,19
62711,1394,28
62712,725,6
62801,1371,65
62832,435,16
62837,417,7
62863,292,11
62864,1073,83
62882,147,14
62901,1637,153
62902,235,17
62906,777,79
62907,109,20
62912,63,8
62918,468,14
62920,344,65
62948,539,15
62951,203,6
62952,171,10
62959,1404,32
62966,1083,95
62992,160,51
