Zip,cases_04-14-1614,cases_04-14-1250,cases_04-13,cases_04-12
60950,16,14,14,14
60954,8,8,8,8
60964,9,9,9,9
61008,7,7,7,7
61021,9,9,9,8
61032,7,6,6,6
61068,14,14,14,6
61081,15,13,13,13
61101,8,8,8,7
61102,11,11,11,10
61103,11,10,10,8
61104,6,6,6,6
61107,7,7,7,7
61108,14,13,13,13
61109,12,12,12,11
61114,7,7,7,7
61201,22,21,21,19
61241,8,8,8,8
61244,37,36,36,31
61264,6,6,6,
61265,36,32,32,28
61282,9,8,8,6
61604,7,,,
61611,7,7,7,7
61614,7,7,7,
61615,8,9,9,8
61701,30,29,29,28
61704,16,15,15,14
61705,7,7,7,7
61761,17,17,17,17
61764,9,9,9,9
61801,11,11,11,11
61802,14,14,14,14
61820,6,,,
61821,10,11,11,10
61822,23,23,23,22
61853,7,7,7,7
61874,6,6,6,6
61910,6,6,6,6
62002,20,18,18,18
62025,18,16,16,16
62034,8,8,8,8
62035,6,6,6,6
62040,27,24,24,21
62060,7,6,6,6
62095,6,,,
62201,8,7,7,7
62203,8,7,7,6
62204,7,6,6,6
62206,17,16,16,14
62207,14,9,9,8
62208,18,15,15,13
62220,11,10,10,8
62221,22,21,21,19
62223,18,15,15,15
62226,32,30,30,27
62233,22,22,22,21
62234,13,12,12,12
62236,24,23,23,23
62258,9,9,9,9
62265,7,7,7,7
62269,20,18,18,18
62278,10,8,8,8
62294,7,,,
62298,21,20,20,20
62301,12,10,10,10
62305,11,11,11,11
62471,10,10,10,10
62521,31,28,28,23
62526,8,7,7,
62568,21,21,21,21
62650,10,10,10,9
62702,12,11,11,10
62711,8,8,8,7
62801,30,29,29,29
62901,27,27,27,24
62959,6,6,6,6
