County,Tested,Positive_Cases,Deaths
Illinois,2984618,190508,7613
Adams,19040,506,5
Alexander,1181,36,0
Bond,3029,59,3
Boone,9067,758,23
Brown,982,13,0
Bureau,4318,179,2
Calhoun,456,9,0
Carroll,1554,50,4
Cass,3127,223,11
Champaign,79677,1625,19
Chicago,715108,63124,2807
Christian,6318,134,4
Clark,2309,79,2
Clay,1684,20,0
Clinton,6959,387,17
Coles,12259,448,20
Cook,586304,46878,2113
Crawford,1608,29,0
Cumberland,2049,53,2
De Witt,1929,33,0
DeKalb,16121,917,30
Douglas,3986,108,2
DuPage,190727,12021,519
Edgar,1863,28,0
Edwards,413,17,0
Effingham,5400,139,1
Fayette,2591,60,3
Ford,2479,49,2
Franklin,5733,156,0
Fulton,4911,33,0
Gallatin,433,49,2
Greene,1627,38,0
Grundy,6546,307,5
Hamilton,774,28,0
Hancock,3123,47,1
Hardin,478,18,0
Henderson,613,10,0
Henry,9051,232,1
Iroquois,6163,257,11
Jackson,10871,695,19
Jasper,1416,59,7
Jefferson,5125,247,19
Jersey,2386,98,2
Jo Daviess,2911,124,1
Johnson,1431,66,0
Kane,103007,9629,303
Kankakee,29860,1725,68
Kendall,20158,1343,23
Knox,7985,291,1
Lake,152885,12491,445
LaSalle,15773,684,24
Lawrence,2286,45,0
Lee,4107,165,1
Livingston,4772,105,2
Logan,7262,106,0
Macon,18684,578,23
Macoupin,10101,156,3
Madison,41974,2470,74
Marion,5523,152,0
Marshall,1645,24,0
Mason,2383,45,0
Massac,1707,37,0
McDonough,3983,139,15
McHenry,44356,3123,114
McLean,29489,624,15
Menard,2696,53,0
Mercer,2357,73,3
Monroe,3866,305,13
Montgomery,7239,161,7
Morgan,7706,229,6
Moultrie,2120,72,0
Ogle,8044,403,5
Peoria,45639,1525,35
Perry,3240,149,1
Piatt,3945,56,0
Pike,1573,20,0
Pope,310,8,0
Pulaski,816,92,0
Putnam,508,11,0
Randolph,6125,452,7
Richland,2529,18,0
Rock Island,35752,1679,34
Saline,3288,130,2
Sangamon,59233,1194,33
Schuyler,1037,17,0
Scott,1034,16,0
Shelby,3501,75,1
St. Clair,45502,3897,160
Stark,1005,7,0
Stephenson,7230,325,6
Tazewell,28887,486,8
Unassigned,50088,65,0
Union,3603,318,23
Vermilion,13617,229,2
Wabash,994,34,0
Warren,2125,189,0
Washington,1581,64,0
Wayne,1668,59,1
White,1598,64,0
Whiteside,8326,339,16
Will,126174,9053,344
Williamson,12717,374,6
Winnebago,54953,3755,129
Woodford,5866,134,3
