Zip,Tested,Positive_Cases
53511,"1,074",6
60002,"5,706",371
60004,"27,641","1,008"
60005,"15,956",676
60007,"13,704",874
60008,"12,362",850
60009,79,8
60010,"18,041",807
60012,"4,359",213
60013,"7,531",439
60014,"16,316","1,084"
60015,"13,536",581
60016,"27,020","2,053"
60018,"17,274","1,220"
60020,"3,981",205
60021,"1,443",75
60022,"3,827",112
60025,"19,163",986
60026,"8,635",341
60029,312,26
60030,"13,802",686
60031,"16,415",986
60033,"5,683",603
60034,724,35
60035,"18,733",597
60040,"4,511",304
60041,"3,125",196
60042,"2,495",156
60043,"1,179",54
60044,"7,346",240
60045,"10,891",317
60046,"11,842",754
60047,"19,662","1,021"
60048,"12,519",509
60050,"11,242",651
60051,"7,670",438
60053,"13,876",680
60056,"21,634","1,425"
60060,"13,202","1,024"
60061,"10,576",503
60062,"29,743",850
60064,"7,389","1,497"
60067,"22,909",999
60068,"18,609",889
60069,"8,719",201
60070,"8,374",537
60071,"1,283",82
60072,316,12
60073,"24,390","2,491"
60074,"14,659","1,157"
60076,"17,392","1,048"
60077,"15,782",780
60079,935,16
60081,"2,694",193
60083,"4,087",277
60084,"7,849",367
60085,"37,823","4,228"
60087,"12,946","1,413"
60088,"2,883",589
60089,"16,663",744
60090,"19,686","1,451"
60091,"11,856",452
60093,"9,366",416
60096,"2,115",169
60097,"3,556",210
60098,"14,376",973
60099,"13,972","1,300"
60101,"15,014","1,784"
60102,"10,191",788
60103,"17,821","1,168"
60104,"8,717",817
60106,"10,379",964
60107,"17,247","1,559"
60108,"15,496",805
60109,547,21
60110,"12,788","1,621"
60111,97,6
60112,"1,912",139
60113,191,9
60115,"23,239","1,326"
60118,"5,423",372
60119,"3,971",227
60120,"18,973","2,554"
60121,204,9
60123,"21,834","1,928"
60124,"8,966",598
60126,"25,664","1,302"
60129,89,8
60130,"12,499",395
60131,"8,026",838
60133,"16,840","1,635"
60134,"13,085",746
60135,"2,718",188
60136,"2,741",235
60137,"17,861",903
60139,"13,867","1,358"
60140,"6,376",464
60141,"1,680",33
60142,"11,050",614
60143,"5,157",438
60145,753,54
60146,"1,060",80
60148,"24,096","1,230"
60150,622,30
60151,"1,387",77
60152,"4,259",292
60153,"10,117",929
60154,"8,063",502
60155,"3,398",323
60156,"9,071",679
60157,938,57
60159,51,8
60160,"11,808","1,454"
60161,80,7
60162,"5,203",324
60163,"2,424",250
60164,"15,587","1,103"
60165,"1,752",301
60168,81,8
60169,"12,232",915
60171,"4,394",350
60172,"9,696",714
60173,"4,179",297
60174,"16,758",870
60175,"14,263",723
60176,"4,266",495
60177,"12,180",876
60178,"8,514",453
60180,482,20
60181,"12,162",856
60184,922,84
60185,"16,572","1,538"
60187,"20,011",536
