update_date,update_time,Zip,Positive_Cases
04-17-2020,17:34,60516,30
04-17-2020,17:34,60517,55
04-17-2020,17:34,60521,26
04-17-2020,17:34,60523,29
04-17-2020,17:34,60525,70
04-17-2020,17:34,60526,21
04-17-2020,17:34,60527,127
04-17-2020,17:34,60532,29
04-17-2020,17:34,60534,21
04-17-2020,17:34,60538,22
04-17-2020,17:34,60540,27
04-17-2020,17:34,60542,16
04-17-2020,17:34,60543,39
04-17-2020,17:34,60544,49
04-17-2020,17:34,60545,9
04-17-2020,17:34,60546,47
04-17-2020,17:34,60551,9
04-17-2020,17:34,60554,9
04-17-2020,17:34,60555,20
04-17-2020,17:34,60558,13
04-17-2020,17:34,60559,62
04-17-2020,17:34,60560,18
04-17-2020,17:34,60561,46
04-17-2020,17:34,60563,38
04-17-2020,17:34,60564,48
04-17-2020,17:34,60565,63
04-17-2020,17:34,60585,33
04-17-2020,17:34,60586,90
04-17-2020,17:34,60601,35
04-17-2020,17:34,60605,69
04-17-2020,17:34,60606,17
04-17-2020,17:34,60607,138
04-17-2020,17:34,60608,339
04-17-2020,17:34,60609,248
04-17-2020,17:34,60610,104
04-17-2020,17:34,60611,74
04-17-2020,17:34,60612,255
04-17-2020,17:34,60613,155
04-17-2020,17:34,60614,180
04-17-2020,17:34,60615,164
04-17-2020,17:34,60616,179
04-17-2020,17:34,60617,337
04-17-2020,17:34,60618,256
04-17-2020,17:34,60619,364
04-17-2020,17:34,60620,444
04-17-2020,17:34,60621,180
04-17-2020,17:34,60622,186
04-17-2020,17:34,60623,416
04-17-2020,17:34,60624,270
04-17-2020,17:34,60625,277
04-17-2020,17:34,60626,230
04-17-2020,17:34,60628,359
04-17-2020,17:34,60629,420
04-17-2020,17:34,60630,160
04-17-2020,17:34,60631,91
04-17-2020,17:34,60632,316
04-17-2020,17:34,60633,40
04-17-2020,17:34,60634,308
04-17-2020,17:34,60636,206
04-17-2020,17:34,60637,205
04-17-2020,17:34,60638,202
04-17-2020,17:34,60639,430
04-17-2020,17:34,60640,227
04-17-2020,17:34,60641,232
04-17-2020,17:34,60642,38
04-17-2020,17:34,60643,309
04-17-2020,17:34,60644,324
04-17-2020,17:34,60645,408
04-17-2020,17:34,60646,75
