Zip,Tested,Positive_Cases
60002,1975,131
60004,9684,409
60005,4922,257
60007,4288,384
60008,4766,386
60010,4802,242
60012,1070,98
60013,2108,163
60014,4858,379
60015,3688,215
60016,9761,1198
60018,5755,718
60020,1219,51
60021,436,31
60022,1012,41
60025,5904,461
60026,3727,195
60029,124,12
60030,4366,234
60031,5531,396
60033,1801,248
60035,5648,307
60040,1069,185
60041,1030,60
60042,771,61
60043,327,19
60044,1765,119
60045,3096,139
60046,3595,257
60047,7017,567
60048,3422,197
60050,3484,261
60051,2348,153
60053,3968,341
60056,7160,702
60060,4147,496
60061,3054,206
60062,7808,380
60064,2666,683
60067,6524,294
60068,5643,371
60069,2815,107
60070,2763,287
60071,331,20
60073,8914,1176
60074,4672,524
60076,6079,585
60077,4825,446
60079,135,13
60081,780,52
60083,1363,116
60084,1798,203
60085,14005,2579
60087,5015,739
60088,841,274
60089,5016,360
60090,6060,856
60091,3324,191
60093,2801,204
60096,658,53
60097,993,52
60098,4821,418
60099,5048,633
60101,5728,871
60102,3036,227
60103,4921,347
60104,3611,483
60106,4518,571
60107,6122,712
60108,4575,368
60109,353,13
60110,4362,798
60112,471,32
60115,5104,334
60118,1590,105
60119,1020,46
60120,7568,1473
60123,7496,995
60124,2350,165
60126,7148,448
60130,4314,181
60131,2800,389
60133,5945,810
60134,3266,231
60135,771,67
60136,782,76
60137,4463,210
60139,5142,713
60140,1773,119
60141,1030,23
60142,3035,146
60143,1784,210
60145,188,10
60146,253,11
60148,6569,459
60151,356,21
60152,1242,89
60153,4024,565
60154,3053,236
60155,1287,195
60156,2568,196
60157,249,12
60160,4498,803
60162,2067,183
60163,848,103
60164,5464,566
60165,802,189
60169,4237,446
60171,1536,145
60172,3129,259
60173,1242,119
60174,4323,240
60175,2352,144
60176,1467,189
60177,3106,355
60178,2096,94
60181,3593,320
60184,232,10
60185,5478,821
60187,4370,189
60188,5708,559
60189,3528,134
60190,1764,77
60191,1893,244
60192,1420,81
60193,5475,314
60194,3376,206
60195,406,21
60201,6826,362
60202,5496,472
60203,710,42
60301,520,38
60302,5791,261
60304,2550,94
60305,1609,89
60401,1307,63
60402,11358,1559
60403,2921,260
60404,2526,137
60406,4709,576
60408,782,27
60409,7124,742
60410,1297,59
60411,10742,1122
60415,2387,245
60416,770,29
60417,2752,205
60418,1005,143
60419,4950,470
60420,476,13
60421,340,16
60422,1768,110
60423,3451,215
60424,178,6
60425,2359,200
60426,5449,552
60428,2328,251
60429,3404,263
60430,3562,313
60431,3900,272
60432,3208,518
60433,3372,362
60434,421,173
60435,8944,779
60436,3055,282
60438,4641,481
60439,3131,149
60440,10181,977
60441,3312,262
60442,891,60
60443,4227,427
60445,2833,213
60446,6429,614
60447,1383,67
60448,2362,191
60449,1366,92
60450,2200,91
60451,3129,190
60452,3481,290
60453,9056,922
60455,2721,400
60456,588,57
60457,2015,160
60458,1860,181
60459,4295,492
60461,938,71
60462,5423,432
60463,2205,273
60464,1254,71
60465,2143,306
60466,4705,542
60467,2898,223
60468,677,41
60469,940,114
60471,2631,246
60472,997,78
60473,5678,509
60475,1341,110
60476,468,37
60477,4532,319
60478,3990,392
60480,804,48
60481,1622,42
60482,1160,122
60484,1115,142
60487,2675,197
60490,2983,181
60491,2124,185
60501,1881,325
60502,2405,136
60503,1657,89
60504,4945,416
60505,12311,2116
60506,10669,1228
60510,3896,156
60512,145,6
60513,3313,193
60514,1322,74
60515,3092,137
60516,3461,174
60517,4293,271
60518,234,12
60520,283,11
60521,2780,232
60523,1603,123
60525,6446,367
60526,3805,107
60527,5462,317
60531,172,7
60532,3667,173
60534,1768,202
60538,3803,364
60540,5061,182
60541,271,12
60542,2799,224
60543,4791,348
60544,4310,234
60545,1842,176
60546,4119,190
60548,2182,149
60551,351,31
60552,472,16
60554,1345,64
60555,1818,151
60558,1982,104
60559,3586,369
60560,2763,161
60561,3025,151
60563,5676,228
60564,4640,250
60565,4379,233
60585,2765,141
60586,6137,496
60601,1857,97
60602,389,18
60603,202,10
60604,261,24
60605,4574,255
60606,1384,41
60607,4781,518
60608,14016,1935
60609,12161,1982
60610,6650,357
60611,6384,227
60612,7769,781
60613,7482,480
60614,11486,650
60615,7419,469
60616,9998,558
60617,14975,1395
60618,16270,1520
60619,13657,1077
60620,12839,1288
60621,5871,607
60622,10020,764
60623,16090,3663
60624,6920,981
60625,13999,1596
60626,14085,1199
60628,12128,1281
60629,18847,3696
60630,8714,899
60631,6248,398
60632,15370,3439
60633,3481,353
60634,15352,1673
60636,5934,841
60637,9510,718
60638,9546,1267
60639,19797,3705
60640,15387,957
60641,14364,1703
60642,3765,238
60643,10339,860
60644,10655,1379
60645,9245,1158
60646,5327,421
60647,16395,1597
60649,10002,928
60651,11771,1938
60652,7415,1096
60653,8836,626
60654,3009,199
60655,5107,326
60656,4545,343
60657,9754,469
60659,6170,850
60660,6999,516
60661,1318,66
60680,146,8
60706,5320,478
60707,8192,880
60712,2582,201
60714,7542,965
60803,2951,313
60804,15805,3172
60805,2941,260
60827,4154,443
60901,8050,784
60911,195,14
60912,72,6
60913,165,9
60914,5195,273
60915,2145,109
60919,61,7
60922,390,20
60927,690,55
60928,84,7
60930,366,7
60936,698,8
60938,529,11
60940,444,24
60941,238,8
60942,920,13
60950,3317,126
60953,269,6
60954,1541,51
60955,229,16
60957,678,9
60958,354,27
60964,775,45
60970,885,23
61008,4989,507
61010,1313,40
61011,245,14
61012,229,25
61016,612,53
61019,345,16
61020,301,18
61021,2250,103
61024,369,8
61025,331,12
61032,4649,245
61036,1011,24
61038,105,6
61041,108,6
61047,154,7
61048,296,7
61054,535,22
61061,726,26
61063,406,12
61064,363,18
61065,1144,84
61068,1844,179
61071,730,51
61072,1102,49
61073,2053,100
61080,895,68
61081,1325,107
61084,222,13
61085,273,8
61088,592,15
61101,3700,361
61102,3010,318
61103,4949,369
61104,2650,354
61107,4826,315
61108,4994,491
61109,3728,333
61111,3104,143
61114,2441,134
61115,2701,159
61201,6890,358
61231,528,8
61232,195,7
61235,200,8
61238,401,10
61239,188,8
61240,1110,30
61241,1049,26
61244,5149,322
61252,479,36
61254,1662,26
61256,304,9
61264,1636,53
61265,7839,420
61270,702,15
61273,486,18
61275,519,22
61282,1714,82
61284,259,11
61301,1029,10
61310,288,6
61314,62,6
61341,1089,48
61342,642,33
61348,339,9
61350,2870,53
61354,927,18
61356,1200,20
61360,200,9
61362,740,12
61364,1705,22
61401,3353,159
61410,231,10
61420,70,6
61434,247,6
61443,1191,24
61455,1814,93
61462,991,122
61469,169,7
61473,103,6
61520,1924,6
61523,1517,12
61525,1299,48
61528,390,8
61534,170,6
61547,401,12
61548,1340,30
61550,2536,39
61554,5613,57
61568,362,6
61571,3099,41
61602,280,9
61603,2739,132
61604,4970,133
61605,2189,89
61606,714,25
61607,1238,21
61610,635,8
61611,3245,57
61614,5170,194
61615,4056,80
61616,1362,24
61701,4755,93
61704,3784,105
61705,1624,26
61726,236,6
61727,732,12
61729,99,6
61732,257,6
61739,501,6
61745,427,11
61748,303,7
61761,4744,100
61764,1387,25
61801,6072,67
61802,5312,147
61820,7110,195
61821,8372,226
61822,6234,107
61832,3695,57
61834,712,9
61842,385,8
61843,693,25
61853,4037,77
61856,1432,12
61866,3478,215
61873,1179,22
61874,2906,45
61880,930,21
61883,374,9
61884,229,7
61910,536,31
61911,320,19
61920,3248,119
61938,3989,94
61943,167,6
