,Zip,Positive_Cases,update_date,update_time
0,60002,32,04-17-2020,17:34
1,60004,58,04-17-2020,17:34
2,60005,35,04-17-2020,17:34
3,60007,56,04-17-2020,17:34
4,60008,31,04-17-2020,17:34
5,60010,29,04-17-2020,17:34
6,60012,18,04-17-2020,17:34
7,60013,32,04-17-2020,17:34
8,60014,34,04-17-2020,17:34
9,60015,70,04-17-2020,17:34
10,60016,306,04-17-2020,17:34
11,60018,92,04-17-2020,17:34
12,60020,10,04-17-2020,17:34
13,60021,7,04-17-2020,17:34
14,60022,15,04-17-2020,17:34
15,60025,135,04-17-2020,17:34
16,60026,58,04-17-2020,17:34
17,60030,38,04-17-2020,17:34
18,60031,74,04-17-2020,17:34
19,60033,9,04-17-2020,17:34
20,60035,99,04-17-2020,17:34
21,60040,13,04-17-2020,17:34
22,60041,8,04-17-2020,17:34
23,60042,7,04-17-2020,17:34
24,60043,13,04-17-2020,17:34
25,60044,35,04-17-2020,17:34
26,60045,75,04-17-2020,17:34
27,60046,46,04-17-2020,17:34
28,60047,43,04-17-2020,17:34
29,60048,42,04-17-2020,17:34
30,60050,36,04-17-2020,17:34
31,60051,20,04-17-2020,17:34
32,60053,80,04-17-2020,17:34
33,60056,108,04-17-2020,17:34
34,60060,67,04-17-2020,17:34
35,60061,40,04-17-2020,17:34
36,60062,85,04-17-2020,17:34
37,60064,126,04-17-2020,17:34
38,60067,30,04-17-2020,17:34
39,60068,100,04-17-2020,17:34
40,60069,16,04-17-2020,17:34
41,60070,32,04-17-2020,17:34
42,60073,128,04-17-2020,17:34
43,60074,64,04-17-2020,17:34
44,60076,169,04-17-2020,17:34
45,60077,133,04-17-2020,17:34
46,60081,13,04-17-2020,17:34
47,60083,24,04-17-2020,17:34
48,60084,51,04-17-2020,17:34
49,60085,449,04-17-2020,17:34
50,60087,125,04-17-2020,17:34
51,60088,16,04-17-2020,17:34
52,60089,63,04-17-2020,17:34
53,60090,94,04-17-2020,17:34
54,60091,71,04-17-2020,17:34
55,60093,85,04-17-2020,17:34
56,60096,8,04-17-2020,17:34
57,60097,8,04-17-2020,17:34
58,60098,63,04-17-2020,17:34
59,60099,138,04-17-2020,17:34
60,60101,107,04-17-2020,17:34
61,60102,31,04-17-2020,17:34
62,60103,38,04-17-2020,17:34
63,60104,152,04-17-2020,17:34
64,60106,98,04-17-2020,17:34
65,60107,76,04-17-2020,17:34
66,60108,33,04-17-2020,17:34
67,60110,34,04-17-2020,17:34
68,60115,24,04-17-2020,17:34
69,60118,15,04-17-2020,17:34
70,60119,8,04-17-2020,17:34
71,60120,66,04-17-2020,17:34
72,60123,67,04-17-2020,17:34
