Zip,Tested,Positive_Cases
60002,"6,006",417
60004,"28,177","1,035"
60005,"16,259",692
60007,"14,055",916
60008,"12,664",870
60009,80,8
60010,"18,379",830
60012,"4,433",221
60013,"7,707",466
60014,"16,645","1,125"
60015,"13,988",611
60016,"27,658","2,110"
60018,"17,809","1,253"
60020,"4,140",215
60021,"1,467",78
60022,"3,999",119
60025,"19,609","1,025"
60026,"8,747",354
60029,317,26
60030,"13,993",702
60031,"16,615","1,004"
60033,"5,767",618
60034,742,37
60035,"19,307",622
60040,"4,633",313
60041,"3,187",206
60042,"2,545",159
60043,"1,208",55
60044,"7,529",244
60045,"11,083",330
60046,"12,123",802
60047,"19,930","1,051"
60048,"12,685",523
60050,"11,495",678
60051,"7,846",460
60053,"14,401",696
60056,"22,088","1,479"
60060,"13,485","1,049"
60061,"10,834",514
60062,"30,433",880
60064,"7,446","1,504"
60067,"23,383","1,037"
60068,"19,173",915
60069,"8,828",208
60070,"8,508",547
60071,"1,308",85
60072,318,12
60073,"24,723","2,555"
60074,"14,999","1,196"
60076,"17,677","1,066"
60077,"16,047",811
60079,940,16
60081,"2,794",202
60083,"4,158",290
60084,"7,945",370
60085,"38,183","4,282"
60087,"13,201","1,437"
60088,"2,932",591
60089,"16,972",767
60090,"20,116","1,489"
60091,"12,144",469
60093,"9,611",434
60096,"2,144",172
60097,"3,624",223
60098,"14,597","1,010"
60099,"14,563","1,320"
60101,"15,339","1,830"
60102,"10,434",824
60103,"18,247","1,219"
60104,"8,831",835
60106,"10,593",981
60107,"17,639","1,594"
60108,"15,762",829
60109,556,23
60110,"13,063","1,666"
60111,100,7
60112,"1,952",142
60113,192,10
60115,"23,826","1,395"
60118,"5,549",389
60119,"4,093",241
60120,"19,390","2,604"
60121,206,9
60123,"22,396","1,969"
60124,"9,195",633
60126,"26,372","1,336"
60129,91,8
60130,"12,663",404
60131,"8,153",854
60133,"17,190","1,702"
60134,"13,327",763
60135,"2,863",201
60136,"2,815",243
60137,"18,150",935
60139,"14,154","1,398"
60140,"6,525",478
60141,"1,692",34
60142,"11,264",642
60143,"5,307",453
60145,781,59
60146,"1,087",86
60148,"24,769","1,277"
60150,635,30
60151,"1,415",80
60152,"4,327",298
60153,"10,269",949
60154,"8,215",525
60155,"3,459",334
60156,"9,301",717
60157,961,60
60159,52,8
60160,"12,121","1,485"
60161,84,7
60162,"5,267",335
60163,"2,468",253
60164,"15,958","1,145"
60165,"1,774",305
60168,81,8
60169,"12,531",943
60171,"4,464",359
60172,"9,898",751
60173,"4,285",304
60174,"17,153",911
60175,"14,495",759
60176,"4,347",502
60177,"12,379",907
60178,"8,756",488
60180,491,23
60181,"12,443",883
60184,945,85
60185,"16,905","1,595"
60187,"20,389",561
60188,"18,090","1,373"
60189,"13,771",615
60190,"5,760",260
60191,"5,652",555
60192,"5,412",285
60193,"18,923",919
60194,"11,102",455
60195,"1,474",79
60201,"27,050",757
60202,"22,206",753
60203,"2,368",89
60204,164,7
60208,"29,415",13
60301,"1,621",78
60302,"18,751",658
60303,167,7
60304,"9,254",293
60305,"6,018",241
60401,"4,643",252
60402,"30,688","3,479"
60403,"7,641",585
60404,"7,671",470
60406,"12,297","1,209"
60407,509,30
60408,"2,273",155
60409,"17,151","1,399"
60410,"4,166",323
60411,"29,898","2,221"
60415,"6,590",529
60416,"3,114",219
60417,"10,202",503
60418,"3,805",334
60419,"13,286",823
60420,"1,763",90
60421,"1,077",58
60422,"4,836",278
60423,"11,857",997
60424,625,41
60425,"5,089",364
60426,"11,595","1,015"
60428,"5,129",450
60429,"7,444",512
60430,"9,732",591
60431,"10,274",806
60432,"7,662",956
60433,"6,936",730
60434,"2,258",313
60435,"23,485","1,817"
60436,"8,085",703
60438,"13,149","1,163"
60439,"12,157",684
60440,"26,794","1,873"
60441,"11,193",921
60442,"3,357",254
60443,"10,228",867
60444,449,24
60445,"9,905",632
60446,"17,862","1,426"
60447,"4,390",283
60448,"8,185",580
60449,"3,494",242
60450,"6,326",499
60451,"11,855",834
60452,"9,952",868
60453,"27,491","2,247"
60454,64,9
60455,"8,217",808
60456,"1,711",127
60457,"5,349",456
60458,"5,999",490
60459,"11,353","1,294"
60460,664,20
60461,"2,354",143
60462,"16,858","1,349"
60463,"8,765",573
60464,"3,906",278
60465,"6,377",734
60466,"11,065",893
60467,"10,491",779
60468,"2,261",163
60469,"2,385",290
60470,235,11
60471,"6,990",458
60472,"2,418",145
60473,"13,610",941
60474,242,15
60475,"3,524",293
60476,"1,161",100
60477,"14,573","1,089"
60478,"9,438",646
60479,142,6
60480,"2,374",160
60481,"5,916",281
60482,"3,212",307
60484,"2,823",252
60487,"9,323",763
60490,"8,913",490
60491,"8,946",702
60501,"4,533",654
60502,"8,470",471
60503,"5,510",307
60504,"14,751","1,007"
60505,"29,525","3,434"
60506,"27,481","2,329"
60507,151,13
60510,"13,462",657
60511,608,19
60512,429,21
60513,"10,344",540
60514,"3,868",236
60515,"10,874",521
60516,"11,634",555
60517,"12,949",814
60518,897,43
60520,"1,031",55
60521,"8,791",501
60523,"6,726",280
60525,"20,844",975
60526,"9,969",310
60527,"16,769",869
60530,266,9
60531,583,35
60532,"11,675",501
60534,"4,741",468
60537,183,14
60538,"10,992",883
60539,253,19
60540,"17,039",689
60541,799,45
60542,"8,232",533
60543,"14,308",901
60544,"13,508",753
60545,"5,061",424
60546,"12,003",461
60548,"5,541",373
60549,200,9
60550,747,22
60551,"1,151",99
60552,"1,395",72
60553,166,14
60554,"4,655",259
60555,"5,935",391
60556,594,26
60558,"6,191",335
60559,"11,021",738
60560,"10,241",580
60561,"8,962",476
60563,"19,491",793
60564,"16,369",814
60565,"15,252",670
60567,134,6
60585,"8,722",540
60586,"17,700","1,441"
60598,63,7
60601,"9,382",311
60602,"1,110",35
60603,624,16
60604,754,42
60605,"15,470",602
60606,"3,506",105
60607,"20,261","1,023"
60608,"44,254","3,445"
60609,"32,732","3,222"
60610,"24,921","1,027"
60611,"21,374",735
60612,"22,902","1,279"
60613,"30,106","1,232"
60614,"47,199","1,747"
60615,"26,392",817
60616,"30,293","1,205"
60617,"37,665","2,975"
60618,"49,961","3,062"
60619,"30,096","1,757"
60620,"29,770","2,119"
60621,"12,854",924
60622,"38,290","1,705"
60623,"37,637","5,485"
60624,"16,522","1,441"
60625,"40,276","2,853"
60626,"40,955","1,753"
60628,"29,369","2,120"
60629,"49,496","7,237"
60630,"25,711","1,913"
60631,"18,030",950
60632,"40,241","6,120"
60633,"9,278",782
60634,"39,745","3,538"
60636,"13,700","1,331"
60637,"42,179","1,184"
60638,"26,806","3,063"
60639,"45,862","6,073"
60640,"47,509","1,661"
60641,"40,897","3,399"
60642,"13,448",612
60643,"31,920","1,651"
60644,"26,393","1,910"
60645,"27,779","1,808"
60646,"14,215",822
60647,"57,820","3,178"
60649,"23,481","1,393"
60650,165,12
60651,"29,453","3,157"
60652,"20,547","2,237"
60653,"19,978",991
60654,"11,786",602
60655,"15,148","1,070"
60656,"12,523",951
60657,"41,050","1,547"
60659,"16,485","1,472"
60660,"21,682","1,003"
60661,"5,729",266
60680,503,20
60706,"13,457","1,006"
60707,"23,378","1,876"
60712,"9,140",486
60714,"20,567","1,449"
60803,"7,918",802
60804,"38,346","6,071"
60805,"9,485",663
60827,"9,582",708
60901,"24,491","1,685"
60910,306,8
60911,723,39
60912,182,12
60913,629,26
60914,"17,092",931
60915,"6,854",298
60917,261,14
60918,338,9
60919,210,13
60921,566,23
60922,"1,171",71
60924,698,48
60927,"1,937",86
60928,286,19
60929,293,7
60930,"1,423",22
60931,230,17
60935,425,38
60936,"1,990",44
60938,"1,767",89
60940,"1,243",89
60941,960,44
60942,"3,079",135
60944,60,6
60946,150,6
60948,703,19
60949,435,12
60950,"9,615",392
60951,404,9
60952,262,6
60953,774,37
60954,"4,420",155
60955,763,40
60957,"2,724",84
60958,949,65
60959,548,61
60960,392,17
60961,312,11
60962,207,9
60963,814,28
60964,"2,329",115
60966,608,15
60970,"2,930",76
60973,184,10
61001,324,28
61006,458,41
61007,154,9
61008,"16,127","1,570"
61010,"5,181",247
61011,"1,184",82
61012,768,67
61013,243,17
61014,235,19
61015,269,18
61016,"2,144",215
61018,320,27
61019,"1,164",61
61020,"1,109",87
61021,"8,452",620
61024,965,43
61025,805,100
61028,679,31
61030,805,40
61031,475,21
61032,"13,490",924
61036,"3,244",165
61037,51,6
61038,359,30
61039,297,24
61041,419,33
61042,178,18
61044,53,9
61046,780,71
61047,600,29
61048,"1,506",100
61050,106,7
61051,330,38
61052,345,22
61053,"1,622",93
61054,"2,020",67
61059,59,12
61060,464,29
61061,"2,455",121
61062,546,76
61063,"1,622",112
61064,"1,424",66
61065,"4,239",362
61067,191,14
61068,"5,207",660
61070,284,28
61071,"3,731",441
61072,"5,103",424
61073,"9,090",738
61074,"1,985",150
61075,273,22
61078,414,19
61080,"4,136",400
61081,"7,410",683
61084,956,74
61085,"1,345",141
61087,459,55
61088,"2,589",194
61089,202,15
61101,"10,154",773
61102,"8,146",833
61103,"15,000",955
61104,"7,771",800
61105,135,7
61107,"18,356","1,294"
61108,"16,454","1,446"
61109,"11,838","1,156"
61111,"12,422",885
61114,"9,225",624
61115,"10,691",857
61201,"21,489","1,131"
61204,97,7
61230,262,29
61231,"2,839",126
61232,631,42
61233,292,18
61234,562,18
61235,698,20
61238,"1,310",80
61239,475,28
61240,"2,918",142
61241,"3,173",168
61242,386,17
61244,"13,350","1,030"
61250,961,81
61251,116,7
61252,"1,591",192
61254,"5,672",164
61256,790,38
61257,401,16
61259,348,23
61260,259,15
61261,289,17
61262,287,11
61263,338,11
61264,"4,780",245
61265,"22,774","1,419"
61270,"2,488",248
61272,462,32
61273,"1,423",61
61275,"1,749",88
61277,"2,496",101
61278,207,6
61279,368,25
61281,"1,076",62
61282,"4,916",280
61283,321,17
61284,928,70
61285,"2,433",135
61301,"4,703",278
61310,"1,257",102
61311,56,6
61312,117,17
61314,266,12
61315,100,12
61316,149,10
61317,122,12
61318,170,11
61319,438,26
61320,143,9
61322,457,125
61325,420,33
61326,536,53
61327,411,17
61329,357,35
61330,380,34
61333,215,17
61334,174,14
61335,148,13
61336,197,10
61337,134,13
61338,107,7
61340,114,6
61341,"3,280",201
61342,"3,108",383
61345,203,14
61348,"1,232",114
61349,262,26
61350,"10,285",525
61353,404,23
61354,"3,434",313
61356,"5,331",321
61359,86,6
61360,750,57
61361,461,34
61362,"3,618",211
61363,45,8
61364,"7,831",539
61367,235,35
61368,409,35
61369,"1,894",23
61370,287,17
61373,544,50
61375,363,15
61376,681,48
61377,435,24
61378,86,9
61379,398,45
61401,"17,468","1,048"
61410,"1,047",68
61412,399,35
61413,343,22
61414,221,14
61415,417,24
61417,82,7
61418,169,11
61420,345,23
61421,419,29
61422,"1,488",93
61423,185,23
61425,117,7
61427,"1,141",42
61428,437,37
61430,264,16
61431,126,12
61432,328,19
61434,"1,018",34
61436,279,15
61437,210,12
61438,288,13
61439,72,8
61440,260,6
61441,351,32
61442,224,23
61443,"5,522",241
61447,254,23
61448,"1,775",129
61450,586,32
61451,187,9
61453,207,12
61454,249,21
61455,"9,241",626
61458,236,14
61460,92,6
61462,"4,086",421
61465,336,15
61466,84,9
61467,296,28
61469,572,44
61472,184,16
61473,656,38
61476,194,10
61477,251,11
61478,78,11
61480,512,25
61482,259,9
61483,"1,378",27
61484,267,17
61485,207,9
61486,585,27
61488,362,27
61489,341,16
61490,377,18
61491,"1,026",42
61501,605,19
61516,255,8
61517,"1,464",71
61519,119,6
61520,"8,495",319
61523,"5,824",316
61525,"6,278",317
61526,499,16
61528,"1,725",70
61529,"1,415",49
61530,"3,162",120
61531,"2,122",56
61532,210,7
61533,914,47
61534,621,27
61535,825,37
61536,"1,317",67
61537,"1,570",64
61540,"1,016",24
61542,"1,506",95
61544,289,8
61545,272,15
61546,"1,851",41
61547,"1,835",84
61548,"6,897",302
61550,"12,527",511
61554,"23,887","1,045"
61559,"1,538",50
61561,"1,222",26
61563,236,6
61564,475,22
61565,569,16
61567,284,11
61568,"2,006",125
61569,477,17
61570,713,13
61571,"12,703",529
61572,333,15
61602,839,47
61603,"8,457",489
61604,"18,891",855
61605,"6,842",396
61606,"4,498",282
61607,"5,513",268
61610,"2,428",106
61611,"13,523",562
61614,"23,287",802
61615,"14,156",615
61616,"5,042",167
61625,81,56
