County,Tested,Positive_Cases,Deaths
Illinois,2937749,188424,7594
Adams,18616,486,5
Alexander,1174,36,0
Bond,3002,59,3
Boone,8989,754,23
Brown,972,13,0
Bureau,4252,170,2
Calhoun,448,9,0
Carroll,1535,48,4
Cass,2958,219,11
Champaign,78258,1615,19
Chicago,705181,62807,2800
Christian,6222,128,4
Clark,2288,76,1
Clay,1665,18,0
Clinton,6786,378,17
Coles,12108,433,20
Cook,577781,46343,2112
Crawford,1597,29,0
Cumberland,2027,51,2
De Witt,1902,32,0
DeKalb,15817,898,30
Douglas,3955,106,2
DuPage,187287,11926,519
Edgar,1848,28,0
Edwards,408,17,0
Effingham,5254,129,1
Fayette,2561,60,3
Ford,2416,51,1
Franklin,5648,147,0
Fulton,4857,32,0
Gallatin,426,48,2
Greene,1591,33,0
Grundy,6466,299,5
Hamilton,768,26,0
Hancock,3093,46,1
Hardin,473,18,0
Henderson,611,10,0
Henry,8849,224,1
Iroquois,6122,252,9
Jackson,10677,685,19
Jasper,1406,55,7
Jefferson,4995,218,19
Jersey,2247,85,1
Jo Daviess,2873,121,1
Johnson,1411,66,0
Kane,101093,9509,302
Kankakee,29658,1713,68
Kendall,19755,1319,23
Knox,7844,285,2
Lake,150683,12376,444
LaSalle,15387,666,21
Lawrence,2279,44,0
Lee,4030,162,1
Livingston,4696,103,2
Logan,7121,90,0
Macon,18244,550,23
Macoupin,9732,154,3
Madison,41344,2410,74
Marion,5493,153,0
Marshall,1613,22,0
Mason,2352,45,0
Massac,1684,36,0
McDonough,3922,137,15
McHenry,43495,3060,114
McLean,28560,611,15
Menard,2629,53,0
Mercer,2324,73,3
Monroe,3816,299,13
Montgomery,7159,161,7
Morgan,7232,222,6
Moultrie,2089,69,0
Ogle,7889,400,5
Peoria,44688,1488,35
Perry,3188,142,1
Piatt,3891,54,0
Pike,1535,18,0
Pope,304,8,0
Pulaski,807,91,0
Putnam,497,11,0
Randolph,5877,441,7
Richland,2480,15,0
Rock Island,35330,1656,34
Saline,3241,126,2
Sangamon,58003,1151,33
Schuyler,931,17,0
Scott,999,13,0
Shelby,3453,68,1
St. Clair,44825,3845,159
Stark,991,7,0
Stephenson,7178,325,6
Tazewell,28299,448,8
Unassigned,49902,61,0
Union,3558,309,23
Vermilion,13488,222,2
Wabash,988,34,0
Warren,2104,187,0
Washington,1565,60,0
Wayne,1658,55,1
White,1582,64,0
Whiteside,8171,335,16
Will,123874,8932,344
Williamson,12515,364,6
Winnebago,54462,3746,128
Woodford,5710,125,3
