Zip,Tested,Positive_Cases
60002,1345,114
60004,6664,357
60005,3152,195
60007,2854,364
60008,3571,344
60010,2518,145
60012,652,86
60013,1246,98
60014,3132,296
60015,2026,187
60016,6876,1086
60018,3783,662
60020,840,41
60021,283,22
60022,570,29
60025,3926,372
60026,1772,153
60029,78,8
60030,2668,186
60031,3450,361
60033,1207,212
60035,3083,268
60040,755,178
60041,661,50
60042,478,39
60043,221,19
60044,1095,105
60045,1820,124
60046,2286,211
60047,3299,408
60048,1909,152
60050,2344,226
60051,1572,126
60053,2361,306
60056,4846,647
60060,2801,446
60061,2146,178
60062,4085,332
60064,2027,656
60067,3938,235
60068,3184,311
60069,1292,91
60070,1676,263
60071,220,14
60073,6251,1075
60074,3352,468
60076,4138,513
60077,3127,420
60079,60,12
60081,524,42
60083,937,103
60084,1124,186
60085,9855,2409
60087,3757,673
60088,498,83
60089,3114,315
60090,4316,813
60091,2038,156
60093,1817,179
60096,444,40
60097,672,40
60098,2775,323
60099,3333,584
60101,4249,812
60102,1998,172
60103,3191,297
60104,2580,430
60106,2847,520
60107,4229,662
60108,3114,327
60109,317,11
60110,3296,734
60112,331,28
60115,3539,294
60118,1060,85
60119,652,38
60120,5825,1362
60123,5589,908
60124,1591,135
60126,3992,277
60130,2444,155
60131,2130,357
60133,4331,763
60134,1907,165
60135,528,39
60136,511,56
60137,2676,155
60139,3760,651
60140,1209,98
60141,695,22
60142,1902,104
60143,1208,188
60145,122,7
60146,172,9
60148,4274,388
60151,269,18
60152,779,82
60153,3025,521
60154,2145,207
60155,953,176
60156,1682,163
60157,175,12
60160,3629,768
60162,1270,167
60163,624,99
60164,3956,529
60165,667,185
60169,3018,389
60171,1075,128
60172,2057,240
60173,840,109
60174,2642,181
60175,1521,100
60176,1024,160
60177,1900,285
60178,1426,66
60181,2414,266
60184,148,9
60185,3953,758
60187,2495,138
60188,3824,499
60189,2057,117
60190,932,55
60191,1405,222
60192,923,63
60193,3415,276
60194,2155,172
60195,268,20
60201,4538,334
60202,3625,445
60203,465,35
60301,317,28
60302,3418,222
60304,1436,80
60305,865,57
60401,909,42
60402,8381,1453
60403,2095,215
60404,1797,121
60406,3547,520
60408,476,20
60409,5019,614
60410,927,53
60411,7533,951
60415,1612,198
60416,450,13
60417,1735,167
60418,685,118
60419,3376,406
60420,298,8
60421,250,14
60422,1142,85
60423,2278,151
60424,110,6
60425,1639,173
60426,3909,491
60428,1766,221
60429,2606,236
60430,2470,285
60431,2878,230
60432,2513,466
60433,2332,320
60434,290,166
60435,6470,711
60436,2292,260
60438,3172,408
60439,1615,104
60440,7321,899
60441,2347,223
60442,625,48
60443,2881,371
60445,1849,166
60446,4623,556
60447,962,58
60448,1475,146
60449,891,73
60450,1188,58
60451,2045,130
60452,2417,251
60453,6068,803
60455,1862,318
60456,419,55
60457,1118,130
60458,1300,146
