update_date,update_time,County,Positive_Cases,Deaths,Tested,NOFO_Region,Metro_Area
09-01-2020,12:45,Illinois,"236,515","8,064","4,087,122",Illinois,Illinois
09-01-2020,12:45,Adams,786,8,"24,830",West Central,
09-01-2020,12:45,Alexander,44,0,"1,405",Southern,Cape_Girardeau
09-01-2020,12:45,Bond,154,3,"4,782",Southwest Central,St_Louis
09-01-2020,12:45,Boone,873,23,"11,319",Northern,Rockford
09-01-2020,12:45,Brown,20,0,"1,277",West Central,
09-01-2020,12:45,Bureau,378,9,"5,877",Northwest,
09-01-2020,12:45,Calhoun,26,0,825,Southwest Central,St_Louis
09-01-2020,12:45,Carroll,135,4,"2,550",Northwest,
09-01-2020,12:45,Cass,299,11,"3,970",Central,
09-01-2020,12:45,Champaign,"2,498",20,"230,378",Northeast Central,Champaign-Urbana
09-01-2020,12:45,Chicago,"71,441","2,879","920,970",Chicago,Chicago
09-01-2020,12:45,Christian,244,5,"8,592",Central,
09-01-2020,12:45,Clark,116,2,"3,384",Southeast Central,
09-01-2020,12:45,Clay,84,0,"2,432",Southeast Central,
09-01-2020,12:45,Clinton,740,17,"9,453",Southwest Central,St_Louis
09-01-2020,12:45,Coles,986,22,"19,385",Southeast Central,
09-01-2020,12:45,Cook,"55,551","2,186","764,896",Suburban,Chicago
09-01-2020,12:45,Crawford,80,0,"2,438",Southeast Central,
09-01-2020,12:45,Cumberland,140,3,"3,055",Southeast Central,
09-01-2020,12:45,De Witt,44,1,"2,659",North Central,Bloomington
09-01-2020,12:45,DeKalb,"1,127",36,"22,178",Northern,Elgin
09-01-2020,12:45,Douglas,223,5,"6,198",Northeast Central,
09-01-2020,12:45,DuPage,"14,679",534,"253,562",Collar,Chicago
09-01-2020,12:45,Edgar,84,0,"2,447",Southeast Central,
09-01-2020,12:45,Edwards,42,0,610,Southern,
09-01-2020,12:45,Effingham,549,1,"8,596",Southeast Central,
09-01-2020,12:45,Fayette,172,3,"3,871",Southeast Central,
09-01-2020,12:45,Ford,71,2,"3,454",Northeast Central,Champaign-Urbana
09-01-2020,12:45,Franklin,345,1,"8,643",Southern,
09-01-2020,12:45,Fulton,89,0,"7,189",North Central,
09-01-2020,12:45,Gallatin,63,2,585,Southern,
09-01-2020,12:45,Greene,115,1,"2,426",Central,
09-01-2020,12:45,Grundy,483,5,"8,488",Collar,Chicago
09-01-2020,12:45,Hamilton,45,0,"1,041",Southern,
09-01-2020,12:45,Hancock,140,2,"4,514",West Central,
09-01-2020,12:45,Hardin,19,0,586,Southern,
09-01-2020,12:45,Henderson,45,0,915,West Central,
09-01-2020,12:45,Henry,468,1,"12,418",Northwest,Davenport
09-01-2020,12:45,Iroquois,306,19,"8,468",Northeast Central,
09-01-2020,12:45,Jackson,951,22,"14,565",Southern,Carbondale-Marion
09-01-2020,12:45,Jasper,132,7,"2,031",Southeast Central,
09-01-2020,12:45,Jefferson,462,34,"7,028",Southern,
09-01-2020,12:45,Jersey,278,6,"4,311",Southwest Central,St_Louis
09-01-2020,12:45,Jo Daviess,177,2,"4,068",Northwest,
09-01-2020,12:45,Johnson,117,0,"2,024",Southern,
09-01-2020,12:45,Kane,"11,285",313,"136,830",Collar,Elgin
09-01-2020,12:45,Kankakee,"2,256",71,"39,559",Collar,Kankakee
09-01-2020,12:45,Kendall,"1,660",23,"26,848",Collar,Chicago
09-01-2020,12:45,Knox,459,3,"12,405",West Central,
09-01-2020,12:45,Lake,"14,639",467,"197,555",Collar,Lake
09-01-2020,12:45,LaSalle,"1,273",48,"23,532",Northwest,
09-01-2020,12:45,Lawrence,136,0,"3,612",Southeast Central,
09-01-2020,12:45,Lee,243,1,"5,584",Northwest,
09-01-2020,12:45,Livingston,199,4,"7,726",North Central,
09-01-2020,12:45,Logan,265,1,"10,391",Central,
09-01-2020,12:45,Macon,988,27,"27,810",Central,Decatur
09-01-2020,12:45,Macoupin,352,4,"14,345",Central,St_Louis
09-01-2020,12:45,Madison,"4,102",100,"57,566",Southwest Central,St_Louis
09-01-2020,12:45,Marion,278,0,"8,039",Southeast Central,
09-01-2020,12:45,Marshall,53,0,"2,304",North Central,Peoria
09-01-2020,12:45,Mason,87,1,"3,367",North Central,
09-01-2020,12:45,Massac,65,1,"2,136",Southern,
09-01-2020,12:45,McDonough,215,15,"5,494",West Central,
09-01-2020,12:45,McHenry,"3,881",115,"58,539",Collar,Chicago
09-01-2020,12:45,McLean,"1,869",16,"48,596",North Central,Bloomington
09-01-2020,12:45,Menard,70,0,"3,504",Central,Springfield
09-01-2020,12:45,Mercer,103,5,"3,307",Northwest,Davenport
09-01-2020,12:45,Monroe,461,14,"5,391",Southwest Central,St_Louis
09-01-2020,12:45,Montgomery,251,8,"9,573",Central,
09-01-2020,12:45,Morgan,495,20,"10,936",Central,
09-01-2020,12:45,Moultrie,162,2,"3,410",Southeast Central,
09-01-2020,12:45,Ogle,483,5,"10,943",Northern,
09-01-2020,12:45,Out Of State,2,0,"41,220",Out Of State,
09-01-2020,12:45,Peoria,"2,414",40,"65,622",North Central,Peoria
09-01-2020,12:45,Perry,294,9,"5,176",Southern,
09-01-2020,12:45,Piatt,80,0,"5,639",Northeast Central,Champaign-Urbana
09-01-2020,12:45,Pike,73,0,"2,085",West Central,
09-01-2020,12:45,Pope,19,1,443,Southern,
09-01-2020,12:45,Pulaski,125,1,"1,087",Southern,
09-01-2020,12:45,Putnam,20,0,769,Northwest,
09-01-2020,12:45,Randolph,748,7,"8,515",Southern,
09-01-2020,12:45,Richland,65,3,"3,512",Southeast Central,
09-01-2020,12:45,Rock Island,"2,228",57,"46,218",Northwest,Davenport
09-01-2020,12:45,Saline,164,3,"4,968",Southern,
09-01-2020,12:45,Sangamon,"1,804",39,"78,335",Central,Springfield
09-01-2020,12:45,Schuyler,23,0,"1,370",West Central,
09-01-2020,12:45,Scott,46,0,"1,561",Central,
09-01-2020,12:45,Shelby,210,3,"5,028",Central,
09-01-2020,12:45,St. Clair,"5,347",170,"61,696",Southwest Central,St_Louis
09-01-2020,12:45,Stark,24,0,"1,301",North Central,Peoria
09-01-2020,12:45,Stephenson,381,6,"8,893",Northern,
09-01-2020,12:45,Tazewell,"1,109",10,"43,635",North Central,Peoria
09-01-2020,12:45,Unassigned,77,0,"54,309",Unassigned,
09-01-2020,12:45,Union,432,24,"4,803",Southern,
09-01-2020,12:45,Vermilion,344,4,"19,157",Northeast Central,Danville
09-01-2020,12:45,Wabash,108,1,"1,867",Southern,
09-01-2020,12:45,Warren,258,1,"2,974",West Central,
09-01-2020,12:45,Washington,115,1,"2,238",Southwest Central,
09-01-2020,12:45,Wayne,112,2,"2,588",Southern,
09-01-2020,12:45,White,125,0,"2,429",Southern,
09-01-2020,12:45,Whiteside,511,19,"10,811",Northwest,
09-01-2020,12:45,Will,"11,619",360,"166,303",Collar,Chicago
09-01-2020,12:45,Williamson,927,13,"18,773",Southern,Carbondale-Marion
09-01-2020,12:45,Winnebago,"4,278",147,"67,019",Northern,Rockford
09-01-2020,12:45,Woodford,281,3,"8,778",North Central,Peoria
08-31-2020,12:45,Illinois,"235,023","8,026","4,064,161",Illinois,Illinois
08-31-2020,12:45,Adams,771,7,"24,820",West Central,
