County,Tested,Positive_Cases,Deaths
Illinois,1571896,142461,6902
Adams,8221,88,1
Alexander,508,22,0
Bond,849,13,1
Boone,5250,579,21
Brown,510,10,0
Bureau,2271,25,1
Calhoun,159,1,0
Carroll,591,21,2
Cass,1848,129,1
Champaign,28876,854,12
Chicago,403848,52150,2593
Christian,2441,43,4
Clark,880,15,0
Clay,1125,2,0
Clinton,3885,236,17
Coles,5644,161,17
Cook,336073,37972,1961
Crawford,900,18,0
Cumberland,790,11,0
De Witt,940,4,0
DeKalb,9124,542,18
Douglas,1628,50,0
DuPage,99278,8993,470
Edgar,1145,10,0
Edwards,244,2,0
Effingham,2208,11,1
Fayette,1553,23,3
Ford,1251,31,1
Franklin,2688,14,0
Fulton,2336,15,0
Gallatin,167,2,0
Greene,914,9,0
Grundy,3406,160,4
Hamilton,381,4,0
Hancock,1098,18,1
Hardin,172,1,0
Henderson,349,8,0
Henry,3074,86,1
Iroquois,2713,157,5
Jackson,5281,329,19
Jasper,880,46,7
Jefferson,2569,107,17
Jersey,1255,35,1
Jo Daviess,1380,42,1
Johnson,672,20,0
Kane,58567,7674,265
Kankakee,15277,1269,65
Kendall,10868,955,20
Knox,3143,125,0
Lake,81907,9695,415
LaSalle,7706,208,17
Lawrence,953,7,0
Lee,2131,97,2
Livingston,2364,43,2
Logan,3400,13,0
Macon,7825,228,22
Macoupin,4378,51,3
Madison,17426,931,68
Marion,2967,65,0
Marshall,854,8,0
Mason,1331,22,0
Massac,973,11,0
McDonough,2277,100,15
McHenry,23110,2010,97
McLean,13035,257,13
Menard,1382,24,0
Mercer,944,19,0
Monroe,1744,126,13
Montgomery,2890,42,1
Morgan,4112,127,3
Moultrie,1118,17,0
Ogle,3990,256,4
Out Of State,10594,1,0
Peoria,18886,487,28
Perry,1264,50,1
Piatt,1391,19,0
Pike,846,2,0
Pope,152,1,0
Pulaski,526,74,0
Putnam,229,1,0
Randolph,3074,281,7
Richland,1240,4,0
Rock Island,13852,912,28
Saline,1162,9,0
Sangamon,28335,419,31
Schuyler,570,13,0
Shelby,1725,18,1
St. Clair,19550,1863,135
Stark,301,3,0
Stephenson,4691,268,5
Tazewell,12070,122,7
Unassigned,38413,43,0
Union,2147,184,19
Vermilion,5321,66,2
Wabash,598,22,0
Warren,1075,135,0
Washington,814,19,0
Wayne,1185,13,1
White,522,4,0
Whiteside,3979,183,15
Will,73240,6635,319
Williamson,5577,114,4
Winnebago,32108,3014,92
Woodford,2402,33,2
