County,Tested,Positive_Cases,Deaths
Illinois,2542134,172655,7416
Adams,15519,352,1
Alexander,1012,35,0
Bond,2084,40,2
Boone,7888,695,23
Brown,904,12,0
Bureau,3591,80,2
Calhoun,388,6,0
Carroll,1306,35,2
Cass,2554,173,11
Champaign,62391,1419,17
Chicago,622541,59403,2756
Christian,4446,80,4
Clark,1878,59,0
Clay,1547,10,0
Clinton,5602,306,17
Coles,10084,315,17
Cook,513664,43605,2086
Crawford,1442,30,0
Cumberland,1691,39,2
De Witt,1602,25,0
DeKalb,13765,784,24
Douglas,3140,96,1
DuPage,162012,10953,509
Edgar,1690,24,0
Edwards,368,6,0
Effingham,4374,68,1
Fayette,2292,43,3
Ford,2177,37,1
Franklin,4994,106,0
Fulton,4169,24,0
Gallatin,362,37,0
Greene,1359,17,0
Grundy,5729,249,5
Hamilton,669,13,0
Hancock,2840,27,1
Hardin,372,16,0
Henderson,540,9,0
Henry,7653,173,1
Iroquois,5374,219,5
Jackson,8899,544,19
Jasper,1266,49,7
Jefferson,4328,162,17
Jersey,1922,59,1
Jo Daviess,2497,99,1
Johnson,1217,50,0
Kane,87014,8782,293
Kankakee,26068,1606,66
Kendall,17113,1219,21
Knox,6089,223,1
Lake,131635,11523,439
LaSalle,13039,419,18
Lawrence,1909,37,0
Lee,3498,129,2
Livingston,4105,74,2
Logan,6123,65,0
Macon,14275,377,22
Macoupin,8271,112,3
Madison,34283,1915,71
Marion,4761,116,0
Marshall,1402,17,0
Mason,2050,40,0
Massac,1486,31,0
McDonough,3542,121,15
McHenry,37459,2705,111
McLean,22451,471,15
Menard,2238,40,0
Mercer,1935,48,0
Monroe,3393,227,13
Montgomery,6069,128,3
Morgan,6203,160,5
Moultrie,1765,47,0
Ogle,6800,357,5
Out Of State,28023,4,0
Peoria,35969,1036,33
Perry,2721,92,1
Piatt,3206,35,0
Pike,1336,11,0
Pope,248,7,0
Pulaski,730,89,0
Putnam,402,8,0
Randolph,5134,409,7
Richland,2252,12,0
Rock Island,31290,1454,30
Saline,2785,83,0
Sangamon,49007,823,33
Schuyler,822,14,0
Scott,808,6,0
Shelby,2726,40,1
St. Clair,37022,3202,153
Stark,810,6,0
Stephenson,6557,307,6
Tazewell,22726,280,8
Unassigned,47992,70,0
Union,3191,273,21
Vermilion,10983,180,2
Wabash,953,25,0
Warren,1768,170,0
Washington,1352,50,0
Wayne,1514,32,1
White,1307,48,0
Whiteside,6862,284,16
Will,109642,8148,338
Williamson,10579,270,4
Winnebago,48229,3539,118
Woodford,4532,73,3
