Zip,Tested,Positive_Cases
60002,1668,119
60004,8236,385
60005,3996,226
60007,3654,376
60008,4113,354
60010,3643,177
60012,828,90
60013,1625,123
60014,3971,326
60015,2908,198
60016,8216,1148
60018,4834,691
60020,1023,44
60021,351,22
60022,762,34
60025,4765,400
60026,2672,160
60029,92,8
60030,3485,212
60031,4341,374
60033,1482,233
60035,4276,293
60040,938,181
60041,829,55
60042,618,48
60043,283,19
60044,1377,112
60045,2406,135
60046,2882,232
60047,4858,473
60048,2666,177
60050,2854,242
60051,1945,135
60053,3027,329
60056,5951,672
60060,3405,468
60061,2561,184
60062,6107,356
60064,2303,670
60067,5155,263
60068,4351,344
60069,1964,98
60070,2108,278
60071,263,16
60073,7574,1135
60074,3992,490
60076,5233,550
60077,3967,435
60079,97,12
60081,648,45
60083,1114,106
60084,1469,194
60085,11694,2490
60087,4346,699
60088,628,171
60089,4063,337
60090,5070,839
60091,2613,178
60093,2275,190
60096,535,41
60097,810,45
60098,3913,363
60099,4278,602
60101,4951,840
60102,2501,190
60103,4038,319
60104,3127,454
60106,3677,540
60107,5174,684
60108,3692,354
60109,340,11
60110,3814,764
60112,403,29
60115,4499,310
60118,1287,90
60119,856,39
60120,6724,1426
60123,6415,961
60124,1968,148
60126,5446,355
60130,3301,168
60131,2463,369
60133,5214,789
60134,2636,199
60135,650,52
60136,641,67
60137,3581,174
60139,4457,677
60140,1479,109
60141,864,26
60142,2420,119
60143,1584,205
60145,155,8
60146,227,10
60148,5428,423
60151,308,20
60152,990,85
60153,3491,536
60154,2541,222
60155,1122,182
60156,2102,170
60157,221,12
60160,4057,786
60162,1733,178
60163,723,101
60164,4784,549
60165,727,187
60169,3649,423
60171,1283,137
60172,2550,249
60173,1058,112
60174,3373,207
60175,1901,117
60176,1242,180
60177,2487,306
60178,1788,74
60181,2967,301
60184,183,8
60185,4624,790
60187,3390,164
60188,4681,524
60189,2784,125
60190,1432,68
60191,1626,235
60192,1173,69
60193,4452,293
60194,3039,190
60195,341,21
60201,5578,351
60202,4495,458
60203,594,36
60301,422,30
60302,4504,241
60304,1909,87
60305,1133,59
60401,1102,49
60402,9731,1489
60403,2453,241
60404,2210,129
60406,4079,552
60408,664,26
60409,5960,660
60410,1128,56
60411,9144,1012
60415,2070,224
60416,580,21
60417,2279,188
60418,821,122
60419,4154,434
60420,377,13
60421,291,15
60422,1389,95
60423,2861,182
60424,137,6
60425,1935,184
60426,4623,522
