County,Positive_Cases,Deaths,Tested
Illinois,30357,1290,143318
Chicago,12533,492,0
Adams,34,0,0
Alexander,2,0,0
Bond,4,1,0
Boone,30,2,0
Bureau,8,0,0
Calhoun,1,0,0
Carroll,6,1,0
Champaign,95,4,0
Christian,25,4,0
Clark,4,0,0
Clay,1,0,0
Clinton,45,0,0
Coles,16,0,0
Cook,8739,385,0
Crawford,4,0,0
Cumberland,2,0,0
DeKalb,55,1,0
De Witt,1,0,0
Douglas,12,0,0
DuPage,1695,85,0
Effingham,4,1,0
Fayette,15,1,0
Ford,5,1,0
Franklin,5,0,0
Fulton,1,0,0
Gallatin,2,0,0
Greene,1,0,0
Grundy,26,0,0
Hamilton,1,0,0
Hancock,3,0,0
Henderson,2,0,0
Henry,30,0,0
Iroquois,13,0,0
Jackson,42,4,0
Jasper,20,1,0
Jefferson,31,0,0
Jersey,8,0,0
Jo Daviess,12,0,0
Johnson,2,0,0
Kane,605,30,0
Kankakee,275,12,0
Kendall,135,3,0
Knox,9,0,0
Lake,2162,75,0
LaSalle,28,1,0
Lawrence,2,0,0
Lee,17,0,0
Livingston,17,0,0
Logan,4,0,0
McDonough,3,0,0
McHenry,340,17,0
McLean,85,3,0
Macon,54,7,0
Macoupin,21,0,0
Madison,180,6,0
Marion,20,0,0
Marshall,4,0,0
Mason,4,0,0
Massac,3,0,0
Menard,3,0,0
Mercer,5,0,0
Monroe,53,7,0
Montgomery,14,1,0
Morgan,12,1,0
Moultrie,2,0,0
Ogle,48,1,0
Peoria,39,2,0
Perry,1,0,0
Piatt,7,0,0
Pike,1,0,0
Pulaski,9,0,0
Randolph,57,1,0
Richland,2,0,0
Rock Island,188,4,0
St. Clair,271,18,0
Saline,3,0,0
Sangamon,62,4,0
Schuyler,1,0,0
Shelby,4,0,0
Stark,1,0,0
Stephenson,12,0,0
Tazewell,26,3,0
Unassigned,115,3,0
Union,5,0,0
Vermilion,9,0,0
Wabash,1,0,0
Warren,13,0,0
Washington,7,0,0
Wayne,1,0,0
Whiteside,36,3,0
Will,1643,101,0
Williamson,14,0,0
Winnebago,178,4,0
Woodford,11,0,0
