County,Tested,Positive_Cases,Deaths
Illinois,2849395,184712,7545
Adams,17986,454,5
Alexander,1159,36,0
Bond,2873,57,2
Boone,8823,739,23
Brown,956,13,0
Bureau,4118,154,2
Calhoun,425,8,0
Carroll,1507,46,3
Cass,2852,203,11
Champaign,75359,1576,19
Chicago,690334,62145,2793
Christian,5847,117,4
Clark,2257,70,0
Clay,1636,15,0
Clinton,6427,353,17
Coles,11807,411,19
Cook,563613,45599,2109
Crawford,1579,29,0
Cumberland,1927,47,2
De Witt,1835,31,0
DeKalb,15213,871,29
Douglas,3780,103,2
DuPage,182490,11689,513
Edgar,1816,26,0
Edwards,399,14,0
Effingham,5063,119,1
Fayette,2505,58,3
Ford,2374,42,1
Franklin,5480,134,0
Fulton,4581,28,0
Gallatin,404,45,0
Greene,1534,21,0
Grundy,6266,287,5
Hamilton,738,23,0
Hancock,3017,35,1
Hardin,453,17,0
Henderson,601,9,0
Henry,8624,208,1
Iroquois,5964,250,9
Jackson,10331,658,19
Jasper,1382,55,7
Jefferson,4839,191,17
Jersey,2123,73,1
Jo Daviess,2825,116,1
Johnson,1342,59,0
Kane,97610,9336,298
Kankakee,28738,1698,68
Kendall,19136,1295,23
Knox,7308,265,1
Lake,146349,12223,440
LaSalle,14803,577,20
Lawrence,2235,43,0
Lee,3901,148,2
Livingston,4601,96,2
Logan,6963,87,0
Macon,17614,502,23
Macoupin,9472,142,3
Madison,39673,2266,73
Marion,5288,140,0
Marshall,1552,22,0
Mason,2298,43,0
Massac,1645,34,0
McDonough,3857,133,15
McHenry,42110,2991,114
McLean,27457,584,15
Menard,2548,49,0
Mercer,2262,73,3
Monroe,3748,284,13
Montgomery,6936,147,7
Morgan,7083,205,6
Moultrie,2030,62,0
Ogle,7631,383,5
Peoria,42280,1399,35
Perry,3066,126,1
Piatt,3767,51,0
Pike,1489,13,0
Pope,289,8,0
Pulaski,785,91,0
Putnam,471,9,0
Randolph,5689,435,7
Richland,2446,14,0
Rock Island,34375,1615,32
Saline,3136,115,1
Sangamon,55686,1057,33
Schuyler,905,17,0
Scott,976,11,0
Shelby,3290,63,1
St. Clair,43224,3696,156
Stark,968,7,0
Stephenson,7027,321,6
Tazewell,26774,406,8
Unassigned,49477,84,0
Union,3451,305,21
Vermilion,13115,218,2
Wabash,980,33,0
Warren,2029,184,0
Washington,1509,59,0
Wayne,1640,50,1
White,1550,60,0
Whiteside,7832,320,16
Will,120640,8729,340
Williamson,11930,344,5
Winnebago,53131,3704,127
Woodford,5381,106,3
