Zip,Tested,Positive_Cases
46311,236,6
60002,1157,106
60004,5817,338
60005,2563,188
60007,2349,346
60008,3152,336
60010,1976,127
60012,542,86
60013,1027,93
60014,2667,287
60015,1728,182
60016,6013,1035
60018,3295,633
60020,715,38
60021,236,22
60022,450,27
60025,3388,359
60026,1312,145
60029,71,8
60030,2242,179
60031,2941,336
60033,1057,198
60035,2633,262
60040,575,180
60041,546,46
60042,396,37
60043,193,19
60044,932,103
60045,1405,117
60046,1899,200
60047,2601,382
60048,1595,146
60050,2005,221
60051,1343,121
60053,2080,285
60056,4084,617
60060,2408,430
60061,1893,176
60062,3480,314
60064,1873,645
60067,3069,218
60068,2664,302
60069,992,88
60070,1462,250
60071,186,12
60073,5126,1025
60074,2845,443
60076,3446,497
60077,2722,395
60079,52,11
60081,439,41
60083,808,98
60084,963,181
60085,8860,2375
60087,3369,649
60088,451,60
60089,2432,278
60090,3812,793
60091,1709,155
60093,1455,167
60096,402,38
60097,581,40
60098,2226,309
60099,2971,569
60101,3703,794
60102,1681,153
60103,2719,277
60104,2313,406
60106,2348,508
60107,3629,635
60108,2748,315
60109,307,11
60110,2963,698
60112,299,28
60115,3100,272
60118,897,80
60119,560,37
60120,5265,1312
60123,4653,823
60124,1363,114
60126,3214,263
60130,2066,147
60131,1900,350
60133,3832,735
60134,1576,155
60135,451,34
60136,429,55
60137,2192,147
60139,3299,632
60140,1047,91
60141,598,23
60142,1563,101
60143,1069,185
60145,107,6
60146,158,8
60148,3610,378
60151,248,17
60152,635,80
60153,2746,507
60154,1870,205
60155,864,169
60156,1457,160
60157,148,12
60160,3255,737
60162,1148,160
60163,539,88
60164,3461,517
60165,614,179
60169,2590,369
60171,927,123
60172,1722,231
60173,700,106
60174,2302,165
60175,1255,90
60176,898,149
60177,1540,257
60178,1223,59
60181,2032,256
60184,125,8
60185,3531,742
60187,1940,131
60188,3268,480
60189,1637,109
60190,782,49
60191,1225,220
60192,745,58
60193,2733,256
60194,1606,165
60195,210,18
60201,3929,325
60202,3110,435
60203,379,32
60301,272,25
60302,2894,215
60304,1209,79
60305,741,55
60401,786,39
60402,7543,1416
60403,1819,204
60404,1549,115
60406,3117,498
60408,283,19
60409,4472,596
60410,781,53
60411,6780,913
60415,1267,193
60416,359,12
60417,1537,159
60418,592,114
60419,2978,396
60420,268,7
60421,222,12
60422,989,83
60423,1779,143
60425,1453,172
60426,3443,472
60428,1615,215
60429,2386,228
60430,2212,278
60431,2370,220
60432,2247,447
60433,1764,301
60434,244,163
60435,5631,685
60436,2028,249
60438,2832,393
60439,1346,95
60440,6397,877
60441,2043,211
60442,535,43
60443,2602,359
60445,1617,157
60446,4022,527
60447,811,56
60448,1251,134
60449,759,71
60450,827,48
60451,1746,116
60452,2134,240
60453,5093,777
60455,1652,300
60456,376,53
60457,954,125
60458,1159,143
60459,2624,418
60461,602,58
60462,2829,326
60463,1244,248
60464,602,47
60465,1275,249
60466,3229,491
60467,1459,175
60468,370,35
60469,640,86
60471,1548,218
60472,634,71
60473,3271,407
60475,809,76
60476,218,19
60477,2634,252
60478,2665,328
60480,439,36
60481,802,29
60482,741,106
60484,752,113
60487,1536,147
60490,1699,140
60491,1159,145
60501,1318,289
60502,1301,99
60503,875,64
60504,2764,353
60505,8393,1988
60506,6612,1087
60510,1867,102
60513,2001,165
60514,686,47
60515,1545,100
60516,1687,118
60517,2416,220
60520,155,9
60521,1418,181
60523,903,107
60525,3301,291
60526,1692,81
60527,2691,235
60532,2014,129
60534,1159,177
60538,2258,311
60540,2517,136
60541,128,9
60542,1508,182
60543,2545,269
60544,2283,180
60545,1188,153
60546,2370,166
60548,967,79
60551,164,24
60552,232,9
60554,729,43
60555,1059,133
60558,832,46
60559,2117,320
60560,1446,107
60561,1669,123
60563,2595,186
60564,2297,164
60565,2145,194
60585,1427,103
60586,3554,361
60601,970,72
60602,209,14
60603,106,8
60604,154,22
60605,2233,193
60606,815,40
60607,2535,444
60608,8135,1762
60609,7471,1783
60610,3356,263
60611,3476,160
60612,4790,707
60613,3554,384
60614,5505,512
60615,4202,391
60616,5051,454
60617,9196,1148
60618,8453,1318
60619,9084,917
60620,8585,1116
60621,3620,549
60622,4720,635
60623,10740,3349
60624,4477,865
60625,7453,1417
60626,6216,1066
60628,7541,1092
60629,12894,3296
60630,5169,809
60631,3716,308
60632,10435,3106
60633,1997,267
60634,9794,1449
60636,3720,730
60637,5876,635
60638,6436,1103
60639,12920,3331
60640,6534,815
60641,8193,1503
60642,1685,162
60643,6003,725
60644,6577,1269
60645,5461,1078
60646,3046,379
60647,8046,1358
60649,5868,799
60651,7655,1745
60652,4855,942
60653,4687,533
60654,1403,140
60655,3320,271
60656,2756,285
60657,4982,350
60659,3636,753
60660,3212,437
60661,635,42
60680,90,6
60706,3169,348
60707,5050,781
60712,1395,169
60714,3803,820
60803,1889,261
60804,11066,2922
60805,1705,228
60827,2667,364
60901,4273,588
60911,104,9
60912,42,6
60913,83,7
60914,2337,181
60915,1093,71
60919,32,6
60922,191,12
60927,324,48
60928,43,7
60930,43,6
60938,117,6
60940,196,7
60941,113,6
60950,1335,99
60954,777,36
60955,104,13
60957,321,8
60958,189,22
60964,385,36
60970,459,13
61008,2953,432
61010,309,15
61011,129,10
61012,147,19
61016,393,38
61019,126,6
61020,196,14
61021,1276,83
61032,2462,202
61036,313,11
61041,20,6
61054,193,7
61061,262,10
61063,207,9
61064,133,10
61065,687,58
61068,1375,145
61071,429,39
61072,544,38
61073,1059,68
61080,511,52
61081,849,82
61084,110,9
61085,118,6
61088,314,11
61101,2518,316
61102,2076,268
61103,2811,296
61104,1839,299
61107,2864,250
61108,3026,401
61109,2543,283
61111,1772,106
61114,1471,105
61115,1584,133
61201,2368,214
61235,93,8
61239,59,8
61240,281,12
61241,360,16
61244,1918,197
61252,217,24
61254,518,8
61256,87,6
61264,525,24
61265,2660,223
61270,199,8
61275,168,10
61282,534,47
61314,33,6
61341,540,43
61342,333,21
61350,751,23
61354,423,6
61356,513,6
61364,839,6
61401,1731,99
61410,116,6
61443,509,20
61455,1084,88
61462,703,114
61469,117,7
61525,463,10
61548,494,8
61550,1080,9
61554,2617,27
61571,1381,17
61603,1449,70
61604,2347,69
61605,1175,52
61606,329,6
61607,571,6
61610,303,7
61611,1519,20
61614,2341,119
61615,1642,32
61701,2699,58
61704,2062,83
61705,848,16
61739,361,6
61761,2493,60
61764,745,19
61801,2073,47
61802,2331,120
61820,2283,120
61821,3403,134
61822,2301,59
61832,1468,26
61853,1170,19
61856,500,6
61866,1952,174
61873,420,6
61874,1146,30
61880,346,9
61910,308,10
61911,134,6
61920,1635,92
61938,1658,41
61951,325,8
61953,394,15
62002,1109,119
62010,239,32
62012,234,12
62018,101,9
62024,248,12
62025,990,119
62034,643,75
62035,402,26
62040,1251,105
62049,641,7
62052,182,16
62056,633,14
62059,34,7
62060,185,33
62062,756,12
62069,134,9
62088,546,6
62090,37,13
62095,293,26
62201,252,41
62203,396,48
62204,396,56
62205,501,65
62206,824,141
62207,439,96
62208,730,86
62220,811,154
62221,938,135
62223,646,63
62226,1228,175
62230,380,22
62231,523,83
62232,591,29
62233,670,100
62234,1101,98
62236,209,45
62237,256,6
62238,47,6
62239,110,15
62241,52,6
62242,45,6
62243,106,8
62246,302,7
62249,487,18
62254,394,68
62255,39,6
62257,119,11
62258,355,17
62260,116,13
62264,104,51
62265,617,35
62269,919,90
62272,172,50
62274,219,10
62278,217,16
62285,96,19
62286,435,51
62288,255,33
62293,210,9
62294,385,22
62295,44,9
62298,557,55
62301,3207,22
62305,371,16
62353,353,7
62427,50,6
62428,153,7
62441,269,9
62448,468,37
62454,231,9
62471,423,17
62474,51,6
62521,1748,110
62522,519,36
62526,1498,51
62560,105,7
62563,447,6
62565,625,14
62568,779,28
62618,707,67
62629,1114,15
62650,1817,89
62656,1675,10
62664,291,11
62675,461,11
62681,340,12
62684,800,71
62692,173,8
62702,4053,76
62703,2963,67
62704,3523,54
62707,945,19
62711,1591,29
62712,813,6
62801,1546,65
62832,474,16
62837,443,7
62863,353,11
62864,1278,85
62882,155,14
62901,2033,162
62902,271,18
62906,828,79
62907,117,20
62912,66,8
62918,583,14
62920,382,69
62939,137,10
62948,746,19
62951,237,6
62952,182,10
62959,1586,33
62966,1200,99
62992,175,49
