Zip,Tested,Positive_Cases
60002,1743,123
60004,8625,388
60005,4252,237
60007,3822,380
60008,4281,361
60010,3858,190
60012,889,93
60013,1740,132
60014,4179,344
60015,3093,204
60016,8630,1162
60018,4952,700
60020,1069,47
60021,365,23
60022,831,34
60025,4959,413
60026,2939,167
60029,96,8
60030,3704,223
60031,4528,381
60033,1527,233
60035,4625,297
60040,974,182
60041,872,55
60042,663,54
60043,298,19
60044,1466,116
60045,2609,138
60046,3036,238
60047,5182,500
60048,2810,181
60050,3025,243
60051,2039,140
60053,3275,334
60056,6306,679
60060,3559,479
60061,2672,188
60062,6594,360
60064,2369,672
60067,5549,273
60068,4763,349
60069,2149,101
60070,2192,282
60071,274,17
60073,7793,1145
60074,4169,494
60076,5433,559
60077,4148,438
60079,112,12
60081,679,49
60083,1177,106
60084,1530,197
60085,12260,2508
60087,4529,708
60088,674,187
60089,4261,346
60090,5262,847
60091,2760,184
60093,2374,194
60096,558,41
60097,852,47
60098,4057,385
60099,4521,607
60101,5125,845
60102,2606,205
60103,4179,326
60104,3226,455
60106,3897,546
60107,5320,687
60108,3902,355
60109,344,12
60110,3908,767
60112,422,31
60115,4634,315
60118,1347,91
60119,909,42
60120,6914,1433
60123,6586,964
60124,2048,152
60126,5803,380
60130,3622,171
60131,2528,375
60133,5347,791
60134,2857,214
60135,673,53
60136,675,71
60137,3752,180
60139,4611,687
60140,1532,111
60141,919,27
60142,2554,122
60143,1629,205
60145,159,9
60146,232,10
60148,5662,426
60151,319,20
60152,1035,85
60153,3606,541
60154,2644,226
60155,1151,184
60156,2204,174
60157,223,12
60160,4133,787
60162,1802,179
60163,749,101
60164,4878,551
60165,739,186
60169,3784,429
60171,1326,138
60172,2645,249
60173,1112,113
60174,3634,215
60175,2024,123
60176,1286,181
60177,2665,311
60178,1867,79
60181,3105,303
60184,199,8
60185,4834,798
60187,3641,169
60188,4896,535
60189,2914,125
60190,1505,70
60191,1683,237
60192,1232,72
60193,4662,295
60194,3108,192
60195,357,21
60201,5830,354
60202,4719,461
60203,628,39
60301,442,32
60302,4755,244
60304,2017,87
60305,1197,63
60401,1146,51
60402,10115,1505
60403,2572,253
60404,2283,132
60406,4295,556
60408,684,27
60409,6260,667
60410,1171,56
60411,9552,1025
60415,2122,228
60416,637,24
60417,2365,190
60418,860,126
60419,4376,441
60420,410,13
60421,303,15
60422,1450,96
60423,3020,196
60424,145,6
60425,2089,192
60426,4853,528
60428,2118,245
60429,3069,249
60430,3073,300
60431,3533,251
60432,2986,495
60433,3044,344
60434,398,170
60435,8011,752
60436,2818,275
60438,4064,441
60439,2297,129
60440,9111,936
60441,2937,241
60442,768,49
60443,3753,401
60445,2468,185
60446,5681,588
60447,1246,64
60448,2092,184
60449,1173,86
60450,1760,79
60451,2774,166
60452,3038,268
60453,7879,882
60455,2358,380
60456,511,56
60457,1636,151
60458,1648,171
60459,3900,472
60461,849,67
60462,4493,400
60463,1851,265
60464,1099,65
60465,1836,287
60466,4172,514
60467,2561,207
60468,583,42
60469,848,102
60471,2251,231
60472,895,74
60473,4814,469
60475,1190,102
60476,363,33
60477,3920,284
60478,3460,361
60480,691,44
60481,1436,34
60482,1029,114
60484,1008,135
60487,2332,179
60490,2607,167
60491,1824,171
60501,1704,311
60502,2044,115
60503,1435,78
60504,4249,390
60505,11354,2074
60506,9560,1190
60510,3354,143
60513,2840,186
60514,1102,60
60515,2509,123
60516,2960,157
60517,3752,257
60518,187,7
60520,245,11
60521,2235,211
60523,1394,117
60525,5332,336
60526,3221,98
60527,4482,289
60532,3149,159
60534,1559,198
60538,3365,346
60540,4241,164
60541,226,12
60542,2399,214
60543,4077,321
60544,3784,211
60545,1645,163
60546,3561,177
60548,1713,110
60551,287,29
60552,380,13
60554,1149,54
60555,1599,144
60558,1500,78
60559,3141,359
60560,2320,141
60561,2625,141
60563,4556,206
60564,3878,218
60565,3683,219
60585,2319,129
60586,5413,446
60601,1570,89
60602,319,18
60603,162,8
60604,224,24
60605,3820,235
60606,1229,39
60607,4004,501
60608,11986,1887
60609,10794,1916
60610,5459,324
60611,5313,201
60612,6765,752
60613,6121,450
60614,9075,603
60615,6308,435
60616,8336,515
60617,12849,1284
60618,13570,1480
60619,12290,1020
60620,11516,1216
60621,5096,590
60622,8226,727
60623,14432,3584
60624,6067,943
60625,11916,1557
60626,11413,1172
60628,10605,1219
60629,16764,3573
60630,7593,880
60631,5521,376
60632,13671,3365
60633,3073,304
60634,13502,1602
60636,5227,818
60637,8382,681
60638,8496,1215
60639,17600,3606
60640,11897,908
60641,12558,1656
60642,3044,222
60643,8978,797
60644,9222,1338
60645,8151,1145
60646,4562,410
60647,13434,1528
60649,8960,883
60651,10480,1879
60652,6711,1046
60653,7479,591
60654,2440,182
60655,4596,294
60656,4004,321
60657,7984,416
60659,5478,834
60660,5790,500
60661,1069,56
60680,127,6
60706,4629,468
60707,7112,856
60712,2281,191
60714,6785,938
60803,2636,287
60804,13795,3078
60805,2446,248
60827,3658,407
60901,6582,724
60911,156,11
60912,68,6
60913,134,7
60914,4310,234
60915,1790,91
60919,49,7
60922,320,19
60927,606,54
60928,68,7
60930,73,7
60931,54,6
60936,559,11
60938,300,8
60940,380,22
60941,195,7
60942,713,10
60950,2331,116
60953,221,6
60954,1269,50
60955,182,16
60957,568,14
60958,305,25
60964,655,42
60970,759,21
61008,4410,497
61010,967,31
61011,213,12
61012,199,24
61016,533,48
61019,283,13
61020,269,18
61021,2004,97
61024,308,8
61025,275,7
61032,4134,242
61036,824,19
61041,80,6
61048,253,6
61054,298,13
61061,539,17
61063,337,12
61064,206,10
61065,970,80
61068,1675,160
61071,621,47
61072,891,42
61073,1674,87
61080,755,62
61081,1158,97
61084,188,12
61085,220,8
61088,500,13
61101,3290,352
61102,2676,305
61103,4357,338
61104,2405,350
61107,4208,301
61108,4358,469
61109,3353,318
61111,2630,128
61114,2122,126
61115,2306,150
61201,4766,308
61231,396,6
61235,141,8
61238,269,8
61239,129,8
61240,680,21
61241,702,19
61244,3896,288
61252,348,29
61254,1080,23
61256,202,7
61264,1119,38
61265,5620,342
61270,465,13
61273,294,9
61275,364,17
61282,1270,64
61284,194,8
61301,905,7
61314,56,6
61341,994,47
61342,479,23
61350,2329,41
61354,701,8
61356,994,10
61360,171,9
61362,667,6
61364,1415,9
61401,2852,133
61410,173,8
61443,792,20
61455,1505,88
61462,901,119
61469,153,7
61523,1248,7
61525,947,30
61547,321,8
61548,933,16
61550,2141,26
61554,4439,47
61568,306,6
61571,2434,33
61602,221,8
61603,2276,116
61604,3872,95
61605,1819,80
61606,552,20
61607,987,12
61610,489,8
61611,2474,36
61614,3943,147
61615,3209,56
61616,1081,11
61701,4121,75
61704,3158,90
61705,1352,21
61726,209,6
61727,639,10
61729,88,6
61739,456,6
61745,343,8
61761,3925,79
61764,1184,23
61801,3994,61
61802,4193,135
61820,4300,151
61821,6470,181
61822,4677,81
61832,2990,44
61834,588,6
61842,319,7
61843,535,19
61853,3247,66
61856,1129,11
61866,2889,205
61873,917,16
61874,2155,41
61880,667,13
61884,174,6
61910,456,20
61911,247,10
61920,2726,112
61938,3310,60
61944,675,13
61951,855,9
61953,721,18
61956,390,6
62002,2149,175
62010,482,47
62012,455,16
62018,189,12
62024,473,17
62025,2151,150
62033,544,7
62034,1340,85
62035,1613,58
62040,3303,193
62049,1031,9
62052,984,20
62056,1219,31
62059,54,7
62060,468,49
62062,1384,20
62067,140,8
62069,260,11
62088,780,8
62090,126,14
62095,592,28
62201,1039,136
62203,692,77
62204,640,75
62205,909,91
62206,1470,213
62207,758,119
62208,1369,120
62215,138,7
62216,263,7
62217,62,9
62220,1460,210
62221,1823,198
62223,1338,80
62226,2434,242
62230,556,28
62231,759,88
62232,1215,50
62233,862,103
62234,2601,201
62236,539,59
62237,550,6
62238,56,8
62239,240,22
62240,62,6
62241,80,7
62242,66,6
62243,283,11
62245,112,7
62246,824,13
62249,1041,24
62254,642,101
62255,56,7
62257,207,13
62258,922,25
62260,285,16
62264,199,59
62265,873,46
62269,1868,127
62272,209,50
62274,581,12
62278,566,16
62285,250,22
62286,566,52
62288,318,33
62293,425,11
62294,865,41
62295,95,14
62298,1372,76
62301,5457,62
62305,832,58
62353,435,7
62401,1397,8
62420,325,7
62427,88,6
62428,275,9
62439,520,6
62441,411,10
62447,435,16
62448,736,37
62450,1207,6
62454,550,10
62467,199,6
62471,762,17
62474,79,6
62521,3124,118
62522,976,43
62526,2385,62
62549,492,6
62560,156,8
62561,654,9
62563,763,8
62565,1072,14
62568,1362,37
62613,432,6
62615,785,8
62618,1150,78
62626,1315,7
62627,141,6
62629,1998,29
62650,3654,112
62656,2608,16
62664,381,11
62675,843,14
62677,351,6
62681,484,12
62684,1027,71
62691,344,48
62692,259,9
62702,6491,95
62703,4928,85
62704,5830,70
62707,1643,21
62711,2994,48
62712,1459,14
62801,2402,76
62808,104,7
62812,807,20
62832,1180,25
62837,716,9
62848,56,7
62859,297,7
62863,752,22
62864,2093,92
