County,Tested,Positive_Cases,Deaths
Illinois,"6,307,682","319,150","8,984"
Adams,"25,445","1,377",11
Alexander,"2,181",100,1
Bond,"6,813",385,8
Boone,"18,399","1,399",24
Brown,"1,819",78,0
Bureau,"10,816",794,15
Calhoun,"1,427",66,0
Carroll,"5,337",274,6
Cass,"5,008",431,11
Champaign,"628,514","5,352",27
Chicago,"1,286,948","84,647","2,990"
Christian,"12,811",705,21
Clark,"5,201",229,4
Clay,"3,979",246,1
Clinton,"14,071","1,411",23
Coles,"23,105","1,646",37
Cook,"1,032,148","69,872","2,310"
Crawford,"4,932",561,6
Cumberland,"4,323",231,5
De Witt,"4,569",191,2
DeKalb,"35,521","1,870",41
Douglas,"9,028",375,7
DuPage,"340,974","19,310",582
Edgar,"3,371",128,8
Edwards,977,80,0
Effingham,"11,065",975,3
Fayette,"7,092",525,13
Ford,"4,487",141,6
Franklin,"12,920",658,5
Fulton,"11,847",281,0
Gallatin,910,86,2
Greene,"4,253",247,15
Grundy,"11,923",782,7
Hamilton,"1,695",87,2
Hancock,"5,354",250,3
Hardin,"1,179",46,0
Henderson,"1,420",86,0
Henry,"17,675",749,5
Iroquois,"12,188",409,19
Jackson,"20,240","1,352",24
Jasper,"3,003",229,10
Jefferson,"11,150",789,39
Jersey,"7,097",423,20
Jo Daviess,"5,684",357,2
Johnson,"3,176",261,0
Kane,"185,760","14,131",335
Kankakee,"57,115","2,969",78
Kendall,"38,085","2,244",26
Knox,"18,506",887,5
Lake,"255,451","18,251",498
LaSalle,"33,051","1,974",58
Lawrence,"4,927",288,6
Lee,"8,593",501,1
Livingston,"13,425",474,9
Logan,"14,976",499,3
Macon,"39,799","2,038",48
Macoupin,"20,460",646,8
Madison,"79,545","6,334",148
Marion,"15,285",744,7
Marshall,"4,961",121,1
Mason,"5,275",204,1
Massac,"3,066",131,2
McDonough,"8,918",562,15
McHenry,"84,808","5,091",119
McLean,"84,641","3,638",27
Menard,"5,254",149,1
Mercer,"5,355",177,6
Monroe,"9,217",788,26
Montgomery,"13,452",464,14
Morgan,"13,954",734,24
Moultrie,"5,814",269,4
Ogle,"16,592",894,6
Out Of State,"49,931",2,0
Peoria,"92,869","3,919",55
Perry,"6,955",373,16
Piatt,"8,955",172,0
Pike,"3,740",188,2
Pope,673,36,1
Pulaski,"1,716",211,1
Putnam,"1,370",74,0
Randolph,"12,616","1,054",13
Richland,"6,992",291,10
Rock Island,"64,177","3,362",82
Saline,"7,449",440,6
Sangamon,"104,638","2,977",50
Schuyler,"2,008",70,1
Scott,"2,412",84,0
Shelby,"7,596",505,7
St. Clair,"84,734","7,207",202
Stark,"2,249",63,2
Stephenson,"14,031",673,7
Tazewell,"61,320","2,113",44
Unassigned,"293,475",38,0
Union,"7,304",657,25
Vermilion,"30,761","1,254",6
Wabash,"2,432",183,4
Warren,"4,559",393,5
Washington,"3,506",254,1
Wayne,"4,773",381,7
White,"5,972",207,1
Whiteside,"13,083",986,21
Will,"230,450","15,508",401
Williamson,"28,708","1,551",56
Winnebago,"110,734","7,734",158
Woodford,"14,373",487,9
