County,Tested,Positive_Cases,Deaths
Illinois,959175,123830,5621
Adams,4398,44,1
Alexander,227,12,0
Bond,368,12,1
Boone,3387,481,17
Brown,402,10,0
Bureau,1116,17,1
Calhoun,65,1,0
Carroll,283,15,2
Cass,991,74,0
Champaign,14342,661,7
Chicago,269409,46977,2183
Christian,1303,35,4
Clark,382,11,0
Clay,372,2,0
Clinton,1995,188,17
Coles,2812,128,16
Cook,213866,33227,1597
Crawford,331,12,0
Cumberland,350,10,0
De Witt,600,4,0
DeKalb,5069,435,6
Douglas,896,28,0
DuPage,59823,7891,383
Edgar,698,1,0
Edwards,140,2,0
Effingham,757,7,1
Fayette,635,21,3
Ford,607,20,1
Franklin,1594,12,0
Fulton,1236,12,0
Gallatin,97,2,0
Greene,308,6,0
Grundy,1713,104,2
Hamilton,199,2,0
Hancock,728,17,1
Hardin,72,1,0
Henderson,230,8,0
Henry,1628,70,0
Iroquois,1348,133,4
Jackson,3009,293,10
Jasper,486,46,7
Jefferson,1373,101,16
Jersey,282,24,1
Jo Daviess,626,32,0
Johnson,336,10,0
Kane,36957,6518,192
Kankakee,8237,959,51
Kendall,6594,825,19
Knox,2016,101,0
Lake,48210,8511,315
LaSalle,3505,157,14
Lawrence,442,4,0
Lee,1391,82,1
Livingston,1269,36,2
Logan,1853,11,0
Macon,3865,195,19
Macoupin,2589,46,2
Madison,6691,600,64
Marion,1587,51,0
Marshall,408,5,0
Mason,761,18,0
Massac,313,7,0
McDonough,1474,94,13
McHenry,13364,1628,78
McLean,7966,224,13
Menard,763,20,0
Mercer,489,17,0
Monroe,569,97,12
Montgomery,1347,40,1
Morgan,1552,39,1
Moultrie,410,12,0
Ogle,2673,214,3
Out Of State,5260,120,1
Peoria,10028,273,11
Perry,784,42,0
Piatt,721,11,0
Pike,194,1,0
Pope,67,1,0
Pulaski,280,56,0
Putnam,127,1,0
Randolph,1712,271,4
Richland,506,3,0
Rock Island,6581,691,24
Saline,622,7,0
Sangamon,14945,353,29
Schuyler,274,13,0
Shelby,671,16,1
St. Clair,9316,1210,89
Stark,140,3,0
Stephenson,2601,210,5
Tazewell,6635,78,5
Unassigned,26677,105,0
Union,1337,168,13
Vermilion,2676,40,1
Wabash,303,5,0
Warren,778,118,0
Washington,429,19,0
Wayne,605,9,1
White,323,2,0
Whiteside,2192,144,13
Will,44426,5704,282
Williamson,2547,71,2
Winnebago,21267,2354,57
Woodford,1254,21,2
