County,Positive_Cases,Deaths,Tested
Illinois,50355,2215,256667
Chicago,20413,851,82957
Adams,40,0,883
Alexander,3,0,32
Bond,6,1,98
Boone,89,9,386
Bureau,10,0,207
Calhoun,1,0,27
Carroll,9,2,60
Cass,29,0,276
Champaign,120,6,2810
Christian,30,4,297
Clark,5,0,81
Clay,2,0,103
Clinton,101,1,420
Coles,22,1,322
Cook,14467,665,66378
Crawford,10,0,157
Cumberland,3,0,46
DeKalb,90,1,815
De Witt,3,0,160
Douglas,14,0,178
DuPage,2870,142,15418
Effingham,6,1,115
Fayette,16,2,145
Ford,10,1,146
Franklin,8,0,460
Fulton,3,0,121
Gallatin,2,0,41
Greene,3,0,83
Grundy,32,0,534
Hamilton,2,0,52
Hancock,5,0,151
Hardin,1,0,17
Henderson,4,0,44
Henry,39,0,477
Iroquois,25,0,269
Jackson,82,7,580
Jasper,44,4,188
Jefferson,80,11,527
Jersey,12,1,107
Jo Daviess,12,0,239
Johnson,4,0,68
Kane,1412,45,6036
Kankakee,326,25,2144
Kendall,255,7,1298
Knox,41,0,502
Lake,3382,128,12394
LaSalle,49,1,786
Lawrence,3,0,134
Lee,23,0,467
Livingston,20,1,377
Logan,7,0,312
McDonough,13,0,174
McHenry,588,33,3141
McLean,94,3,2443
Macon,105,11,938
Macoupin,30,0,541
Madison,324,19,1654
Marion,29,0,505
Marshall,4,0,63
Mason,11,0,105
Massac,4,0,72
Menard,7,0,129
Mercer,7,0,124
Monroe,69,10,202
Montgomery,25,1,341
Morgan,22,1,264
Moultrie,5,0,60
Ogle,111,1,1125
Peoria,85,2,1696
Perry,18,0,200
Piatt,7,0,174
Pike,1,0,59
Pulaski,17,0,58
Randolph,138,1,678
Richland,3,0,336
Rock Island,369,9,1346
St. Clair,442,29,2585
Saline,3,0,177
Sangamon,169,9,2619
Schuyler,1,0,78
Shelby,10,1,93
Stark,1,0,34
Stephenson,29,0,250
Tazewell,40,3,1491
Unassigned,354,0,0
Union,11,0,222
Vermilion,16,1,649
Wabash,1,0,127
Warren,56,0,172
Washington,10,0,151
Wayne,2,0,131
White,2,0,99
Whiteside,75,5,884
Will,2369,148,13087
Williamson,29,0,779
Winnebago,392,10,2862
Woodford,12,1,288
