County,Tested,Positive_Cases,Deaths
Illinois,"5,479,510","287,930","8,601"
Adams,"31,126","1,123",10
Alexander,"1,969",81,1
Bond,"6,157",328,5
Boone,"15,012","1,125",23
Brown,"1,576",61,0
Bureau,"9,172",641,11
Calhoun,"1,068",60,0
Carroll,"3,841",230,5
Cass,"4,822",398,11
Champaign,"504,012","4,703",20
Chicago,"1,143,423","79,389","2,952"
Christian,"11,445",539,11
Clark,"4,618",173,2
Clay,"3,385",154,0
Clinton,"12,765","1,169",20
Coles,"24,284","1,464",30
Cook,"978,087","64,245","2,258"
Crawford,"4,289",450,3
Cumberland,"3,984",217,5
De Witt,"3,747",122,1
DeKalb,"31,351","1,579",38
Douglas,"8,189",312,7
DuPage,"324,869","17,471",561
Edgar,"3,417",113,8
Edwards,894,63,0
Effingham,"11,864",870,2
Fayette,"6,307",418,3
Ford,"4,887",106,5
Franklin,"11,684",539,3
Fulton,"10,218",176,0
Gallatin,810,73,2
Greene,"3,872",227,11
Grundy,"10,729",669,5
Hamilton,"1,469",68,2
Hancock,"5,517",217,3
Hardin,"1,051",40,0
Henderson,"1,289",66,0
Henry,"16,280",666,5
Iroquois,"11,279",365,19
Jackson,"18,315","1,261",24
Jasper,"2,780",211,9
Jefferson,"9,598",611,38
Jersey,"6,253",392,15
Jo Daviess,"5,297",263,2
Johnson,"2,727",156,0
Kane,"174,065","13,092",326
Kankakee,"51,078","2,741",77
Kendall,"33,953","2,009",25
Knox,"17,556",670,3
Lake,"247,441","16,892",487
LaSalle,"29,911","1,712",57
Lawrence,"4,969",256,2
Lee,"7,403",371,1
Livingston,"11,641",395,6
Logan,"14,562",464,1
Macon,"37,428","1,544",44
Macoupin,"18,494",544,7
Madison,"75,956","5,698",136
Marion,"12,449",554,0
Marshall,"3,945",104,0
Mason,"4,647",147,1
Massac,"2,781",112,2
McDonough,"8,482",480,15
McHenry,"75,744","4,581",118
McLean,"73,987","3,279",23
Menard,"4,673",125,1
Mercer,"4,686",139,5
Monroe,"7,902",674,16
Montgomery,"13,402",372,13
Morgan,"13,156",661,23
Moultrie,"4,914",214,3
Ogle,"14,468",710,6
Out Of State,"46,808",2,0
Peoria,"87,445","3,494",50
Perry,"6,403",350,15
Piatt,"7,950",140,0
Pike,"3,506",128,1
Pope,581,29,1
Pulaski,"1,523",180,1
Putnam,"1,172",57,0
Randolph,"11,797",939,11
Richland,"5,971",209,5
Rock Island,"59,560","2,995",76
Saline,"6,617",340,4
Sangamon,"102,192","2,411",45
Schuyler,"1,870",50,0
Scott,"2,186",78,0
Shelby,"7,016",390,4
St. Clair,"80,263","6,607",190
Stark,"2,047",55,2
Stephenson,"12,145",523,6
Tazewell,"58,573","1,774",25
Unassigned,"57,787",48,0
Union,"6,326",515,24
Vermilion,"26,237",770,4
Wabash,"2,359",154,3
Warren,"3,970",332,2
Washington,"3,036",211,1
Wayne,"4,031",280,5
White,"4,700",168,0
Whiteside,"14,281",743,20
Will,"212,718","13,984",378
Williamson,"25,729","1,401",45
Winnebago,"92,282","5,959",149
Woodford,"12,868",424,6
