County,Tested,Positive_Cases,Deaths
Illinois,3405097,207854,7756
Adams,21797,665,7
Alexander,1332,40,0
Bond,3828,82,3
Boone,9913,771,23
Brown,1092,16,0
Bureau,4900,276,4
Calhoun,635,14,0
Carroll,2078,89,4
Cass,3537,258,11
Champaign,110738,1776,19
Chicago,801326,66431,2830
Christian,7316,157,4
Clark,2821,96,2
Clay,1913,38,0
Clinton,7818,492,17
Coles,14996,630,21
Cook,658791,50189,2134
Crawford,1827,37,0
Cumberland,2411,69,3
De Witt,2229,38,0
DeKalb,18597,993,32
Douglas,4869,151,3
DuPage,216709,13032,526
Edgar,2036,35,0
Edwards,489,27,0
Effingham,6649,252,1
Fayette,3061,80,3
Ford,2841,60,2
Franklin,6751,249,1
Fulton,5763,48,0
Gallatin,492,54,2
Greene,2059,73,0
Grundy,7359,391,5
Hamilton,899,37,0
Hancock,3541,95,1
Hardin,543,18,0
Henderson,690,24,0
Henry,10315,313,1
Iroquois,7052,280,14
Jackson,12273,778,20
Jasper,1675,72,7
Jefferson,5886,356,22
Jersey,3250,157,2
Jo Daviess,3530,145,2
Johnson,1637,79,0
Kane,117346,10314,304
Kankakee,33603,1900,70
Kendall,22824,1479,23
Knox,9506,370,1
Lake,172351,13375,450
LaSalle,19386,960,33
Lawrence,2682,65,0
Lee,4700,198,1
Livingston,5824,151,3
Logan,8360,201,1
Macon,22444,762,23
Macoupin,12051,245,3
Madison,48755,3152,85
Marion,6248,188,0
Marshall,1896,35,0
Mason,2816,63,0
Massac,1891,45,0
McDonough,4570,157,15
McHenry,50555,3417,115
McLean,37227,782,16
Menard,3058,62,0
Mercer,2723,81,4
Monroe,4667,358,13
Montgomery,8175,192,7
Morgan,9552,402,11
Moultrie,2593,113,0
Ogle,9269,437,5
Out Of State,38109,2,0
Peoria,53458,1917,37
Perry,3950,213,3
Piatt,4780,70,0
Pike,1799,35,0
Pope,367,11,0
Pulaski,937,101,1
Putnam,608,13,0
Randolph,6976,539,7
Richland,2946,42,0
Rock Island,39816,1884,41
Saline,4030,140,2
Sangamon,67394,1462,35
Schuyler,1221,19,0
Scott,1300,35,0
Shelby,4133,109,2
St. Clair,51969,4484,162
Stark,1100,7,0
Stephenson,7753,348,6
Tazewell,35495,724,9
Unassigned,52078,46,0
Union,4028,363,23
Vermilion,15656,273,2
Wabash,1427,70,1
Warren,2434,205,0
Washington,1772,75,1
Wayne,2066,75,2
White,1789,87,0
Whiteside,9249,399,17
Will,142418,10013,351
Williamson,14897,552,7
Winnebago,59415,3885,135
Woodford,6996,188,3
