County,Tested,Positive_Cases,Deaths
Illinois,"7,808,303","417,280","9,792"
Adams,"41,172","2,223",25
Alexander,"2,514",154,2
Bond,"8,156",544,9
Boone,"23,522","2,171",26
Brown,"2,359",127,0
Bureau,"13,776","1,022",19
Calhoun,"1,772",84,0
Carroll,"7,568",506,14
Cass,"5,953",476,11
Champaign,"817,760","6,824",28
Chicago,"1,562,174","104,526","3,078"
Christian,"15,022",912,31
Clark,"5,745",334,18
Clay,"4,760",350,14
Clinton,"18,888","1,919",31
Coles,"28,730","2,178",40
Cook,"1,363,185","88,576","2,422"
Crawford,"6,244",684,6
Cumberland,"4,783",323,6
De Witt,"6,483",303,6
DeKalb,"48,552","2,779",43
Douglas,"12,020",825,9
DuPage,"447,992","25,681",622
Edgar,"5,115",175,11
Edwards,"1,193",116,0
Effingham,"15,567","1,330",4
Fayette,"8,541",735,24
Ford,"7,893",222,16
Franklin,"17,255","1,110",10
Fulton,"16,820",657,2
Gallatin,"1,165",117,2
Greene,"5,185",342,17
Grundy,"15,374","1,125",7
Hamilton,"2,197",148,2
Hancock,"7,286",369,4
Hardin,"1,442",59,0
Henderson,"2,135",137,0
Henry,"22,399",888,9
Iroquois,"14,908",572,19
Jackson,"24,297","1,660",26
Jasper,"3,660",294,10
Jefferson,"13,967","1,017",52
Jersey,"8,640",495,21
Jo Daviess,"8,100",584,9
Johnson,"4,316",408,0
Kane,"239,307","18,650",356
Kankakee,"70,684","3,867",81
Kendall,"46,869","3,083",30
Knox,"25,569","1,467",21
Lake,"343,234","22,618",522
LaSalle,"42,186","2,776",69
Lawrence,"7,105",379,8
Lee,"11,923",926,2
Livingston,"19,222",769,12
Logan,"19,438",666,4
Macon,"57,305","3,685",59
Macoupin,"23,402",877,11
Madison,"104,045","7,751",160
Marion,"20,360","1,207",25
Marshall,"6,077",174,3
Mason,"6,600",361,7
Massac,"3,540",172,2
McDonough,"13,910",828,22
McHenry,"108,299","7,265",121
McLean,"105,081","4,500",38
Menard,"6,299",193,1
Mercer,"6,863",339,6
Monroe,"11,985","1,068",32
Montgomery,"18,451",687,17
Morgan,"17,106","1,064",26
Moultrie,"7,623",496,6
Ogle,"21,255","1,428",8
Peoria,"115,604","5,083",79
Perry,"8,058",507,16
Piatt,"11,576",290,2
Pike,"5,986",441,8
Pope,857,45,1
Pulaski,"2,171",247,1
Putnam,"1,699",107,0
Randolph,"16,684","1,403",15
Richland,"8,306",355,18
Rock Island,"77,537","4,522",95
Saline,"8,850",653,11
Sangamon,"140,595","4,638",66
Schuyler,"2,380",101,1
Scott,"2,936",116,0
Shelby,"9,152",770,12
St. Clair,"111,523","8,405",224
Stark,"2,963",102,3
Stephenson,"18,451","1,242",9
Tazewell,"78,537","3,034",59
Unassigned,"64,496",61,0
Union,"9,311",821,25
Vermilion,"38,856","1,974",12
Wabash,"3,170",264,6
Warren,"6,010",570,9
Washington,"4,356",353,2
Wayne,"5,916",546,18
White,"7,833",299,5
Whiteside,"22,819","1,804",31
Will,"294,900","20,657",445
Williamson,"33,601","2,062",61
Winnebago,"144,585","11,638",187
Woodford,"18,580",781,17
