County,Tested,Positive_Cases,Deaths
Illinois,2308854,163703,7324
Adams,13628,289,1
Alexander,842,32,0
Bond,1743,28,1
Boone,7237,659,21
Brown,614,11,0
Bureau,3224,57,2
Calhoun,367,4,0
Carroll,1156,24,2
Cass,2362,157,11
Champaign,53694,1263,17
Chicago,571490,57342,2732
Christian,3793,56,4
Clark,1571,50,0
Clay,1469,9,0
Clinton,5180,273,17
Coles,8786,255,17
Cook,473209,42122,2056
Crawford,1310,26,0
Cumberland,1489,37,1
De Witt,1460,24,0
DeKalb,12804,717,23
Douglas,2671,84,0
DuPage,147063,10414,500
Edgar,1581,18,0
Edwards,341,6,0
Effingham,3851,46,1
Fayette,2119,39,3
Ford,2002,33,1
Franklin,4217,79,0
Fulton,3690,21,0
Gallatin,294,21,0
Greene,1233,13,0
Grundy,5142,215,5
Hamilton,570,11,0
Hancock,2715,22,1
Hardin,313,7,0
Henderson,495,8,0
Henry,6492,146,1
Iroquois,4821,181,5
Jackson,7618,420,19
Jasper,1185,49,7
Jefferson,3932,137,17
Jersey,1744,54,1
Jo Daviess,2326,70,1
Johnson,1065,42,0
Kane,80138,8433,291
Kankakee,24082,1517,66
Kendall,15593,1132,21
Knox,5368,196,0
Lake,119763,10963,434
LaSalle,11946,350,18
Lawrence,1637,28,0
Lee,3222,119,2
Livingston,3787,61,2
Logan,5575,55,0
Macon,12386,282,22
Macoupin,7536,95,3
Madison,28957,1540,71
Marion,4352,96,0
Marshall,1271,15,0
Mason,1906,36,0
Massac,1343,22,0
McDonough,3260,118,15
McHenry,33866,2510,109
McLean,19932,408,15
Menard,1999,35,0
Mercer,1753,38,0
Monroe,3061,199,13
Montgomery,4949,107,2
Morgan,5819,145,5
Moultrie,1558,33,0
Ogle,6381,344,5
Out Of State,23572,2,0
Peoria,31426,852,32
Perry,2523,70,1
Piatt,2802,31,0
Pike,1185,9,0
Pope,218,2,0
Pulaski,683,88,0
Putnam,357,3,0
Randolph,4660,369,7
Richland,2094,9,0
Rock Island,28185,1355,30
Saline,2362,59,0
Sangamon,44063,692,33
Schuyler,756,14,0
Scott,649,2,0
Shelby,2429,29,1
St. Clair,32341,2794,151
Stark,747,6,0
Stephenson,6268,290,6
Tazewell,19656,235,8
Unassigned,46296,37,0
Union,2894,241,21
Vermilion,9201,137,2
Wabash,932,24,0
Warren,1463,154,0
Washington,1170,35,0
Wayne,1457,27,1
White,1177,32,0
Whiteside,6071,241,16
Will,101111,7762,336
Williamson,9206,211,4
Winnebago,44091,3365,111
Woodford,3963,64,3
