County,Tested,Positive_Cases,Deaths
Illinois,1399510,137825,6707
Adams,6885,63,1
Alexander,410,20,0
Bond,622,12,1
Boone,4635,562,21
Brown,477,10,0
Bureau,1857,24,1
Calhoun,100,1,0
Carroll,510,19,2
Cass,1553,100,0
Champaign,24098,787,12
Chicago,364324,50833,2526
Christian,2169,42,4
Clark,711,14,0
Clay,595,2,0
Clinton,3434,225,17
Coles,4630,151,17
Cook,304141,36951,1913
Crawford,675,18,0
Cumberland,627,10,0
De Witt,845,4,0
DeKalb,8253,525,18
Douglas,1405,42,0
DuPage,88553,8736,455
Edgar,1008,7,0
Edwards,210,2,0
Effingham,1784,11,1
Fayette,1264,23,3
Ford,1089,26,1
Franklin,2403,12,0
Fulton,2061,13,0
Gallatin,138,2,0
Greene,623,9,0
Grundy,2926,143,3
Hamilton,323,2,0
Hancock,979,18,1
Hardin,128,1,0
Henderson,307,8,0
Henry,2612,76,1
Iroquois,2376,143,5
Jackson,4732,325,18
Jasper,704,46,7
Jefferson,2259,104,17
Jersey,553,32,1
Jo Daviess,874,38,1
Johnson,589,20,0
Kane,53630,7457,254
Kankakee,13626,1158,62
Kendall,9838,924,21
Knox,2794,117,0
Lake,72360,9404,405
LaSalle,6565,191,16
Lawrence,774,5,0
Lee,1954,96,2
Livingston,2214,38,2
Logan,2856,13,0
Macon,6877,220,22
Macoupin,3890,47,3
Madison,13584,826,67
Marion,2564,62,0
Marshall,631,6,0
Mason,1209,19,0
Massac,871,7,0
McDonough,2070,101,15
McHenry,20548,1922,92
McLean,12073,253,13
Menard,1254,23,0
Mercer,840,20,0
Monroe,1281,116,12
Montgomery,2597,41,1
Morgan,3260,121,3
Moultrie,654,15,0
Ogle,3428,237,4
Out Of State,8172,7,0
Peoria,16333,442,25
Perry,1107,44,0
Piatt,1174,18,0
Pike,742,2,0
Pope,129,1,0
Pulaski,430,67,0
Putnam,196,1,0
Randolph,2800,278,7
Richland,679,4,0
Rock Island,11550,797,28
Saline,1016,8,0
Sangamon,24606,392,31
Schuyler,516,13,0
Shelby,1521,16,1
St. Clair,16065,1624,127
Stark,262,3,0
Stephenson,4088,255,5
Tazewell,10280,113,7
Unassigned,36379,44,0
Union,1887,182,18
Vermilion,4592,50,2
Wabash,528,22,0
Warren,977,129,0
Washington,701,19,0
Wayne,883,11,1
White,444,3,0
Whiteside,3562,176,15
Will,66005,6433,310
Williamson,4711,95,4
Winnebago,29480,2893,83
Woodford,2172,32,2
