Zip,Tested,Positive_Cases
53142,209,6
60002,717,84
60004,2975,241
60005,995,142
60007,1233,240
60008,1174,239
60010,1043,87
60012,309,69
60013,575,72
60014,1428,169
60015,1036,156
60016,3588,883
60018,1817,478
60020,398,32
60021,127,18
60022,306,23
60025,1993,306
60026,702,121
60029,53,7
60030,1275,148
60031,1684,250
60033,586,137
60035,1453,215
60040,321,127
60041,303,39
60042,235,25
60043,126,16
60044,546,83
60045,817,105
60046,1101,164
60047,1124,238
60048,868,100
60050,1153,173
60051,762,81
60053,1328,242
60056,2337,496
60060,1464,364
60061,903,153
60062,2179,266
60064,1269,537
60067,1402,153
60068,1459,261
60069,379,64
60070,827,192
60071,108,7
60073,2909,778
60074,1475,304
60076,2181,426
60077,1763,346
60079,41,11
60081,265,35
60083,488,83
60084,550,151
60085,5786,2085
60087,2148,545
60088,147,45
60089,1459,209
60090,2252,599
60091,1095,123
60093,945,137
60096,250,31
60097,346,36
60098,1270,254
60099,1915,484
60101,2384,648
60102,922,117
60103,1619,217
60104,1484,360
60106,1589,421
60107,2096,477
60108,1753,215
60109,283,10
60110,1722,528
60112,174,18
60115,1386,144
60118,517,61
60119,354,33
60120,3410,1018
60123,2726,606
60124,751,88
60126,1850,216
60130,1229,118
60131,1295,312
60133,2390,616
60134,913,115
60135,280,26
60136,263,42
60137,1226,124
60139,2094,501
60140,620,70
60141,321,16
60142,943,72
60143,668,144
60145,79,6
60146,75,8
60148,2021,287
60151,149,15
60152,393,65
60153,1918,416
60154,1257,174
60155,613,155
60156,853,116
60157,91,13
60160,2087,576
60162,717,132
60163,373,80
60164,2107,413
60165,445,157
60169,1342,296
60171,606,95
60172,972,194
60173,356,71
60174,1485,138
60175,807,68
60176,596,125
60177,973,217
60178,611,38
60181,1259,205
60185,2408,629
60187,1136,96
60188,2133,403
60189,958,78
60190,510,33
60191,725,172
60192,402,39
60193,1284,194
60194,817,111
60195,120,13
60201,2250,293
60202,1978,342
60203,218,24
60301,169,21
60302,1840,189
60304,783,69
60305,462,41
60401,434,37
60402,5036,1164
60403,1096,169
60404,932,91
60406,2144,412
60408,171,15
60409,2933,489
60410,476,37
60411,4351,759
60415,753,168
60416,180,7
60417,942,124
60418,409,81
60419,1965,310
60420,109,6
60421,122,10
60422,685,77
60423,1151,118
60425,959,154
60426,2330,391
60428,1198,177
60429,1584,200
60430,1466,245
60431,1517,174
60432,1353,328
60433,1057,241
60434,199,160
60435,3491,571
60436,1199,173
60438,1828,308
60439,871,80
60440,4104,756
60441,1293,174
60442,367,35
60443,1826,312
60445,1048,133
60446,2582,420
60447,497,42
60448,800,115
60449,533,63
60450,463,30
60451,1089,92
60452,1430,180
60453,3245,632
60455,1222,265
60456,267,44
60457,586,107
60458,805,114
60459,1809,337
60461,421,52
60462,1832,261
60463,813,204
60464,378,41
60465,851,203
60466,2251,435
60467,1004,149
60468,215,28
60469,439,66
60471,1078,183
60472,452,55
60473,2050,337
60475,514,65
60476,146,16
60477,1668,206
60478,1972,283
60480,258,29
60481,348,21
60482,482,78
60484,537,105
60487,1059,117
60490,1100,130
60491,765,116
60501,829,225
60502,773,79
60503,458,54
60504,1590,277
60505,4939,1520
60506,4011,849
60510,1044,88
60513,1245,137
60514,437,39
60515,877,80
60516,1022,105
60517,1504,191
60520,90,8
60521,915,179
60523,581,93
60525,1914,232
60526,1027,74
60527,1643,206
60532,1040,103
60534,730,136
60538,1324,248
60540,1427,111
60541,72,8
60542,886,122
60543,1349,212
60544,1369,148
60545,742,124
60546,1444,138
60548,481,62
60551,89,22
60552,120,6
60554,414,33
60555,689,105
60558,520,40
60559,1386,272
60560,751,74
60561,1019,103
60563,1534,158
60564,1261,116
60565,1212,166
60585,781,76
60586,2249,299
60601,644,67
60602,125,14
60603,66,6
60604,98,17
60605,1383,161
60606,454,49
60607,1795,417
60608,5532,1454
60609,4902,1451
60610,2041,222
60611,2162,127
60612,3485,605
60613,2093,339
60614,3658,450
60615,2731,336
60616,3167,376
60617,6076,949
60618,5052,1033
60619,5934,803
60620,5712,985
60621,2443,474
60622,2998,549
60623,7413,2785
60624,3100,733
60625,4582,1151
60626,3557,845
60628,4933,916
60629,8506,2660
60630,3314,672
60631,2216,258
60632,7019,2596
60633,1555,236
60634,6414,1207
60636,2399,602
60637,3935,542
60638,4513,970
60639,8378,2758
60640,3917,695
60641,4932,1204
60642,1052,136
60643,4198,632
60644,4472,1009
60645,3825,957
60646,1992,324
60647,4912,1118
60649,4013,656
60651,5167,1406
60652,3229,760
60653,3011,453
60654,901,131
60655,2086,234
60656,1787,232
60657,3308,305
60659,2359,622
60660,1870,352
60661,418,37
60706,2119,297
60707,3470,690
60712,772,144
60714,2415,647
60803,1237,211
60804,7687,2424
60805,1131,198
60827,1804,305
60901,2540,439
60911,61,9
60912,30,6
60914,1233,128
60915,545,49
60919,21,6
60922,116,11
60927,153,47
60928,18,7
60930,14,6
60938,51,6
60940,112,6
60941,64,6
60942,204,6
60950,692,62
60954,392,26
60955,55,11
60957,174,7
60958,98,18
60964,198,28
60970,224,11
61008,1691,331
61010,193,9
61011,74,7
61012,66,13
61016,267,28
61020,134,8
61021,882,66
61032,1580,153
61036,236,6
61054,136,7
61061,176,10
61064,95,10
61065,350,33
61068,981,122
61071,249,29
61072,343,25
61073,628,46
61080,317,39
61081,452,65
61084,62,7
61088,204,9
61101,1532,208
61102,1325,191
61103,1775,201
61104,1170,202
61107,1787,142
61108,1735,260
61109,1517,204
61111,1099,72
61114,845,79
61115,976,81
61201,1074,176
61235,63,8
61239,36,8
61240,143,10
61241,202,15
61244,921,154
61252,110,22
61254,305,8
61256,54,6
61264,303,21
61265,1530,195
61270,134,7
61275,92,10
61282,282,39
61341,294,34
61342,160,15
61350,477,18
61356,250,6
61401,1192,82
61410,75,6
61443,315,17
61455,620,67
61462,539,103
61469,99,7
61525,251,7
61548,283,7
61550,497,6
61554,1442,20
