County,Tested,Positive_Cases,Deaths
Illinois,3704036,220178,7880
Adams,23343,713,7
Alexander,1373,40,0
Bond,4193,104,3
Boone,10590,823,23
Brown,1201,16,0
Bureau,5256,317,4
Calhoun,672,21,0
Carroll,2301,114,4
Cass,3728,287,11
Champaign,159012,2027,20
Chicago,853947,68722,2854
Christian,7784,184,4
Clark,3053,112,2
Clay,2175,59,0
Clinton,8452,582,17
Coles,16698,785,21
Cook,706599,52586,2159
Crawford,2072,52,0
Cumberland,2692,107,3
De Witt,2387,37,1
DeKalb,20143,1044,33
Douglas,5551,189,4
DuPage,234373,13778,529
Edgar,2262,57,0
Edwards,551,31,0
Effingham,7512,391,1
Fayette,3345,115,3
Ford,3056,70,2
Franklin,7525,287,1
Fulton,6509,71,0
Gallatin,536,60,2
Greene,2232,95,0
Grundy,7895,432,5
Hamilton,962,41,0
Hancock,4023,113,1
Hardin,566,18,0
Henderson,788,35,0
Henry,11231,378,1
Iroquois,7617,283,17
Jackson,13020,835,20
Jasper,1811,89,7
Jefferson,6395,392,31
Jersey,3795,223,2
Jo Daviess,3754,165,2
Johnson,1774,92,0
Kane,126296,10759,307
Kankakee,36349,2033,71
Kendall,24760,1579,23
Knox,10880,422,3
Lake,183186,13857,455
LaSalle,21353,1093,39
Lawrence,3156,81,0
Lee,5091,215,1
Livingston,6795,166,3
Logan,9305,228,1
Macon,24765,835,24
Macoupin,13191,296,3
Madison,52855,3562,91
Marion,7091,231,0
Marshall,2039,39,0
Mason,3043,72,1
Massac,1998,52,0
McDonough,4909,161,15
McHenry,54184,3589,115
McLean,41748,1082,16
Menard,3245,63,0
Mercer,2985,90,4
Monroe,4907,398,13
Montgomery,8746,218,8
Morgan,10269,447,17
Moultrie,2934,133,0
Ogle,10109,453,5
Peoria,58815,2165,38
Perry,4550,266,6
Piatt,5116,71,0
Pike,1914,52,0
Pope,394,11,0
Pulaski,1006,105,1
Putnam,671,13,0
Randolph,7795,642,7
Richland,3163,53,1
Rock Island,42272,2000,46
Saline,4503,155,2
Sangamon,72508,1612,37
Schuyler,1295,19,0
Scott,1427,40,0
Shelby,4514,150,2
St. Clair,56483,4882,166
Stark,1170,9,0
Stephenson,8327,364,6
Tazewell,39182,929,9
Unassigned,53442,44,0
Union,4478,393,23
Vermilion,17157,293,2
Wabash,1736,89,1
Warren,2662,228,0
Washington,1911,88,1
Wayne,2272,86,2
White,1935,112,0
Whiteside,9977,440,18
Will,153076,10760,354
Williamson,16623,695,9
Winnebago,63179,4048,137
Woodford,7736,237,3
