County,Tested,Positive_Cases,Deaths
Illinois,2279109,162748,7301
Adams,13488,285,1
Alexander,842,32,0
Bond,1728,25,1
Boone,7209,656,21
Brown,604,11,0
Bureau,3197,53,2
Calhoun,365,2,0
Carroll,1143,23,2
Cass,2337,156,11
Champaign,52555,1249,17
Chicago,565083,57150,2728
Christian,3764,55,4
Clark,1541,50,0
Clay,1455,8,0
Clinton,5140,271,17
Coles,8624,249,17
Cook,467104,41902,2049
Crawford,1272,26,0
Cumberland,1462,36,1
De Witt,1435,21,0
DeKalb,12687,710,23
Douglas,2607,80,0
DuPage,144603,10317,498
Edgar,1562,23,0
Edwards,340,5,0
Effingham,3805,42,1
Fayette,2103,38,3
Ford,1988,33,1
Franklin,4179,78,0
Fulton,3642,20,0
Gallatin,290,21,0
Greene,1227,13,0
Grundy,5017,213,5
Hamilton,567,11,0
Hancock,2710,22,1
Hardin,312,6,0
Henderson,493,8,0
Henry,6407,146,1
Iroquois,4776,181,5
Jackson,7566,420,19
Jasper,1166,49,7
Jefferson,3898,136,17
Jersey,1733,54,1
Jo Daviess,2298,66,1
Johnson,1057,42,0
Kane,79399,8406,289
Kankakee,23876,1516,66
Kendall,15366,1126,21
Knox,5322,193,0
Lake,117893,10896,433
LaSalle,11832,343,18
Lawrence,1629,27,0
Lee,3155,117,2
Livingston,3764,60,2
Logan,5471,51,0
Macon,12271,282,22
Macoupin,7433,89,3
Madison,28755,1534,71
Marion,4246,93,0
Marshall,1262,15,0
Mason,1893,36,0
Massac,1332,22,0
McDonough,3186,118,15
McHenry,33345,2480,107
McLean,19670,404,15
Menard,1983,35,0
Mercer,1737,34,0
Monroe,3050,198,13
Montgomery,4896,106,2
Morgan,5772,145,5
Moultrie,1530,30,0
Ogle,6325,339,5
Out Of State,23110,3,0
Peoria,31252,838,32
Perry,2500,68,1
Piatt,2743,30,0
Pike,1174,9,0
Pope,214,2,0
Pulaski,683,88,0
Putnam,355,2,0
Randolph,4651,370,7
Richland,2060,10,0
Rock Island,27903,1344,30
Saline,2345,56,0
Sangamon,43572,671,33
Schuyler,748,14,0
Scott,645,1,0
Shelby,2407,29,1
St. Clair,32101,2767,150
Stark,742,6,0
Stephenson,6207,289,6
Tazewell,19520,226,8
Unassigned,46118,38,0
Union,2875,237,21
Vermilion,8954,130,2
Wabash,927,23,0
Warren,1456,153,0
Washington,1153,35,0
Wayne,1453,27,1
White,1171,31,0
Whiteside,6029,234,16
Will,99930,7687,335
Williamson,9133,213,4
Winnebago,43833,3362,108
Woodford,3931,65,3
