Zip,Tested,Positive_Cases
60002,1925,130
60004,9441,406
60005,4771,255
60007,4191,383
60008,4672,380
60010,4565,232
60012,1030,97
60013,2028,154
60014,4697,371
60015,3550,213
60016,9508,1191
60018,5607,714
60020,1187,50
60021,424,31
60022,970,39
60025,5749,459
60026,3519,189
60029,120,12
60030,4202,233
60031,5375,396
60033,1737,246
60035,5439,307
60040,1047,185
60041,989,58
60042,741,59
60043,321,19
60044,1698,117
60045,2995,139
60046,3464,254
60047,6548,554
60048,3280,193
60050,3352,255
60051,2256,148
60053,3853,339
60056,6989,696
60060,4025,491
60061,2973,202
60062,7664,372
60064,2592,684
60067,6253,291
60068,5382,369
60069,2746,105
60070,2690,286
60071,315,19
60073,8603,1165
60074,4563,516
60076,5961,584
60077,4729,445
60079,133,13
60081,743,50
60083,1335,116
60084,1739,203
60085,13540,2559
60087,4884,730
60088,780,268
60089,4886,356
60090,5933,853
60091,3212,188
60093,2710,203
60096,634,51
60097,947,51
60098,4571,406
60099,4928,628
60101,5586,865
60102,2903,220
60103,4771,337
60104,3483,475
60106,4460,563
60107,5944,704
60108,4433,366
60109,348,13
60110,4225,783
60112,462,32
60115,5027,335
60118,1510,102
60119,994,45
60120,7358,1464
60123,7254,981
60124,2269,162
60126,6827,428
60130,4111,178
60131,2731,385
60133,5740,804
60134,3184,227
60135,754,66
60136,752,75
60137,4291,198
60139,5037,708
60140,1699,117
60141,986,23
60142,2895,143
60143,1753,207
60145,185,10
60146,249,11
60148,6384,455
60151,351,21
60152,1166,89
60153,3891,555
60154,2962,234
60155,1241,191
60156,2464,191
60157,245,12
60160,4408,797
60162,1970,182
60163,824,103
60164,5370,567
60165,780,187
60169,4135,443
60171,1497,144
60172,3007,259
60173,1218,117
60174,4210,236
60175,2256,135
60176,1406,182
60177,2984,350
60178,2039,91
60181,3465,314
60184,224,10
60185,5380,814
60187,4214,188
60188,5536,552
60189,3419,133
60190,1721,74
60191,1811,243
60192,1370,80
60193,5353,309
60194,3315,203
60195,400,21
60201,6635,360
60202,5359,468
60203,695,42
60301,500,35
60302,5507,256
60304,2414,92
60305,1486,86
60401,1266,62
60402,11010,1543
60403,2848,258
60404,2458,136
60406,4601,569
60408,764,28
60409,6926,720
60410,1259,59
60411,10471,1102
60415,2257,235
60416,737,29
60417,2669,203
60418,976,139
60419,4825,463
60420,463,13
60421,331,16
60422,1699,106
60423,3338,211
60424,167,6
60425,2306,196
60426,5340,543
60428,2285,248
60429,3312,258
60430,3468,309
60431,3799,263
60432,3150,513
60433,3326,358
60434,414,172
60435,8738,772
60436,2999,282
60438,4440,469
60439,3038,147
60440,9946,963
60441,3223,258
60442,861,58
60443,4110,422
60445,2764,210
60446,6245,610
60447,1347,65
60448,2312,190
60449,1310,91
60450,2140,90
60451,3043,182
60452,3357,284
60453,8771,899
60455,2657,396
60456,570,56
60457,1866,160
60458,1795,179
60459,4195,486
60461,919,68
60462,5072,422
60463,2142,268
60464,1207,69
60465,2077,301
60466,4507,538
60467,2819,217
60468,655,41
60469,918,114
60471,2553,242
60472,981,78
