County,Tested,Positive_Cases,Deaths
Illinois,1336968,136104,6625
Adams,6655,48,1
Alexander,393,20,0
Bond,585,12,1
Boone,4427,554,20
Brown,460,10,0
Bureau,1682,24,1
Calhoun,94,1,0
Carroll,480,18,2
Cass,1354,99,0
Champaign,22772,770,11
Chicago,349958,50425,2491
Christian,2090,42,4
Clark,674,13,0
Clay,566,2,0
Clinton,3344,223,17
Coles,4317,146,17
Cook,291787,36460,1899
Crawford,642,17,0
Cumberland,594,10,0
De Witt,814,4,0
DeKalb,7548,517,18
Douglas,1339,42,0
DuPage,84137,8646,448
Edgar,944,6,0
Edwards,202,2,0
Effingham,1696,12,1
Fayette,1194,23,3
Ford,1043,22,1
Franklin,2323,12,0
Fulton,1888,12,0
Gallatin,134,2,0
Greene,521,8,0
Grundy,2819,141,3
Hamilton,310,2,0
Hancock,937,18,1
Hardin,119,1,0
Henderson,294,8,0
Henry,2400,74,1
Iroquois,2267,143,5
Jackson,4594,322,18
Jasper,678,46,7
Jefferson,2171,104,16
Jersey,494,29,1
Jo Daviess,841,38,1
Johnson,559,20,0
Kane,51250,7331,249
Kankakee,12796,1143,61
Kendall,9395,905,20
Knox,2702,117,0
Lake,68781,9279,398
LaSalle,6351,188,16
Lawrence,749,5,0
Lee,1870,94,1
Livingston,2145,37,2
Logan,2752,13,0
Macon,6468,218,21
Macoupin,3693,47,3
Madison,12322,800,66
Marion,2472,57,0
Marshall,600,6,0
Mason,1173,19,0
Massac,833,7,0
McDonough,2006,101,15
McHenry,19270,1898,91
McLean,11501,247,13
Menard,1215,23,0
Mercer,790,19,0
Monroe,1209,112,12
Montgomery,2360,41,1
Morgan,2906,119,3
Moultrie,613,15,0
Ogle,3308,234,4
Out Of State,7671,9,0
Peoria,15598,423,23
Perry,1072,44,0
Piatt,1104,16,0
Pike,710,2,0
Pope,116,1,0
Pulaski,416,66,0
Putnam,188,1,0
Randolph,2733,278,7
Richland,641,4,0
Rock Island,10817,772,28
Saline,967,8,0
Sangamon,23786,387,31
Schuyler,479,13,0
Shelby,1461,16,1
St. Clair,15145,1584,125
Stark,248,3,0
Stephenson,3750,249,5
Tazewell,9839,110,7
Unassigned,35025,46,0
Union,1813,182,18
Vermilion,4228,49,2
Wabash,476,19,0
Warren,955,128,0
Washington,656,19,0
Wayne,868,11,1
White,424,3,0
Whiteside,3371,171,15
Will,63139,6317,310
Williamson,4410,92,4
Winnebago,28355,2826,82
Woodford,2082,32,2
