County,Positive_Cases,Deaths
Illinois,25733,1072
Chicago,10642,414
Adams,29,0
Alexander,1,0
Bond,4,1
Boone,18,1
Bureau,7,0
Calhoun,1,0
Carroll,5,1
Champaign,90,4
Christian,23,4
Clark,4,0
Clay,1,0
Clinton,39,0
Coles,9,0
Cook,7445,308
Crawford,4,0
Cumberland,2,0
DeKalb,39,1
De Witt,1,0
Douglas,12,0
DuPage,1463,69
Effingham,4,1
Fayette,12,1
Ford,4,1
Franklin,4,0
Fulton,1,0
Gallatin,2,0
Greene,1,0
Grundy,24,0
Hancock,3,0
Henry,25,0
Iroquois,11,0
Jackson,39,4
Jasper,3,1
Jefferson,10,0
Jersey,8,0
Jo Daviess,11,0
Johnson,2,0
Kane,490,25
Kankakee,252,10
Kendall,119,2
Knox,2,0
Lake,1767,70
LaSalle,25,1
Lawrence,2,0
Lee,15,0
Livingston,17,0
Logan,5,0
McDonough,3,0
McHenry,279,13
McLean,82,3
Macon,47,5
Macoupin,18,0
Madison,151,3
Marion,17,0
Marshall,2,0
Mason,4,0
Massac,4,0
Menard,2,0
Mercer,4,0
Monroe,50,5
Montgomery,9,1
Morgan,11,1
Moultrie,2,0
Ogle,29,1
Peoria,34,1
Perry,1,0
Piatt,7,0
Pike,1,0
Pulaski,6,0
Randolph,46,0
Richland,1,0
Rock Island,154,4
St. Clair,239,14
Saline,3,0
Sangamon,54,3
Schuyler,1,0
Shelby,4,0
Stark,1,0
Stephenson,9,0
Tazewell,21,3
Unassigned,55,1
Union,3,0
Vermilion,8,0
Wabash,1,0
Warren,2,0
Washington,4,0
Whiteside,30,3
Will,1494,88
Williamson,12,0
Winnebago,121,4
Woodford,11,0
