Zip,Positive_Cases,Tested
53142,7,44
60002,39,272
60004,68,847
60005,51,292
60007,73,332
60008,62,226
60010,34,243
60012,24,83
60013,36,149
60014,60,324
60015,82,431
60016,416,1170
60018,154,493
60020,14,91
60021,6,35
60022,17,130
60025,163,773
60026,73,264
60030,49,358
60031,106,501
60033,26,125
60035,133,577
60040,29,88
60041,12,78
60042,7,52
60043,14,56
60044,41,172
60045,78,319
60046,63,370
60047,54,252
60048,50,272
60050,66,253
60051,24,200
60053,115,499
60056,180,725
60060,99,368
60061,54,260
60062,109,644
60064,219,395
60067,44,315
60068,124,523
60069,21,130
60070,54,201
60073,178,613
60074,97,352
60076,212,945
60077,174,749
60081,21,85
60083,31,118
60084,67,126
60085,711,1330
60087,189,428
60088,18,46
60089,87,405
60090,158,581
60091,81,493
60093,90,379
60096,13,72
60097,16,90
60098,93,335
60099,195,443
60101,175,580
60102,38,206
60103,59,329
60104,187,527
60106,152,416
60107,139,409
60108,59,416
60110,83,220
60112,8,25
60115,30,254
60118,19,86
60119,11,80
60120,119,328
60123,105,365
60124,19,124
60126,110,568
60130,53,311
60131,98,377
60133,144,412
60134,37,200
60136,15,57
60137,44,329
60139,126,464
60140,22,133
60141,7,116
60142,26,187
60143,26,109
60148,110,534
60152,11,79
60153,156,591
60154,87,417
60155,54,203
60156,32,185
60160,161,507
60162,66,211
60163,30,97
60164,124,630
60165,47,103
60169,83,311
60171,44,207
60172,39,192
60173,14,98
60174,29,286
60175,25,208
60176,32,160
60177,33,160
60178,12,141
60181,87,340
60185,104,408
60187,36,278
60188,142,501
60189,41,239
60190,10,98
60191,35,178
60192,17,128
60193,68,313
60194,38,169
60195,6,32
60201,150,976
60202,135,825
60203,16,91
60301,12,61
60302,98,608
60304,39,277
60305,19,160
60401,27,133
60402,378,1371
60403,56,404
60404,44,286
60406,125,482
60408,6,65
60409,242,900
60410,14,144
60411,345,1368
60415,91,277
60417,72,314
60418,40,148
60419,171,646
60422,54,240
60423,71,379
60425,56,281
60426,195,737
60428,101,420
60429,119,593
60430,122,481
60431,80,504
60432,69,325
60433,88,309
60434,109,58
60435,268,1131
60436,59,399
60438,145,596
60439,46,274
60440,217,1076
60441,89,446
60442,19,119
60443,185,706
60445,59,267
60446,148,722
60447,11,168
60448,53,241
60449,40,212
60450,15,140
60451,51,322
60452,74,353
60453,237,846
60455,81,276
60456,16,67
60457,44,164
60458,31,222
60459,116,404
60461,34,155
60462,106,492
60463,53,223
60464,18,108
60465,64,247
60466,303,982
60467,79,322
60468,14,45
60469,23,94
60471,108,450
60472,38,159
60473,207,693
60475,40,176
60476,6,36
60477,85,465
60478,144,671
60480,15,94
60481,10,116
60482,24,156
60484,56,210
60487,55,310
60490,66,377
60491,73,278
60501,64,203
60502,28,165
60503,16,103
60504,66,303
60505,212,476
60506,170,581
