,Zip,Positive_Cases,update_date,update_time
176,60472,33,04-17-2020,20:59
177,60473,154,04-17-2020,20:59
178,60475,36,04-17-2020,20:59
179,60477,66,04-17-2020,20:59
180,60478,106,04-17-2020,20:59
181,60480,11,04-17-2020,20:59
182,60481,8,04-17-2020,20:59
183,60482,21,04-17-2020,20:59
184,60484,46,04-17-2020,20:59
185,60487,42,04-17-2020,20:59
186,60490,60,04-17-2020,20:59
187,60491,63,04-17-2020,20:59
188,60501,29,04-17-2020,20:59
189,60502,24,04-17-2020,20:59
190,60503,11,04-17-2020,20:59
191,60504,45,04-17-2020,20:59
192,60505,83,04-17-2020,20:59
193,60506,98,04-17-2020,20:59
194,60510,15,04-17-2020,20:59
195,60513,48,04-17-2020,20:59
196,60514,24,04-17-2020,20:59
197,60515,26,04-17-2020,20:59
198,60516,30,04-17-2020,20:59
199,60517,55,04-17-2020,20:59
200,60521,26,04-17-2020,20:59
201,60523,29,04-17-2020,20:59
202,60525,70,04-17-2020,20:59
203,60526,21,04-17-2020,20:59
204,60527,127,04-17-2020,20:59
205,60532,29,04-17-2020,20:59
206,60534,21,04-17-2020,20:59
207,60538,22,04-17-2020,20:59
208,60540,27,04-17-2020,20:59
209,60542,16,04-17-2020,20:59
210,60543,39,04-17-2020,20:59
211,60544,49,04-17-2020,20:59
212,60545,9,04-17-2020,20:59
213,60546,47,04-17-2020,20:59
214,60551,9,04-17-2020,20:59
215,60554,9,04-17-2020,20:59
216,60555,20,04-17-2020,20:59
217,60558,13,04-17-2020,20:59
218,60559,62,04-17-2020,20:59
219,60560,18,04-17-2020,20:59
220,60561,46,04-17-2020,20:59
221,60563,38,04-17-2020,20:59
222,60564,48,04-17-2020,20:59
223,60565,63,04-17-2020,20:59
224,60585,33,04-17-2020,20:59
225,60586,90,04-17-2020,20:59
226,60601,35,04-17-2020,20:59
227,60605,69,04-17-2020,20:59
228,60606,17,04-17-2020,20:59
229,60607,138,04-17-2020,20:59
230,60608,339,04-17-2020,20:59
231,60609,248,04-17-2020,20:59
232,60610,104,04-17-2020,20:59
233,60611,74,04-17-2020,20:59
234,60612,255,04-17-2020,20:59
235,60613,155,04-17-2020,20:59
236,60614,180,04-17-2020,20:59
237,60615,164,04-17-2020,20:59
238,60616,179,04-17-2020,20:59
239,60617,337,04-17-2020,20:59
240,60618,256,04-17-2020,20:59
241,60619,364,04-17-2020,20:59
242,60620,444,04-17-2020,20:59
243,60621,180,04-17-2020,20:59
244,60622,186,04-17-2020,20:59
245,60623,416,04-17-2020,20:59
246,60624,270,04-17-2020,20:59
247,60625,277,04-17-2020,20:59
248,60626,230,04-17-2020,20:59
249,60628,359,04-17-2020,20:59
250,60629,420,04-17-2020,20:59
251,60630,160,04-17-2020,20:59
252,60631,91,04-17-2020,20:59
253,60632,316,04-17-2020,20:59
254,60633,40,04-17-2020,20:59
255,60634,308,04-17-2020,20:59
256,60636,206,04-17-2020,20:59
257,60637,205,04-17-2020,20:59
258,60638,202,04-17-2020,20:59
259,60639,430,04-17-2020,20:59
260,60640,227,04-17-2020,20:59
261,60641,232,04-17-2020,20:59
262,60642,38,04-17-2020,20:59
263,60643,309,04-17-2020,20:59
264,60644,324,04-17-2020,20:59
265,60645,408,04-17-2020,20:59
266,60646,75,04-17-2020,20:59
267,60647,191,04-17-2020,20:59
268,60649,244,04-17-2020,20:59
269,60651,326,04-17-2020,20:59
270,60652,191,04-17-2020,20:59
271,60653,193,04-17-2020,20:59
272,60654,53,04-17-2020,20:59
273,60655,119,04-17-2020,20:59
274,60656,87,04-17-2020,20:59
275,60657,158,04-17-2020,20:59
276,60659,225,04-17-2020,20:59
277,60660,121,04-17-2020,20:59
278,60661,20,04-17-2020,20:59
279,60706,81,04-17-2020,20:59
280,60707,160,04-17-2020,20:59
281,60712,71,04-17-2020,20:59
282,60714,132,04-17-2020,20:59
283,60803,55,04-17-2020,20:59
284,60804,317,04-17-2020,20:59
285,60805,67,04-17-2020,20:59
286,60827,121,04-17-2020,20:59
287,60901,158,04-17-2020,20:59
288,60914,47,04-17-2020,20:59
289,60915,10,04-17-2020,20:59
290,60950,15,04-17-2020,20:59
291,60954,9,04-17-2020,20:59
292,60964,9,04-17-2020,20:59
293,61008,14,04-17-2020,20:59
294,61016,6,04-17-2020,20:59
295,61021,11,04-17-2020,20:59
296,61032,8,04-17-2020,20:59
297,61065,6,04-17-2020,20:59
298,61068,26,04-17-2020,20:59
299,61081,17,04-17-2020,20:59
300,61101,12,04-17-2020,20:59
301,61102,17,04-17-2020,20:59
302,61103,17,04-17-2020,20:59
303,61104,10,04-17-2020,20:59
304,61107,8,04-17-2020,20:59
305,61108,25,04-17-2020,20:59
306,61109,18,04-17-2020,20:59
307,61114,11,04-17-2020,20:59
308,61201,34,04-17-2020,20:59
309,61235,6,04-17-2020,20:59
310,61241,9,04-17-2020,20:59
311,61244,56,04-17-2020,20:59
312,61264,8,04-17-2020,20:59
313,61265,48,04-17-2020,20:59
314,61282,12,04-17-2020,20:59
315,61604,7,04-17-2020,20:59
316,61611,7,04-17-2020,20:59
317,61614,9,04-17-2020,20:59
318,61615,8,04-17-2020,20:59
319,61701,31,04-17-2020,20:59
320,61704,16,04-17-2020,20:59
321,61705,7,04-17-2020,20:59
322,61761,18,04-17-2020,20:59
323,61764,9,04-17-2020,20:59
324,61801,11,04-17-2020,20:59
325,61802,16,04-17-2020,20:59
326,61820,6,04-17-2020,20:59
327,61821,10,04-17-2020,20:59
328,61822,23,04-17-2020,20:59
329,61853,7,04-17-2020,20:59
330,61874,6,04-17-2020,20:59
331,61910,6,04-17-2020,20:59
332,62002,28,04-17-2020,20:59
333,62024,6,04-17-2020,20:59
334,62025,23,04-17-2020,20:59
335,62034,8,04-17-2020,20:59
336,62035,8,04-17-2020,20:59
337,62040,28,04-17-2020,20:59
338,62052,7,04-17-2020,20:59
339,62060,7,04-17-2020,20:59
340,62095,7,04-17-2020,20:59
341,62201,8,04-17-2020,20:59
342,62203,9,04-17-2020,20:59
343,62204,8,04-17-2020,20:59
344,62205,7,04-17-2020,20:59
345,62206,22,04-17-2020,20:59
346,62207,14,04-17-2020,20:59
347,62208,18,04-17-2020,20:59
348,62220,17,04-17-2020,20:59
349,62221,26,04-17-2020,20:59
350,62223,19,04-17-2020,20:59
351,62226,36,04-17-2020,20:59
352,62233,27,04-17-2020,20:59
353,62234,17,04-17-2020,20:59
354,62236,27,04-17-2020,20:59
355,62258,11,04-17-2020,20:59
356,62265,8,04-17-2020,20:59
357,62269,21,04-17-2020,20:59
358,62278,11,04-17-2020,20:59
359,62294,10,04-17-2020,20:59
360,62298,22,04-17-2020,20:59
361,62301,13,04-17-2020,20:59
362,62305,12,04-17-2020,20:59
363,62471,10,04-17-2020,20:59
364,62521,33,04-17-2020,20:59
365,62526,7,04-17-2020,20:59
366,62568,21,04-17-2020,20:59
367,62650,11,04-17-2020,20:59
368,62702,14,04-17-2020,20:59
369,62703,6,04-17-2020,20:59
370,62711,10,04-17-2020,20:59
371,62801,32,04-17-2020,20:59
372,62864,8,04-17-2020,20:59
373,62901,31,04-17-2020,20:59
374,62959,8,04-17-2020,20:59
