Zip,Tested,Positive_Cases
60002,"6,189",451
60004,"28,688","1,096"
60005,"16,644",735
60007,"14,291",943
60008,"12,872",901
60009,80,7
60010,"18,949",871
60012,"4,649",231
60013,"7,908",487
60014,"17,035","1,175"
60015,"14,244",633
60016,"28,223","2,199"
60018,"18,151","1,306"
60020,"4,228",235
60021,"1,504",83
60022,"4,060",121
60025,"19,970","1,061"
60026,"8,889",378
60029,321,26
60030,"14,298",735
60031,"16,936","1,044"
60033,"5,881",624
60034,762,39
60035,"19,744",645
60040,"4,832",318
60041,"3,235",217
60042,"2,607",171
60043,"1,235",59
60044,"7,688",252
60045,"11,366",347
60046,"12,499",847
60047,"20,377","1,068"
60048,"13,175",553
60050,"11,795",711
60051,"8,039",487
60053,"14,644",723
60056,"22,541","1,547"
60060,"13,784","1,088"
60061,"11,067",528
60062,"31,207",939
60064,"7,611","1,530"
60067,"23,784","1,085"
60068,"19,699",960
60069,"8,915",214
60070,"8,623",561
60071,"1,346",90
60072,328,13
60073,"25,151","2,646"
60074,"15,371","1,234"
60076,"17,925","1,095"
60077,"16,427",843
60079,946,17
60081,"2,849",212
60083,"4,247",304
60084,"8,075",386
60085,"38,866","4,414"
60087,"13,446","1,492"
60088,"3,001",595
60089,"17,336",801
60090,"20,476","1,532"
60091,"12,356",485
60093,"9,793",445
60096,"2,178",177
60097,"3,752",238
60098,"15,243","1,050"
60099,"14,852","1,376"
60101,"15,630","1,896"
60102,"10,645",864
60103,"18,680","1,259"
60104,"8,962",848
60106,"10,777","1,016"
60107,"17,907","1,638"
60108,"16,062",860
60109,561,24
60110,"13,310","1,711"
60111,104,7
60112,"1,984",146
60113,197,10
60115,"24,317","1,439"
60118,"5,670",403
60119,"4,175",251
60120,"19,773","2,655"
60121,210,9
60123,"22,789","2,029"
60124,"9,379",661
60126,"26,731","1,371"
60129,91,9
60130,"12,785",416
60131,"8,387",893
60133,"17,633","1,754"
60134,"13,711",804
60135,"2,934",211
60136,"2,876",255
60137,"18,465",984
60139,"14,410","1,432"
60140,"6,697",505
60141,"1,696",36
60142,"11,464",677
60143,"5,400",463
60145,795,62
60146,"1,108",89
60148,"25,261","1,321"
60150,650,33
60151,"1,447",87
60152,"4,437",314
60153,"10,400",971
60154,"8,360",544
