County,Tested,Positive_Cases,Deaths
Illinois,3781050,223470,7917
Adams,23640,730,7
Alexander,1376,41,0
Bond,4297,117,3
Boone,10711,835,23
Brown,1210,16,0
Bureau,5331,330,4
Calhoun,687,24,0
Carroll,2352,113,4
Cass,3772,290,11
Champaign,170628,2100,20
Chicago,869659,69266,2857
Christian,8036,191,4
Clark,3083,112,2
Clay,2214,61,0
Clinton,8715,632,17
Coles,16993,798,21
Cook,718641,53157,2165
Crawford,2213,61,0
Cumberland,2752,114,3
De Witt,2441,39,1
DeKalb,20522,1064,33
Douglas,5709,195,4
DuPage,239084,14001,531
Edgar,2281,60,0
Edwards,559,31,0
Effingham,7696,412,1
Fayette,3432,127,3
Ford,3184,68,2
Franklin,7728,298,1
Fulton,6659,72,0
Gallatin,541,60,2
Greene,2277,97,0
Grundy,8016,441,5
Hamilton,984,42,0
Hancock,4085,118,1
Hardin,570,18,0
Henderson,798,37,0
Henry,11521,406,1
Iroquois,7784,284,18
Jackson,13297,862,20
Jasper,1856,91,7
Jefferson,6545,411,31
Jersey,3904,239,3
Jo Daviess,3810,168,2
Johnson,1797,96,0
Kane,128984,10857,308
Kankakee,36823,2064,71
Kendall,25229,1601,23
Knox,11010,429,3
Lake,186753,14027,459
LaSalle,21708,1128,42
Lawrence,3289,89,0
Lee,5260,218,1
Livingston,7012,173,3
Logan,9455,237,1
Macon,25495,866,24
Macoupin,13359,302,3
Madison,53737,3666,92
Marion,7244,245,0
Marshall,2109,40,0
Mason,3117,73,1
Massac,2046,60,1
McDonough,4955,165,15
McHenry,55239,3667,115
McLean,42766,1188,16
Menard,3309,67,0
Mercer,3051,91,4
Monroe,4973,413,14
Montgomery,8895,230,8
Morgan,10438,459,17
Moultrie,3002,136,0
Ogle,10336,459,5
Peoria,60053,2220,39
Perry,4638,272,6
Piatt,5217,70,0
Pike,1968,63,0
Pope,399,11,0
Pulaski,1016,107,1
Putnam,685,13,0
Randolph,7960,667,7
Richland,3288,58,1
Rock Island,43046,2054,47
Saline,4541,155,3
Sangamon,73771,1656,37
Schuyler,1311,19,0
Scott,1451,41,0
Shelby,4597,158,3
St. Clair,57790,5010,166
Stark,1202,10,0
Stephenson,8450,369,6
Tazewell,39949,971,9
Unassigned,53714,80,0
Union,4516,402,23
Vermilion,17523,302,3
Wabash,1761,94,1
Warren,2703,231,0
Washington,1988,98,1
Wayne,2320,88,2
White,1948,113,0
Whiteside,10163,456,18
Will,156082,10927,354
Williamson,17044,747,10
Winnebago,64237,4087,144
Woodford,8052,245,3
