Zip,Tested,Positive_Cases
60002,"3,715",195
60004,"18,537",619
60005,"9,813",413
60007,"8,258",552
60008,"8,209",522
60010,"11,080",485
60012,"2,344",147
60013,"4,766",283
60014,"9,961",636
60015,"7,840",329
60016,"17,393","1,482"
60018,"10,926",908
60020,"2,496",102
60021,909,52
60022,"2,389",75
60025,"11,825",646
60026,"6,344",249
60029,213,18
60030,"8,792",413
60031,"10,780",619
60033,"3,734",440
60034,444,19
60035,"11,520",403
60040,"2,118",206
60041,"2,034",103
60042,"1,648",106
60043,755,33
60044,"4,010",160
60045,"6,110",211
60046,"7,736",445
60047,"13,546",761
60048,"7,159",333
60050,"7,043",400
60051,"4,850",247
60053,"8,376",453
60056,"13,806",960
60060,"8,377",735
60061,"6,304",325
60062,"16,288",523
60064,"4,834","1,037"
60067,"14,102",542
60068,"11,061",582
60069,"5,281",142
60070,"5,166",365
60071,824,46
60073,"16,917","1,819"
60074,"9,012",727
60076,"11,535",777
60077,"8,279",592
60079,208,17
60081,"1,686",111
60083,"2,625",186
60084,"4,526",271
60085,"24,508","3,350"
60087,"8,752","1,035"
60088,"1,643",525
60089,"10,367",505
60090,"12,393","1,105"
60091,"7,439",293
60093,"5,935",276
60096,"1,362",104
60097,"2,133",112
60098,"9,120",636
60099,"8,671",899
60101,"9,989","1,155"
60102,"6,352",445
60103,"10,536",627
60104,"6,191",659
60106,"7,295",696
60107,"10,983","1,013"
60108,"9,934",525
60109,456,19
60110,"8,584","1,154"
60112,"1,036",64
60115,"10,894",667
60118,"3,479",176
60119,"2,320",103
60120,"13,244","1,843"
60123,"15,139","1,368"
60124,"5,495",345
60126,"14,983",756
60130,"8,672",269
60131,"5,014",562
60133,"11,064","1,107"
60134,"7,525",414
60135,"1,613",104
60136,"1,681",126
60137,"11,313",499
60139,"9,411",961
60140,"3,796",238
60141,"1,495",29
60142,"6,365",306
60143,"3,262",306
60145,413,25
60146,560,30
60148,"14,927",757
60150,350,14
60151,798,32
60152,"2,477",137
60153,"6,970",723
60154,"5,402",328
60155,"2,259",248
60156,"5,554",383
60157,579,34
60160,"7,574","1,056"
60162,"3,586",225
60163,"1,624",169
60164,"10,099",803
60165,"1,247",236
60168,51,7
60169,"8,055",614
60171,"2,867",212
60172,"6,234",422
60173,"2,588",181
60174,"9,542",508
60175,"7,744",403
60176,"2,711",306
60177,"6,607",573
60178,"4,626",183
60180,278,7
60181,"7,453",518
60184,546,34
60185,"10,633","1,084"
60187,"11,551",327
60188,"11,617",847
60189,"8,530",344
60190,"3,593",144
60191,"3,451",337
60192,"3,193",150
60193,"11,028",526
60194,"7,154",290
60195,889,39
60201,"14,433",477
60202,"11,823",567
60203,"1,481",49
60301,"1,002",55
60302,"12,236",422
60304,"5,774",173
60305,"3,836",144
60401,"2,196",84
60402,"19,974","2,267"
60403,"5,232",394
60404,"5,024",287
60406,"7,990",812
60407,309,8
