County,Tested,Positive_Cases,Deaths
Illinois,1602965,143185,6923
Adams,8329,87,1
Alexander,513,22,0
Bond,875,13,1
Boone,5311,586,21
Brown,513,10,0
Bureau,2329,29,2
Calhoun,159,1,0
Carroll,604,21,2
Cass,1866,129,2
Champaign,29714,860,12
Chicago,410036,52354,2598
Christian,2470,43,4
Clark,888,14,0
Clay,1135,2,0
Clinton,3924,236,17
Coles,5742,164,17
Cook,341169,38182,1967
Crawford,915,18,0
Cumberland,813,11,0
De Witt,978,6,0
DeKalb,9244,550,18
Douglas,1674,52,0
DuPage,101365,9032,470
Edgar,1156,10,0
Edwards,246,2,0
Effingham,2340,12,1
Fayette,1589,23,3
Ford,1274,31,1
Franklin,2749,14,0
Fulton,2367,15,0
Gallatin,170,2,0
Greene,926,9,0
Grundy,3447,162,4
Hamilton,387,5,0
Hancock,1108,18,1
Hardin,174,1,0
Henderson,353,8,0
Henry,3132,84,1
Iroquois,2779,157,5
Jackson,5408,332,19
Jasper,894,46,7
Jefferson,2603,107,17
Jersey,1270,35,1
Jo Daviess,1541,42,1
Johnson,690,20,0
Kane,59481,7703,268
Kankakee,15536,1272,65
Kendall,11058,956,20
Knox,3221,130,0
Lake,83472,9719,416
LaSalle,7874,216,17
Lawrence,989,7,0
Lee,2154,97,2
Livingston,2421,43,2
Logan,3455,14,0
Macon,8264,232,22
Macoupin,4427,51,3
Madison,17972,932,68
Marion,2997,65,0
Marshall,887,8,0
Mason,1351,22,0
Massac,986,11,0
McDonough,2316,100,15
McHenry,23499,2032,97
McLean,13388,260,13
Menard,1407,25,0
Mercer,963,20,0
Monroe,1889,127,13
Montgomery,3073,44,1
Morgan,4147,128,3
Moultrie,1135,17,0
Ogle,4048,261,4
Out Of State,11519,1,0
Peoria,19306,487,28
Perry,1357,51,1
Piatt,1444,19,0
Pike,853,2,0
Pope,153,1,0
Pulaski,532,74,0
Putnam,230,1,0
Randolph,3102,285,7
Richland,1277,4,0
Rock Island,14194,925,29
Saline,1185,9,0
Sangamon,28795,426,31
Schuyler,575,13,0
Shelby,1754,18,1
St. Clair,19969,1874,135
Stark,305,3,0
Stephenson,4742,270,5
Tazewell,12366,127,8
Unassigned,40035,48,0
Union,2196,188,19
Vermilion,5429,65,2
Wabash,602,22,0
Warren,1101,136,0
Washington,823,19,0
Wayne,1190,14,1
White,526,4,0
Whiteside,4053,186,15
Will,74514,6686,319
Williamson,5923,115,4
Winnebago,32718,3030,94
Woodford,2437,33,2
