Zip,Tested,Positive_Cases
60002,1265,113
60004,6328,350
60005,2897,191
60007,2623,360
60008,3421,340
60010,2291,135
60012,612,86
60013,1139,94
60014,2926,294
60015,1899,185
60016,6491,1060
60018,3591,648
60020,791,40
60021,260,22
60022,520,28
60025,3726,365
60026,1447,148
60029,77,8
60030,2474,185
60031,3234,351
60033,1122,204
60035,2879,264
60040,660,179
60041,608,48
60042,432,38
60043,207,19
60044,1045,103
60045,1550,121
60046,2112,206
60047,2973,395
60048,1771,147
60050,2174,224
60051,1470,126
60053,2244,298
60056,4505,637
60060,2629,439
60061,2037,178
60062,3805,322
60064,1973,653
60067,3573,229
60068,2963,306
60069,1155,89
60070,1568,259
60071,210,14
60073,5707,1051
60074,3137,461
60076,3840,504
60077,2933,409
60079,58,12
60081,491,41
60083,884,99
60084,1047,186
60085,9504,2395
60087,3626,662
60088,485,67
60089,2825,288
60090,4127,808
60091,1918,156
60093,1666,176
60096,425,40
60097,622,40
60098,2474,315
60099,3178,577
60101,3990,803
60102,1873,165
60103,2965,286
60104,2469,418
60106,2744,519
60107,3929,647
60108,2953,323
60109,316,11
60110,3135,718
60112,320,28
60115,3362,288
60118,979,83
60119,621,38
60120,5574,1341
60123,5153,864
60124,1495,123
60126,3628,269
60130,2352,152
60131,2042,354
60133,4124,755
60134,1782,158
60135,495,36
60136,476,55
60137,2475,152
60139,3548,648
60140,1128,96
60141,660,23
60142,1721,106
60143,1145,188
60145,116,7
60146,169,8
60148,3981,383
60151,259,18
60152,728,81
60153,2894,514
60154,2019,205
60155,917,172
60156,1571,162
60157,165,12
60160,3454,759
60162,1220,162
60163,574,91
60164,3797,522
60165,641,184
60169,2825,381
60171,1006,126
60172,1917,237
60173,773,106
60174,2492,172
60175,1414,97
60176,963,153
60177,1653,263
60178,1352,63
60181,2236,260
60184,134,9
60185,3756,752
60187,2171,135
60188,3547,488
60189,1862,113
60190,860,52
60191,1322,222
60192,849,58
60193,3130,265
60194,1935,168
60195,250,18
60201,4330,327
60202,3424,442
60203,433,34
60301,296,27
60302,3164,220
60304,1328,80
60305,813,55
60401,857,39
60402,7993,1431
60403,1984,211
60404,1694,119
60406,3392,510
60408,446,20
60409,4779,606
60410,864,53
60411,7163,929
60415,1536,194
60416,419,13
60417,1654,164
60418,641,117
60419,3180,400
60420,288,7
60421,243,13
60422,1074,83
60423,2057,147
60425,1584,172
60426,3663,480
60428,1709,217
60429,2484,233
60430,2365,279
60431,2716,225
60432,2408,457
60433,2009,313
60434,253,166
60435,6060,696
60436,2176,255
60438,3036,401
60439,1530,104
60440,6979,891
60441,2217,217
60442,591,45
60443,2772,366
60445,1728,161
60446,4353,541
60447,913,57
60448,1389,139
60449,844,71
60450,1139,56
60451,1913,122
60452,2311,245
60453,5640,790
60455,1763,307
60456,405,54
60457,1051,130
60458,1244,144
60459,2808,428
60461,656,59
60462,3075,332
60463,1343,249
60464,700,49
60465,1378,255
60466,3446,499
60467,1683,178
60468,400,35
60469,679,88
60471,1648,221
60472,666,71
60473,3645,422
60475,884,83
60476,239,19
60477,2837,253
60478,2806,334
60480,474,36
60481,899,29
60482,796,106
60484,800,116
60487,1673,153
60490,1877,142
60491,1270,148
60501,1408,302
60502,1406,101
60503,987,65
60504,3017,355
60505,9140,1998
60506,7161,1122
60510,2150,111
60513,2172,167
60514,759,48
60515,1715,100
60516,1891,125
60517,2656,230
60520,172,10
60521,1533,183
60523,991,107
60525,3592,303
60526,2031,84
60527,2966,239
60532,2199,132
60534,1233,179
60538,2445,317
60540,2830,144
60541,147,9
60542,1646,186
60543,2833,280
60544,2528,179
60545,1272,151
60546,2644,170
60548,1037,83
60551,188,24
60552,251,9
60554,806,43
60555,1139,134
60558,937,48
60559,2316,325
60560,1599,109
60561,1838,128
60563,2865,188
60564,2569,166
60565,2421,198
60585,1572,104
60586,3906,369
60601,1055,75
60602,223,16
60603,119,8
60604,165,22
60605,2451,197
60606,883,36
60607,2786,449
60608,8673,1782
60609,7970,1809
60610,3647,269
60611,3804,159
60612,5186,714
60613,4046,396
60614,6002,520
60615,4570,398
60616,5472,461
60617,9876,1170
60618,9287,1343
60619,9692,938
60620,9171,1147
60621,3881,560
60622,5275,652
60623,11258,3384
60624,4763,877
60625,8283,1473
60626,6925,1080
60628,8066,1113
60629,13483,3344
60630,5602,829
60631,4019,317
60632,10974,3150
60633,2104,275
60634,10387,1484
60636,3987,741
60637,6367,644
60638,6764,1128
60639,13519,3368
60640,7361,832
60641,8776,1539
60642,1926,171
60643,6446,738
60644,6933,1279
60645,5857,1100
60646,3335,384
60647,8873,1394
60649,6375,832
60651,8195,1782
60652,5167,967
60653,5201,546
60654,1549,142
60655,3579,272
60656,2977,287
60657,5515,364
60659,3940,781
60660,3614,449
60661,698,43
60680,97,6
60706,3474,356
60707,5364,789
60712,1561,170
60714,4128,841
60803,2031,262
60804,11583,2966
60805,1846,232
60827,2860,375
60901,4658,634
60911,117,10
60912,44,6
60913,91,7
60914,2738,186
60915,1200,73
60919,39,6
60922,206,12
60927,382,52
60928,48,7
60930,50,6
60938,127,6
60940,222,7
60941,129,6
60950,1634,105
60954,846,36
60955,116,13
60957,360,8
60958,205,22
60964,437,36
60970,509,14
61008,3147,451
61010,337,16
61011,140,10
61012,157,20
61016,412,43
61019,147,6
61020,209,15
61021,1362,88
61032,2799,209
61036,334,11
61041,23,6
61054,205,7
61061,289,10
61063,237,9
61064,150,10
61065,749,65
61068,1405,147
61071,457,40
61072,608,37
61073,1158,70
61080,552,53
61081,905,84
61084,124,9
61085,135,7
61088,343,11
61101,2666,323
61102,2209,276
61103,3067,309
61104,1965,311
61107,3040,263
61108,3281,407
61109,2678,292
61111,1910,106
61114,1585,114
61115,1733,135
61201,2643,219
61235,105,8
61239,70,8
61240,337,12
61241,398,17
61244,2084,201
61252,233,25
61254,571,9
61256,103,6
61264,607,25
61265,3092,229
61270,214,8
61275,202,10
61282,642,47
61314,34,6
61341,661,44
61342,372,21
61350,1095,27
61354,549,6
61356,570,6
61360,101,6
61364,963,7
61401,1885,101
61410,123,6
61443,562,19
61455,1177,86
61462,740,114
61469,120,7
61525,542,10
61547,230,8
61548,595,12
61550,1253,11
61554,2938,32
61568,211,6
61571,1599,23
61602,155,6
61603,1602,75
61604,2739,72
61605,1343,60
61606,375,6
61607,659,7
61610,330,7
61611,1705,21
61614,2634,123
61615,1817,33
61701,2991,59
61704,2272,82
61705,915,16
61729,68,6
61739,375,6
61761,2722,65
61764,784,18
61801,2410,47
61802,2744,123
61820,2567,125
61821,3897,139
61822,2667,59
61832,1666,28
61853,1311,21
61856,572,7
61866,2100,182
61873,491,6
61874,1263,35
61880,385,9
61910,332,11
61911,147,7
61920,1774,93
61938,1904,42
61944,461,6
61951,359,8
61953,450,15
62002,1221,129
62010,277,38
62012,249,12
62018,117,10
62024,295,12
62025,1093,119
62034,818,75
62035,486,27
62040,1641,117
62049,672,7
62052,239,17
62056,745,14
62059,39,7
62060,223,41
62062,900,12
62069,148,9
62088,566,8
62090,42,13
62095,344,27
62201,316,52
62203,448,56
62204,449,59
62205,552,67
62206,930,152
62207,509,101
62208,824,91
62220,893,156
62221,1066,150
62223,740,65
62226,1366,193
62230,401,24
62231,595,85
62232,643,31
62233,698,101
62234,1384,123
62236,243,45
62237,268,6
62238,47,6
62239,125,17
62241,57,6
62242,47,6
62243,129,9
62246,341,7
62249,555,18
62254,457,81
62255,43,6
62257,131,13
62258,394,17
62260,147,12
62264,123,54
62265,643,40
62269,1065,94
62272,178,50
62274,255,10
62278,241,15
62285,103,19
62286,463,51
62288,274,33
62293,234,9
62294,455,25
62295,45,10
62298,801,57
62301,3313,22
62305,438,18
62353,367,7
62427,57,6
62428,172,7
62441,307,9
62448,505,37
62454,301,9
62471,556,17
62474,60,6
62521,2039,112
62522,607,38
62526,1663,52
62560,120,7
62561,472,6
62563,501,6
62565,880,14
62568,897,32
62618,761,72
62629,1255,15
62650,2106,95
62656,1814,11
62664,318,11
62675,642,12
62681,373,12
62684,845,71
62691,204,19
62692,194,8
62702,4742,78
62703,3401,70
62704,3978,55
62707,1115,19
62711,1812,30
62712,932,6
62801,1775,65
62832,516,16
62837,500,7
62863,379,14
62864,1465,85
62882,178,14
62901,2245,166
62902,305,19
62906,909,88
62907,125,20
62912,70,8
62914,233,6
62918,647,15
62920,405,69
62939,173,10
62946,507,6
62948,823,19
62951,265,6
62952,201,10
62959,1780,40
62966,1295,100
62992,185,52
