Zip,Tested,Positive_Cases
60002,1179,106
60004,5984,340
60005,2703,188
60007,2411,347
60008,3226,338
60010,2014,127
60012,554,86
60013,1042,93
60014,2702,287
60015,1756,182
60016,6096,1036
60018,3348,635
60020,733,38
60021,243,22
60022,458,27
60025,3439,360
60026,1358,146
60029,71,8
60030,2281,179
60031,2995,341
60033,1071,199
60035,2671,263
60040,590,180
60041,562,47
60042,400,37
60043,195,19
60044,957,103
60045,1425,118
60046,1947,201
60047,2644,386
60048,1623,147
60050,2026,222
60051,1362,122
60053,2107,286
60056,4174,619
60060,2452,431
60061,1920,176
60062,3546,314
60064,1887,646
60067,3138,218
60068,2690,302
60069,1055,88
60070,1484,252
60071,191,13
60073,5361,1030
60074,2903,448
60076,3525,497
60077,2753,396
60079,54,12
60081,447,41
60083,823,98
60084,978,181
60085,8979,2380
60087,3426,653
60088,467,61
60089,2492,279
60090,3897,794
60091,1742,155
60093,1488,168
60096,406,38
60097,586,40
60098,2326,310
60099,2998,571
60101,3745,793
60102,1710,154
60103,2750,280
60104,2334,408
60106,2403,509
60107,3672,637
60108,2776,316
60109,312,11
60110,2992,703
60112,301,28
60115,3129,276
60118,918,80
60119,569,37
60120,5315,1313
60123,4773,831
60124,1384,115
60126,3280,264
60130,2204,148
60131,1925,350
60133,3876,737
60134,1591,155
60135,455,34
60136,441,55
60137,2231,150
60139,3340,637
60140,1057,91
60141,600,23
60142,1580,101
60143,1086,185
60145,109,6
60146,159,8
60148,3675,379
60151,248,17
60152,644,80
60153,2767,507
60154,1890,205
60155,870,169
60156,1467,160
60157,150,12
60160,3318,739
60162,1156,160
60163,541,88
60164,3495,519
60165,619,179
60169,2626,371
60171,943,123
60172,1756,234
60173,714,106
60174,2324,165
60175,1274,90
60176,914,150
60177,1556,257
60178,1238,59
60181,2056,256
60184,125,8
60185,3564,744
60187,1981,132
60188,3299,481
60189,1669,109
60190,790,49
60191,1242,221
60192,767,59
60193,2789,258
60194,1640,165
60195,220,18
60201,3989,324
60202,3175,435
60203,389,33
60301,275,27
60302,2946,214
60304,1231,80
60305,752,55
60401,794,39
60402,7622,1418
60403,1835,206
60404,1571,115
60406,3169,499
60408,296,19
60409,4520,596
60410,795,53
60411,6836,913
60415,1466,194
60416,366,12
60417,1548,159
60418,598,115
60419,3013,396
60420,273,7
60421,227,12
60422,1000,83
60423,1803,143
60425,1511,172
60426,3481,473
60428,1629,217
60429,2397,229
60430,2234,278
60431,2394,220
60432,2274,449
60433,1777,304
60434,246,163
60435,5691,687
60436,2048,250
60438,2864,395
60439,1362,99
60440,6464,880
60441,2065,211
60442,548,43
60443,2627,362
60445,1626,159
60446,4065,529
60447,822,56
60448,1265,134
60449,767,71
60450,847,47
60451,1753,117
60452,2167,240
60453,5163,779
60455,1665,301
60456,377,53
60457,965,126
60458,1169,143
60459,2651,420
60461,614,59
60462,2868,325
60463,1259,249
60464,608,47
60465,1284,251
60466,3264,494
60467,1478,175
60468,373,35
60469,649,87
60471,1563,220
60472,637,71
60473,3313,412
60475,819,76
60476,219,19
60477,2662,252
60478,2685,328
60480,445,36
60481,820,29
60482,744,105
60484,760,114
60487,1558,148
60490,1725,140
60491,1169,145
60501,1334,290
60502,1324,99
60503,889,64
60504,2801,353
60505,8467,1992
60506,6691,1094
60510,1908,105
60513,2016,166
60514,694,47
60515,1571,100
60516,1722,119
60517,2448,221
60520,155,9
60521,1437,181
60523,913,107
60525,3334,291
60526,1746,83
60527,2746,236
60532,2041,129
60534,1168,178
60538,2287,312
60540,2577,138
60541,130,9
60542,1525,183
60543,2581,269
60544,2315,180
60545,1203,152
60546,2399,166
60548,972,80
60551,169,24
60552,235,9
60554,737,43
60555,1066,133
60558,845,46
60559,2139,320
60560,1468,107
60561,1699,124
60563,2636,186
60564,2325,164
60565,2182,194
60585,1453,103
60586,3613,362
60601,982,72
60602,213,14
60603,106,8
60604,157,22
60605,2260,193
60606,828,39
60607,2578,445
60608,8258,1766
60609,7566,1794
60610,3392,263
60611,3527,159
60612,4860,710
60613,3624,388
60614,5580,513
60615,4263,391
60616,5120,455
60617,9326,1153
60618,8580,1319
60619,9193,918
60620,8705,1120
60621,3668,552
60622,4818,636
60623,10818,3357
60624,4527,867
60625,7640,1428
60626,6412,1073
60628,7634,1095
60629,13023,3303
60630,5273,813
60631,3786,309
60632,10552,3114
60633,2016,269
60634,9922,1451
60636,3770,731
60637,5961,638
60638,6501,1108
60639,13051,3331
60640,6650,823
60641,8327,1509
60642,1716,163
60643,6064,729
60644,6624,1271
60645,5530,1086
60646,3105,378
60647,8240,1365
60649,5940,800
60651,7775,1752
60652,4897,945
60653,4806,538
60654,1426,141
60655,3388,271
60656,2806,284
60657,5081,352
60659,3697,756
60660,3255,438
60661,645,42
60680,93,6
60706,3202,350
60707,5127,784
60712,1410,169
60714,3870,822
60803,1909,261
60804,11178,2935
60805,1723,229
60827,2695,364
60901,4327,588
60911,108,10
60912,43,6
60913,83,7
60914,2419,181
60915,1105,71
60919,33,6
60922,193,12
60927,328,48
60928,44,7
60930,44,6
60938,120,6
60940,198,7
60941,116,6
60950,1349,99
60954,783,36
60955,105,13
60957,323,8
60958,191,22
60964,391,35
60970,467,13
61008,2976,433
61010,309,15
61011,130,10
61012,149,19
61016,398,40
61019,127,6
61020,197,14
61021,1302,83
61032,2486,202
61036,315,11
61041,20,6
61054,198,7
61061,269,10
61063,211,9
61064,133,10
61065,694,58
61068,1381,145
61071,430,39
61072,552,38
61073,1066,68
61080,514,53
61081,856,82
61084,113,9
61085,123,6
61088,317,11
61101,2537,317
61102,2091,270
61103,2850,295
61104,1854,299
61107,2894,250
61108,3061,403
61109,2562,284
61111,1789,106
61114,1494,105
61115,1603,133
61201,2399,216
61235,94,8
61239,59,8
61240,287,12
61241,364,16
61244,1930,197
61252,217,24
61254,525,8
61256,90,6
61264,533,24
61265,2688,225
61270,201,8
61275,170,10
61282,537,47
61314,33,6
61341,547,43
61342,336,21
61350,773,23
61354,428,6
61356,526,6
61364,870,7
61401,1758,99
61410,118,6
61443,514,20
61455,1101,87
61462,709,114
61469,117,7
61525,476,10
61547,198,6
61548,518,10
61550,1109,9
61554,2662,28
61571,1415,17
61603,1478,70
61604,2396,69
61605,1206,53
61606,341,6
61607,583,6
61610,308,7
61611,1544,21
61614,2394,119
61615,1686,32
61701,2798,58
61704,2116,83
61705,863,16
61739,367,6
61761,2534,60
61764,757,19
61801,2116,47
61802,2357,121
61820,2320,120
61821,3456,133
61822,2343,58
61832,1499,26
61853,1182,19
61856,510,6
61866,1968,175
61874,1158,31
61880,350,9
61910,321,10
61911,136,6
61920,1658,92
61938,1688,41
61951,333,8
61953,400,15
62002,1138,119
62010,243,32
62012,236,12
62018,105,9
62024,257,12
62025,1007,119
62034,649,75
62035,423,26
62040,1313,106
62049,645,7
62052,186,16
62056,646,14
62059,34,7
62060,198,39
62062,860,12
62069,136,9
62088,551,6
62090,37,13
62095,307,26
62201,269,42
62203,412,49
62204,404,56
62205,511,65
62206,850,146
62207,463,98
62208,756,87
62220,836,154
62221,963,137
62223,675,63
62226,1260,179
62230,387,22
62231,532,83
62232,598,29
62233,674,100
62234,1141,104
62236,211,45
62237,258,6
62238,47,6
62239,114,15
62241,53,6
62242,45,6
62243,112,8
62246,308,7
62249,504,18
62254,399,68
62255,40,6
62257,121,11
62258,363,17
62260,122,13
62264,105,51
62265,625,38
62269,958,91
62272,174,50
62274,236,10
62278,222,16
62285,97,19
62286,438,51
62288,257,33
62293,218,9
62294,405,23
62295,44,9
62298,746,58
62301,3211,22
62305,376,16
62353,354,7
62427,52,6
62428,156,7
62441,278,9
62448,472,37
62454,246,9
62471,426,17
62474,55,6
62521,1858,110
62522,535,36
62526,1525,51
62560,106,7
62561,425,6
62563,463,6
62565,633,14
62568,793,29
62618,711,67
62629,1135,15
62650,1838,89
62656,1693,10
62664,293,11
62675,467,12
62681,341,12
62684,804,71
62692,180,8
62702,4106,76
62703,3009,68
62704,3583,55
62707,961,19
62711,1615,29
62712,832,6
62801,1611,65
62832,482,16
62837,445,7
62863,359,12
62864,1352,85
62882,163,14
62901,2041,162
62902,276,20
62906,834,79
62907,117,20
62912,67,8
62918,598,14
62920,385,69
62939,144,10
62948,756,19
62951,244,6
62952,183,10
62959,1599,35
62966,1212,100
62992,175,49
