County,Tested,Positive_Cases,Deaths
Illinois,3489571,211889,7806
Adams,22030,693,7
Alexander,1346,40,0
Bond,3919,92,3
Boone,10229,793,23
Brown,1114,15,0
Bureau,4984,281,4
Calhoun,640,17,0
Carroll,2158,94,4
Cass,3614,265,11
Champaign,124380,1827,19
Chicago,816053,67110,2836
Christian,7479,166,4
Clark,2868,98,2
Clay,2032,47,0
Clinton,7993,524,17
Coles,15244,676,21
Cook,672110,50902,2148
Crawford,1950,40,0
Cumberland,2513,82,3
De Witt,2293,38,0
DeKalb,19003,1013,33
Douglas,4977,161,3
DuPage,222154,13289,527
Edgar,2131,51,0
Edwards,507,29,0
Effingham,6776,285,1
Fayette,3129,87,3
Ford,2908,62,2
Franklin,7013,266,1
Fulton,6015,54,0
Gallatin,514,56,2
Greene,2111,84,0
Grundy,7500,400,5
Hamilton,917,39,0
Hancock,3678,102,1
Hardin,552,18,0
Henderson,703,24,0
Henry,10473,335,1
Iroquois,7203,282,14
Jackson,12615,807,20
Jasper,1700,73,7
Jefferson,6027,360,26
Jersey,3349,174,2
Jo Daviess,3655,149,2
Johnson,1698,86,0
Kane,120249,10466,305
Kankakee,34304,1935,71
Kendall,23504,1518,23
Knox,9747,395,2
Lake,175845,13591,452
LaSalle,19794,1008,37
Lawrence,2808,68,0
Lee,4808,203,1
Livingston,6061,152,3
Logan,8649,208,1
Macon,23002,778,23
Macoupin,12404,260,3
Madison,49994,3289,87
Marion,6500,201,0
Marshall,1941,36,0
Mason,2882,65,0
Massac,1938,47,0
McDonough,4705,158,15
McHenry,51705,3471,115
McLean,38873,876,16
Menard,3126,61,0
Mercer,2751,83,4
Monroe,4713,367,13
Montgomery,8335,196,7
Morgan,9820,415,15
Moultrie,2771,123,0
Ogle,9675,449,5
Out Of State,38493,2,0
Peoria,54953,2015,37
Perry,4181,239,4
Piatt,4896,71,0
Pike,1825,39,0
Pope,380,11,0
Pulaski,963,102,1
Putnam,620,13,0
Randolph,7202,570,7
Richland,3009,46,0
Rock Island,40220,1933,44
Saline,4283,147,2
Sangamon,69276,1532,35
Schuyler,1246,19,0
Scott,1328,36,0
Shelby,4199,119,2
St. Clair,53264,4626,165
Stark,1121,7,0
Stephenson,8009,353,6
Tazewell,36555,806,9
Unassigned,52599,56,0
Union,4218,375,23
Vermilion,15971,274,2
Wabash,1470,80,1
Warren,2490,210,0
Washington,1816,78,1
Wayne,2132,80,2
White,1835,98,0
Whiteside,9502,416,17
Will,145900,10239,353
Williamson,15579,620,7
Winnebago,61099,3966,135
Woodford,7222,205,3
