County,Tested,Positive_Cases,Deaths
Illinois,1544978,141723,6888
Adams,8084,83,1
Alexander,495,22,0
Bond,818,13,1
Boone,5207,577,21
Brown,507,10,0
Bureau,2254,25,1
Calhoun,156,1,0
Carroll,582,21,2
Cass,1801,127,1
Champaign,28403,847,12
Chicago,397182,51950,2582
Christian,2392,43,4
Clark,868,15,0
Clay,984,2,0
Clinton,3844,233,17
Coles,5564,161,17
Cook,331113,37805,1960
Crawford,889,18,0
Cumberland,774,11,0
De Witt,920,4,0
DeKalb,9001,541,18
Douglas,1608,48,0
DuPage,97554,8951,469
Edgar,1115,9,0
Edwards,243,2,0
Effingham,2171,11,1
Fayette,1525,23,3
Ford,1239,30,1
Franklin,2614,13,0
Fulton,2306,15,0
Gallatin,154,2,0
Greene,887,9,0
Grundy,3356,160,4
Hamilton,367,4,0
Hancock,1086,18,1
Hardin,169,1,0
Henderson,336,8,0
Henry,2971,83,1
Iroquois,2598,156,5
Jackson,5189,329,19
Jasper,805,46,7
Jefferson,2495,106,17
Jersey,1152,35,1
Jo Daviess,1250,42,1
Johnson,649,20,0
Kane,58043,7626,265
Kankakee,15000,1268,65
Kendall,10734,950,20
Knox,3074,124,0
Lake,79960,9644,415
LaSalle,7408,205,17
Lawrence,899,7,0
Lee,2104,97,2
Livingston,2329,43,2
Logan,3272,13,0
Macon,7689,227,22
Macoupin,4315,51,3
Madison,16674,917,68
Marion,2843,65,0
Marshall,824,8,0
Mason,1302,22,0
Massac,955,11,0
McDonough,2206,100,15
McHenry,22717,1999,97
McLean,12877,257,13
Menard,1360,24,0
Mercer,930,19,0
Monroe,1585,123,13
Montgomery,2847,41,1
Morgan,4004,126,3
Moultrie,1096,17,0
Ogle,3796,252,4
Peoria,18532,475,28
Perry,1235,49,0
Piatt,1369,19,0
Pike,830,2,0
Pope,149,1,0
Pulaski,507,74,0
Putnam,226,1,0
Randolph,3032,279,7
Richland,1122,4,0
Rock Island,13530,899,28
Saline,1134,9,0
Sangamon,27841,411,31
Schuyler,562,13,0
Shelby,1707,18,1
St. Clair,19021,1801,135
Stark,293,3,0
Stephenson,4625,268,5
Tazewell,11594,120,7
Unassigned,38239,29,0
Union,2050,184,19
Vermilion,5167,65,2
Wabash,589,22,0
Warren,1053,135,0
Washington,779,19,0
Wayne,1163,12,1
White,504,4,0
Whiteside,3933,183,15
Will,72278,6608,319
Williamson,5432,113,4
Winnebago,31753,3004,92
Woodford,2362,33,2
