Zip,Positive_Cases,Tested
53142,9,71
53143,6,41
60002,52,333
60004,103,1322
60005,63,370
60007,91,433
60008,93,307
60010,40,321
60012,44,117
60013,39,190
60014,69,450
60015,94,536
60016,508,1485
60018,218,676
60020,14,124
60021,8,58
60022,21,162
60025,183,926
60026,81,311
60030,65,457
60031,126,604
60033,42,158
60035,141,690
60040,38,108
60041,17,101
60042,9,66
60043,14,71
60044,49,226
60045,85,396
60046,71,442
60047,68,332
60048,55,323
60050,84,351
60051,35,250
60053,138,581
60056,234,924
60060,133,477
60061,72,325
60062,144,853
60064,258,493
60067,55,425
60068,153,677
60069,30,158
60070,72,269
60073,228,800
60074,121,478
60076,247,1119
60077,201,872
60081,23,95
60083,38,146
60084,80,163
60085,931,1751
60087,243,559
60088,23,59
60089,105,507
60090,211,724
60091,94,599
60093,96,475
60096,16,90
60097,18,126
60098,117,401
60099,223,570
60101,256,753
60102,46,261
60103,79,445
60104,208,657
60106,211,728
60107,173,556
60108,85,494
60110,125,341
60112,11,43
60115,37,347
60118,23,117
60119,12,109
60120,194,493
60123,141,490
60124,19,158
60126,129,722
60130,59,405
60131,120,484
60133,203,568
60134,68,270
60136,18,74
60137,58,417
60139,191,627
60140,25,180
60141,6,131
60142,31,249
60143,46,177
60148,125,667
60152,14,111
60153,202,754
60154,97,500
60155,89,271
60156,44,261
60160,215,713
60162,76,267
60163,31,127
60164,184,807
60165,54,129
60169,104,406
60171,50,258
60172,54,252
60173,20,124
60174,43,368
60175,27,260
60176,50,237
60177,42,223
60178,13,180
60181,98,436
60185,157,550
60187,41,353
60188,181,640
60189,46,311
60190,12,197
60191,53,238
60192,21,161
60193,85,438
60194,48,246
60195,6,38
60201,170,1140
60202,156,959
60203,17,111
60301,14,75
60302,110,750
60304,46,366
60305,26,220
60401,27,158
60402,491,1775
60403,71,473
60404,48,354
60406,163,640
60408,6,71
60409,275,1134
60410,16,182
60411,441,1871
60415,98,326
60417,80,377
60418,47,201
60419,199,812
60422,55,308
60423,81,473
60425,61,345
60426,236,992
60428,122,560
60429,128,736
60430,152,621
60431,89,590
60432,95,409
60433,98,366
60434,132,66
60435,319,1398
60436,69,472
60438,175,759
60439,48,350
60440,287,1329
60441,106,552
60442,21,148
60443,209,878
60445,72,364
60446,190,895
60447,17,231
60448,63,320
60449,43,263
60450,16,185
60451,53,408
60452,87,475
60453,307,1119
60455,168,665
60456,19,84
60457,58,203
60458,47,291
60459,149,561
60461,38,193
60462,125,651
60463,89,299
60464,22,137
60465,80,312
60466,328,1138
60467,90,401
60468,15,63
60469,29,127
60471,130,547
60472,40,206
60473,221,866
60475,46,222
60476,10,59
60477,109,631
60478,182,852
60480,16,109
60481,12,144
60482,32,198
60484,60,248
60487,67,401
60490,76,461
60491,77,346
60501,82,266
60502,32,219
60503,20,132
60504,90,411
60505,363,736
60506,252,1007
60510,35,317
60513,66,471
60514,25,180
60515,38,288
60516,52,342
60517,98,495
60521,64,400
60523,43,234
60525,116,728
60526,34,301
60527,153,721
60532,57,314
60534,53,212
60538,74,294
60540,49,542
60542,32,234
60543,73,363
60544,72,541
60545,29,128
60546,70,390
60548,13,93
60551,15,32
60552,6,38
60554,13,111
60555,41,173
60558,17,185
60559,129,422
60560,38,204
60561,67,391
60563,62,468
60564,70,471
60565,91,455
60585,41,285
60586,143,833
60601,46,322
60604,6,33
60605,120,691
60606,27,202
60607,226,973
60608,614,2078
60609,581,1590
60610,138,874
60611,88,833
60612,351,1724
60613,223,965
60614,261,1452
60615,232,1327
60616,235,1130
60617,480,2232
60618,489,2021
60619,556,2170
60620,673,2423
60621,278,963
60622,282,1361
60623,1031,2348
60624,405,1365
60625,526,1670
60626,484,1579
60628,588,2107
60629,1007,2540
60630,313,1449
60631,128,1065
60632,905,2149
60633,109,541
60634,569,2839
60636,344,932
60637,318,1768
60638,427,1786
60639,1089,2765
60640,425,1613
60641,500,1826
60642,65,465
60643,470,1895
60644,572,1711
60645,600,1823
60646,117,829
60647,473,1988
60649,440,1723
60651,607,1864
60652,344,1123
60653,287,1164
60654,90,433
60655,163,1004
60656,128,925
60657,197,1365
60659,353,1039
60660,214,815
60661,23,205
60706,145,751
60707,296,1420
60712,96,403
60714,292,811
60803,105,486
60804,992,2554
60805,124,414
60827,181,759
60901,194,849
60914,57,498
60915,18,211
60950,17,200
60954,11,91
60958,8,46
60964,9,70
61008,76,257
61016,12,75
61021,15,327
61032,24,171
61065,11,73
61068,90,660
61071,17,90
61073,8,103
61080,6,55
61081,42,142
61101,35,255
61102,45,197
61103,35,258
61104,43,209
61107,26,249
61108,67,288
61109,50,285
61111,12,174
61114,22,113
61115,17,165
61201,92,304
61235,6,24
61241,13,83
61244,102,265
61252,6,42
61264,13,82
61265,115,420
61275,7,33
61282,24,88
61342,14,81
61356,6,66
61401,33,392
61455,11,104
61462,53,132
61554,10,260
61603,9,237
61604,16,330
61611,16,206
61614,27,257
61615,13,208
61701,34,679
61704,17,522
61705,8,203
61761,22,581
61764,8,151
61801,17,299
61802,20,311
61820,10,284
61821,13,437
61822,28,360
61832,9,287
61853,9,195
61866,7,228
61874,6,118
61910,6,43
61920,10,126
61938,9,163
62002,46,175
62010,8,39
62024,7,26
62025,92,346
62034,30,66
62035,11,59
62040,50,251
62052,9,51
62056,9,109
62060,9,39
62069,7,50
62088,6,175
62090,7,13
62095,9,60
62201,10,34
62203,14,40
62204,16,39
62205,17,45
62206,41,207
62207,25,43
62208,32,102
62220,42,117
62221,35,133
62223,29,72
62226,65,346
62230,6,38
62231,49,169
62233,55,179
62234,28,134
62236,33,85
62239,6,18
62249,10,69
62254,12,55
62258,13,57
62265,8,29
62269,40,155
62272,23,39
62278,14,59
62285,6,24
62286,18,94
62288,19,67
62294,11,53
62295,6,10
62298,29,85
62301,18,203
62305,15,75
62448,39,164
62454,7,79
62471,15,83
62521,69,439
62522,15,64
62526,18,161
62565,7,38
62568,25,151
62618,26,215
62629,6,118
62650,18,197
62656,7,217
62664,6,31
62684,55,109
62702,33,424
62703,18,301
62704,18,419
62707,9,89
62711,11,153
62801,42,347
62832,8,112
62864,71,400
62901,55,296
62918,7,92
62959,15,346
62966,15,149
62992,14,39
