Zip,Positive_Cases,Tested
53142,6,34
60002,33,250
60004,63,739
60005,40,227
60007,58,261
60008,37,161
60010,30,204
60012,19,56
60013,32,124
60014,39,234
60015,79,383
60016,336,932
60018,110,370
60020,10,77
60021,7,30
60022,15,110
60025,148,659
60026,59,222
60030,45,300
60031,80,414
60033,13,90
60035,108,499
60040,17,66
60041,9,61
60042,7,42
60043,13,53
60044,38,157
60045,77,288
60046,53,300
60047,47,212
60048,46,233
60050,46,188
60051,20,146
60053,86,422
60056,129,562
60060,74,294
60061,45,222
60062,91,527
60064,154,299
60067,32,246
60068,104,431
60069,18,113
60070,37,138
60073,140,491
60074,73,254
60076,177,749
60077,138,622
60081,15,62
60083,26,103
60084,54,106
60085,536,1018
60087,145,350
60088,17,40
60089,68,340
60090,108,440
60091,75,439
60093,89,338
60096,9,61
60097,8,66
60098,70,244
60099,161,368
60101,116,417
60102,30,157
60103,43,230
60104,160,420
60106,112,290
60107,85,284
60108,38,249
60110,40,141
60115,22,193
60118,17,64
60119,8,62
60120,77,232
60123,74,274
60124,16,96
60126,84,448
60130,49,247
60131,71,265
60133,83,275
60134,17,145
60136,12,51
60137,35,240
60139,80,322
60140,17,102
60142,21,136
60143,15,78
60148,90,419
60153,128,459
60154,70,309
60155,38,142
60156,27,133
60160,111,371
60162,52,165
60163,22,73
60164,79,331
60165,34,66
60169,46,236
60171,33,160
60172,31,147
60173,10,73
60174,24,213
60175,23,168
60176,25,122
60177,23,115
60178,11,108
60181,74,269
60185,70,266
60187,21,186
60188,116,372
60189,32,191
60190,9,71
60191,21,128
60192,16,106
60193,54,248
60194,25,138
60201,113,822
60202,115,681
60203,14,80
60301,11,50
60302,84,512
60304,32,226
60305,17,128
60401,22,100
60402,267,1012
60403,61,332
60404,36,243
60406,90,328
60409,191,629
60410,11,115
60411,266,983
60415,72,221
60417,65,222
60418,31,109
60419,139,426
60422,47,165
60423,61,300
60425,47,182
60426,146,473
60428,82,255
60429,98,371
60430,101,356
60431,73,418
60432,49,254
60433,68,250
60434,21,48
60435,214,906
60436,47,320
60438,117,401
60439,38,218
60440,170,853
60441,79,387
60442,16,99
60443,154,516
60445,48,172
60446,111,551
60447,10,145
60448,44,189
60449,33,162
60450,14,103
60451,41,269
60452,59,257
60453,176,600
60455,70,210
60456,15,46
60457,35,126
60458,27,159
60459,86,303
60461,32,114
60462,85,372
60463,43,170
60464,14,82
60465,48,187
60466,223,577
60467,58,250
60468,9,32
60469,18,58
60471,90,334
60472,36,103
60473,164,472
60475,37,125
60477,67,345
60478,116,430
60480,11,73
60481,9,83
60482,22,124
60484,49,151
60487,47,229
60490,60,333
60491,64,224
60501,36,118
60502,25,126
60503,12,81
60504,48,230
60505,96,311
60506,108,393
60510,17,157
60513,50,280
60514,25,109
60515,26,169
60516,32,216
60517,60,304
60521,30,250
60523,34,151
60525,78,472
60526,26,189
60527,130,480
60532,34,195
60534,30,119
60538,27,165
60540,32,282
60542,16,132
60543,44,234
60544,50,357
60545,9,67
60546,53,252
60548,6,48
60551,9,21
60554,9,63
60555,20,92
60558,14,119
60559,76,257
60560,20,123
60561,48,257
60563,40,285
60564,49,317
60565,69,285
60585,33,177
60586,93,553
60601,35,189
60605,74,441
60606,22,132
60607,143,526
60608,381,1269
60609,290,872
60610,108,548
60611,75,537
60612,282,1181
60613,162,617
60614,195,901
60615,177,927
60616,191,772
60617,350,1421
60618,292,1117
60619,396,1342
60620,463,1306
60621,198,606
60622,201,838
60623,469,1176
60624,290,902
60625,306,991
60626,255,906
60628,385,1298
60629,493,1283
60630,171,907
60631,96,732
60632,382,1070
60633,45,175
60634,342,1764
60636,224,587
60637,229,1056
60638,217,984
60639,485,1324
60640,260,899
60641,254,993
60642,38,284
60643,325,1022
60644,349,1000
60645,433,1239
60646,80,565
60647,222,1091
60649,270,1085
60651,357,1057
60652,219,632
60653,204,798
60654,78,275
60655,130,649
60656,89,647
60657,159,908
60659,243,678
60660,145,522
60661,20,112
60706,88,477
60707,175,841
60712,75,288
60714,146,468
60803,62,253
60804,367,1022
60805,74,242
60827,130,404
60901,167,601
60914,47,279
60915,13,116
60950,16,140
60954,9,55
60964,9,60
61008,22,121
61016,8,52
61021,11,277
61032,9,102
61065,7,49
61068,33,182
61071,9,46
61081,19,62
61101,13,123
61102,21,83
61103,18,157
61104,12,91
61107,10,147
61108,29,155
61109,25,134
61111,8,89
61114,14,71
61115,6,106
61201,42,129
61235,6,14
61241,10,54
61244,62,156
61264,8,39
61265,53,212
61282,14,60
61462,12,37
61604,9,75
61611,9,82
61614,11,75
61615,10,53
61701,33,503
61704,16,366
61705,7,140
61761,18,412
61764,8,106
61801,11,193
61802,16,190
61820,7,179
61821,10,264
61822,24,240
61853,7,130
61874,6,74
61910,6,30
61920,6,66
61938,6,104
62002,30,87
62024,7,13
62025,30,58
62034,9,26
62035,8,40
62040,32,172
62052,6,41
62060,7,28
62069,6,19
62095,8,29
62201,8,15
62203,10,20
62204,9,19
62205,9,23
62206,22,43
62207,15,14
62208,19,61
62220,18,62
62221,28,94
62223,20,42
62226,42,82
62233,31,112
62234,19,67
62236,28,72
62249,8,43
62258,11,43
62265,8,22
62269,23,108
62278,12,38
62294,10,40
62298,22,63
62301,13,119
62305,12,54
62448,19,43
62471,13,61
62521,37,129
62522,6,40
62526,7,87
62568,22,108
62650,11,105
62702,17,247
62703,6,173
62707,6,47
62711,10,97
62801,35,242
62864,24,187
62901,33,211
62959,9,176
62992,8,27
