Zip,Tested,Positive_Cases
60002,3210,181
60004,16017,528
60005,8165,352
60007,6942,494
60008,7209,483
60010,8922,384
60012,1764,134
60013,4022,246
60014,8345,553
60015,6734,302
60016,14937,1381
60018,8573,825
60020,2118,87
60021,775,47
60022,1998,59
60025,9902,589
60026,5540,230
60029,175,18
60030,7512,356
60031,9204,559
60033,2860,362
60034,341,16
60035,9727,365
60040,1633,188
60041,1743,86
60042,1395,93
60043,614,26
60044,3311,140
60045,5094,169
60046,6528,404
60047,11462,685
60048,6058,279
60050,5956,366
60051,4081,208
60053,6800,412
60056,11768,867
60060,7223,647
60061,5396,286
60062,13318,470
60064,4053,769
60067,11462,450
60068,9115,473
60069,4561,130
60070,4271,337
60071,646,32
60073,14704,1638
60074,7600,650
60076,9948,719
60077,7135,537
60079,184,15
60081,1388,92
60083,2236,163
60084,3528,242
60085,21018,3118
60087,7664,958
60088,1386,512
60089,8802,454
60090,10236,1032
60091,6312,251
60093,4976,239
60096,1172,92
60097,1751,91
60098,7659,578
60099,7557,822
60101,8650,1065
60102,5382,381
60103,8589,529
60104,5408,606
60106,6546,649
60107,9407,897
60108,8118,481
60109,416,18
60110,7415,1044
60112,805,57
60115,8555,492
60118,2941,147
60119,1903,89
60120,11633,1709
60123,12308,1216
60124,4597,286
60126,12615,644
60130,7186,237
60131,4290,494
60133,9464,1028
60134,6086,345
60135,1291,89
60136,1391,111
60137,9208,424
60139,8031,860
60140,3179,205
60141,1351,26
60142,5210,246
60143,2727,259
60145,320,19
60146,445,25
60148,11721,675
60150,282,12
60151,639,28
60152,2012,118
60153,6068,692
60154,4691,287
60155,1923,234
60156,4643,325
60157,479,27
60160,6512,979
60162,3204,218
60163,1371,152
60164,8704,734
60165,1112,222
60168,42,7
60169,6887,564
60171,2468,192
60172,5268,365
60173,2161,164
60174,7737,429
60175,5272,332
60176,2321,274
60177,5237,495
60178,3748,171
60180,227,7
60181,6290,465
60184,436,27
60185,8835,1000
60187,9019,274
60188,9720,751
60189,6992,281
60190,3078,124
60191,2981,291
60192,2654,128
60193,8848,437
