Zip,Tested,Positive_Cases
60002,2421,149
60004,11267,436
60005,5900,280
60007,5021,409
60008,5386,424
60010,6167,289
60012,1293,111
60013,2728,193
60014,5955,464
60015,4590,232
60016,11293,1257
60018,6678,744
60020,1511,68
60021,544,33
60022,1319,47
60025,7242,503
60026,4369,208
60029,139,12
60030,5417,291
60031,6741,451
60033,2212,284
60034,240,6
60035,7001,329
60040,1251,185
60041,1233,66
60042,980,67
60043,401,20
60044,2162,130
60045,3694,149
60046,4466,310
60047,8722,621
60048,4273,225
60050,4288,298
60051,2886,173
60053,4775,360
60056,8622,753
60060,5318,544
60061,3849,240
60062,9916,407
60064,3043,709
60067,7930,334
60068,6740,395
60069,3363,116
60070,3210,298
60071,425,22
60073,10787,1317
60074,5526,573
60076,7240,623
60077,5527,469
60079,151,14
60081,960,68
60083,1642,130
60084,2188,209
60085,16014,2745
60087,5915,824
60088,982,366
60089,6181,380
60090,7335,923
60091,4229,207
60093,3447,210
60096,842,67
60097,1251,62
60098,5836,467
60099,5762,691
60101,6662,922
60102,3780,277
60103,6108,396
60104,4209,505
60106,5258,598
60107,7084,751
60108,5893,410
60109,375,13
60110,5152,852
60112,539,42
60115,5949,384
60118,1980,112
60119,1212,64
60120,8951,1550
60123,8989,1057
60124,3014,213
60126,9073,525
60130,5160,196
60131,3278,416
60133,6900,863
60134,3857,255
60135,890,72
60136,997,95
60137,5966,287
60139,6003,745
60140,2187,146
60141,1177,26
60142,3662,182
60143,2086,219
60145,224,13
60146,299,15
60148,8207,529
60150,191,7
60151,420,24
60152,1479,95
60153,4750,611
60154,3599,251
60155,1485,203
60156,3218,235
60157,317,17
60160,5106,832
60162,2551,193
60163,995,114
60164,6301,603
60165,891,198
60169,5173,484
60171,1824,157
60172,3869,286
60173,1502,132
60174,5075,284
60175,2875,189
60176,1712,210
60177,3778,394
60178,2441,116
60180,165,6
60181,4390,348
60184,279,13
60185,6281,863
60187,5610,212
60188,7062,624
60189,4590,181
60190,2178,93
60191,2286,257
60192,1756,92
60193,6361,348
60194,3969,217
60195,511,28
60201,8740,378
60202,6800,488
60203,879,44
60301,608,38
60302,7239,302
60304,3297,106
60305,2145,104
60401,1523,69
60402,13149,1660
60403,3399,279
60404,2972,165
60406,5383,634
60408,921,31
60409,8505,814
60410,1621,83
60411,12265,1216
60415,2819,274
60416,947,40
60417,3240,219
60418,1213,153
60419,5852,532
60420,566,15
60421,396,18
60422,2128,131
60423,4228,268
60424,217,7
60425,2618,208
60426,6160,594
60428,2679,274
60429,3853,307
60430,4182,328
60431,4552,302
60432,3606,543
60433,3652,378
60434,537,189
60435,10080,842
60436,3481,303
60438,5607,543
60439,3780,174
60440,11690,1025
60441,3996,302
60442,1127,68
60443,4943,471
60445,3587,240
60446,7486,651
60447,1666,73
60448,2849,211
60449,1569,101
60450,2808,120
60451,3840,246
60452,4102,317
60453,10804,1033
60455,3806,441
60456,694,60
60457,2509,185
60458,2295,224
60459,5084,552
60461,1107,86
60462,6801,504
60463,2591,291
60464,1502,88
60465,2513,350
60466,5429,578
60467,3477,274
60468,833,47
60469,1070,135
60471,3103,275
60472,1134,86
60473,6534,552
60475,1559,122
60476,539,36
60477,5475,375
60478,4561,433
60480,963,54
60481,1920,56
60482,1393,143
60484,1347,153
60487,3345,243
60490,3617,202
60491,2619,226
60501,2127,345
60502,2984,173
60503,2050,106
60504,5893,444
60505,13648,2220
60506,12282,1295
60507,64,6
60510,4633,201
60512,166,6
60513,3929,237
60514,1614,94
60515,4063,165
60516,4348,206
60517,5181,309
60518,299,16
60520,354,14
60521,3324,251
60523,1910,132
60525,7761,434
60526,4340,132
60527,6407,369
60531,207,10
60532,4446,199
60534,2044,211
60538,4518,394
60540,6331,208
60541,316,16
60542,3305,253
60543,5851,393
60544,5097,262
60545,2153,198
60546,4919,206
60548,2526,163
60551,424,32
60552,548,19
60554,1615,81
60555,2197,163
60558,2568,129
60559,4244,406
60560,3376,188
60561,3715,176
60563,7098,259
60564,5929,308
60565,5797,265
60585,3418,175
60586,7390,552
60601,2388,106
60602,465,18
60603,235,8
60604,300,27
60605,5688,280
60606,1652,50
60607,5939,539
60608,17506,2040
60609,14230,2067
60610,8338,400
60611,7812,265
60612,9251,818
60613,9530,532
60614,14645,723
60615,8981,526
60616,11376,599
60617,18165,1593
60618,19846,1618
60619,15648,1158
60620,14820,1395
60621,6932,642
60622,12682,825
60623,18571,3812
60624,8028,1019
60625,16698,1677
60626,17075,1257
60628,14562,1381
60629,21735,3909
60630,10410,951
60631,7514,436
60632,17797,3604
60633,4004,394
60634,17791,1816
60636,6865,908
60637,11080,765
60638,11163,1354
60639,22854,3879
60640,19437,1023
60641,17032,1818
60642,4718,258
60643,12332,963
60644,12726,1436
60645,10675,1193
60646,6257,436
60647,20301,1713
60649,11513,987
60651,14070,2052
60652,8676,1173
60653,10121,664
60654,3800,227
60655,6009,372
60656,5271,377
60657,12707,538
60659,7124,887
60660,8473,557
60661,1766,94
60680,174,9
60706,5875,514
60707,9682,937
60712,3164,224
60714,8266,995
60803,3500,346
60804,18066,3316
60805,3494,288
60827,4837,471
60901,9810,854
60911,224,14
60912,82,6
60913,222,10
60914,6290,316
60915,2531,115
60919,69,7
60922,470,23
60927,781,56
60928,110,8
60930,398,8
60936,822,11
60938,852,54
60940,535,27
60941,296,9
60942,1219,21
60950,3942,151
60953,327,6
60954,1738,59
60955,288,18
60957,855,11
60958,417,30
60964,909,45
60970,1074,29
61008,5957,558
61010,1654,46
61011,336,14
61012,279,25
61016,744,54
61019,387,16
61020,346,18
61021,2751,118
61024,401,8
61025,388,28
61028,272,10
61032,5272,264
61036,1257,40
61038,131,8
61041,140,8
61047,185,10
61048,337,7
61053,268,7
61054,683,25
61061,872,32
61062,142,8
61063,492,14
61064,454,21
61065,1408,102
61068,2014,184
61071,896,62
61072,1513,66
61073,2656,135
61074,286,14
61075,94,6
61080,1207,85
61081,1563,126
61084,285,13
61085,319,9
61088,777,21
61101,4295,385
61102,3448,335
61103,6130,396
61104,3050,361
61107,5795,356
61108,5860,530
61109,4317,366
61111,3863,174
61114,2977,144
61115,3323,180
61201,9009,440
61230,101,6
61231,674,22
61232,241,8
61235,276,10
61238,502,16
61239,215,7
61240,1319,32
61241,1311,32
61244,5928,337
61252,654,70
61254,2269,46
61256,371,11
61264,2019,64
61265,9500,497
61270,922,19
61272,145,6
61273,611,23
61275,665,31
61277,608,7
61281,393,7
61282,2065,104
61284,321,16
61285,473,10
61301,1460,28
61310,367,7
61314,77,6
61322,117,19
61325,141,7
61326,144,6
61341,1208,52
61342,969,70
61348,425,21
61350,3425,75
61354,1112,40
61356,1428,33
61360,249,12
61362,1024,42
61364,2107,47
61401,4445,198
61410,293,10
61413,124,10
61420,96,10
61422,319,7
61434,336,7
61443,1521,30
61448,394,8
61455,2173,97
61462,1266,146
61465,156,6
61469,196,8
61473,213,6
61486,191,9
61517,428,8
61520,2348,7
61523,1895,38
61525,1881,76
61528,569,11
61529,353,10
61534,216,8
61536,383,8
61537,332,6
61546,619,8
61547,523,13
61548,1750,46
61550,3255,60
61554,6910,76
61559,458,6
61568,492,10
61571,4059,61
61602,346,9
61603,3412,177
61604,6873,256
61605,2675,125
61606,1002,41
61607,1675,44
61610,826,16
61611,4143,95
61614,6898,254
61615,5289,121
61616,1668,38
61701,6197,133
61704,5357,139
61705,2244,43
61724,106,6
61726,292,6
61727,929,15
61729,120,6
61732,318,8
61739,584,6
61745,595,13
61748,428,11
61752,518,6
61761,6600,145
61764,1647,35
61770,146,6
61801,8797,91
61802,6883,196
61820,11067,252
61821,11197,270
61822,8649,128
61832,5109,87
61834,1090,17
61842,458,9
61843,840,30
61845,130,8
61846,598,11
61853,4997,85
61856,1976,22
61858,548,9
61863,225,6
61864,498,6
61866,4334,240
61873,1575,25
61874,3901,57
61877,369,15
61878,334,6
61880,1264,25
61883,599,10
61884,271,6
61910,697,43
61911,388,20
61920,4400,188
61925,74,6
61928,108,10
61938,5081,151
61943,212,9
61944,998,18
61951,1259,19
61953,1328,28
61956,637,11
61957,260,7
62002,3233,261
62010,788,83
62012,769,32
62014,337,10
62018,275,21
62024,916,36
62025,3862,305
62033,905,12
62034,2663,153
62035,2338,115
62037,157,6
62040,5378,377
62048,112,6
62049,1800,37
62052,1314,33
62056,2171,52
62059,85,10
62060,781,73
62061,133,12
62062,2432,59
62067,201,14
62069,545,13
62075,447,9
62082,347,8
62084,97,8
62087,162,8
62088,1219,19
62090,182,22
62095,994,56
62097,274,6
62201,1452,181
62203,1237,151
62204,978,115
62205,1414,146
62206,2835,334
62207,1208,199
62208,2377,238
62215,202,9
62216,381,15
62217,103,11
62218,146,11
62220,2614,302
62221,3325,334
62223,2249,165
62225,283,16
62226,4165,395
62230,812,39
62231,1017,97
62232,2080,83
62233,1293,145
62234,4062,318
62236,993,112
62237,957,13
62238,75,10
62239,412,44
62240,126,14
62241,120,9
62242,110,9
62243,536,26
62245,232,14
62246,1932,33
62249,1616,69
62254,959,118
62255,93,13
62257,311,20
62258,1435,58
62260,618,44
62263,555,17
62264,364,66
62265,1105,67
62269,3752,259
62271,186,12
62272,293,59
62274,803,23
62275,309,10
62278,820,58
62281,285,16
62285,424,34
62286,814,72
62288,484,49
62293,610,29
62294,1550,106
62295,134,14
62298,2208,118
62301,9003,164
62305,1205,128
62320,217,6
62325,23,9
62338,78,9
62351,122,10
62353,789,9
62376,71,14
62401,2295,42
62411,643,9
62418,186,8
62420,897,29
62427,117,8
62428,460,10
62439,956,25
62441,737,25
62442,207,7
62447,747,32
62448,970,39
62450,1896,9
62454,806,18
62458,590,8
62460,121,8
62467,328,17
62471,963,31
62474,134,6
62501,225,7
62521,4379,181
62522,1444,68
62526,4724,111
62535,1105,8
62548,454,8
62549,748,35
62554,145,7
62557,1284,26
62558,577,8
62560,254,13
62561,1030,10
62563,1315,36
62565,1545,25
62568,2480,59
62613,695,9
62615,1359,17
62618,1445,113
62626,2354,29
62627,221,16
62628,124,6
62629,3439,70
62642,281,9
62644,656,14
62650,4805,159
62656,4366,61
62664,502,12
62670,620,11
62675,1217,23
62677,551,18
62681,629,14
62684,1625,81
62690,1484,8
62691,505,61
62692,363,9
62702,9374,162
62703,7135,129
62704,9519,182
62707,2263,37
62711,4689,110
62712,2309,36
62801,3469,99
62806,196,6
