County,Tested,Positive_Cases,Deaths
Illinois,1258328,134185,6485
Adams,6425,45,1
Alexander,283,17,0
Bond,546,12,1
Boone,4239,542,19
Brown,446,10,0
Bureau,1553,24,1
Calhoun,88,1,0
Carroll,456,20,2
Cass,1202,78,0
Champaign,20373,754,10
Chicago,334873,49929,2442
Christian,1774,39,4
Clark,611,13,0
Clay,526,2,0
Clinton,2914,216,17
Coles,3917,145,17
Cook,277647,35929,1862
Crawford,508,17,0
Cumberland,485,10,0
De Witt,765,4,0
DeKalb,7073,499,16
Douglas,1226,39,0
DuPage,79030,8546,435
Edgar,895,2,0
Edwards,188,2,0
Effingham,1278,9,1
Fayette,1012,23,3
Ford,886,22,1
Franklin,2072,12,0
Fulton,1804,11,0
Gallatin,123,2,0
Greene,472,8,0
Grundy,2443,133,2
Hamilton,292,2,0
Hancock,883,18,1
Hardin,106,1,0
Henderson,283,8,0
Henry,2236,71,1
Iroquois,2108,142,5
Jackson,4238,321,18
Jasper,628,46,7
Jefferson,2025,104,16
Jersey,446,29,1
Jo Daviess,815,35,1
Johnson,507,20,0
Kane,48620,7202,236
Kankakee,12145,1109,60
Kendall,8892,897,20
Knox,2546,113,0
Lake,64967,9154,389
LaSalle,5467,183,16
Lawrence,695,4,0
Lee,1804,90,1
Livingston,2042,35,2
Logan,2544,11,0
Macon,5479,213,21
Macoupin,3512,45,3
Madison,10537,750,66
Marion,2245,55,0
Marshall,548,5,0
Mason,1098,18,0
Massac,771,7,0
McDonough,1907,100,15
McHenry,18338,1872,88
McLean,10512,246,13
Menard,995,23,0
Mercer,734,19,0
Monroe,1144,109,12
Montgomery,2004,41,1
Morgan,2521,110,2
Moultrie,580,16,0
Ogle,3219,230,4
Out Of State,7277,58,0
Peoria,14341,405,21
Perry,1007,44,0
Piatt,1007,14,0
Pike,666,2,0
Pope,106,1,0
Pulaski,360,62,0
Putnam,168,1,0
Randolph,2484,279,7
Richland,592,4,0
Rock Island,9970,760,28
Saline,855,7,0
Sangamon,20691,382,31
Schuyler,445,13,0
Shelby,1107,16,1
St. Clair,13436,1520,122
Stark,205,3,0
Stephenson,3383,233,5
Tazewell,9149,97,7
Unassigned,32663,44,0
Union,1696,174,18
Vermilion,3647,47,2
Wabash,438,14,0
Warren,915,127,0
Washington,593,19,0
Wayne,766,9,1
White,404,3,0
Whiteside,3262,163,15
Will,59017,6222,308
Williamson,4038,89,3
Winnebago,27288,2776,81
Woodford,1915,28,2
