County,Tested,Positive_Cases,Deaths
Illinois,898259,120260,5390
Adams,4261,44,1
Alexander,218,8,0
Bond,350,12,1
Boone,2992,452,17
Brown,395,10,0
Bureau,1024,15,1
Calhoun,62,1,0
Carroll,255,15,2
Cass,949,73,0
Champaign,13266,640,7
Chicago,252594,45527,2122
Christian,1190,35,4
Clark,354,11,0
Clay,343,2,0
Clinton,1852,186,17
Coles,2638,127,15
Cook,201335,32398,1520
Crawford,311,11,0
Cumberland,318,10,0
De Witt,561,4,0
DeKalb,4550,416,4
Douglas,817,28,0
DuPage,56241,7707,373
Edgar,424,1,0
Edwards,131,2,0
Effingham,689,7,1
Fayette,591,21,3
Ford,551,20,1
Franklin,1529,12,0
Fulton,1115,11,0
Gallatin,93,2,0
Greene,274,5,0
Grundy,1601,98,2
Hamilton,194,2,0
Hancock,699,17,0
Hardin,64,1,0
Henderson,223,8,0
Henry,1519,69,0
Iroquois,1255,132,4
Jackson,2807,286,10
Jasper,462,45,7
Jefferson,1323,101,16
Jersey,276,24,1
Jo Daviess,561,32,0
Johnson,309,8,0
Kane,34704,6338,178
Kankakee,7689,910,45
Kendall,6062,798,19
Knox,1880,100,0
Lake,45119,8331,291
LaSalle,3314,153,13
Lawrence,427,4,0
Lee,1349,81,1
Livingston,1204,34,2
Logan,1454,10,0
Macon,3643,193,19
Macoupin,2504,45,2
Madison,6245,580,60
Marion,1535,50,0
Marshall,382,5,0
Mason,719,18,0
Massac,282,7,0
McDonough,1383,88,11
McHenry,12463,1566,72
McLean,7530,220,13
Menard,716,20,0
Mercer,458,17,0
Monroe,554,95,12
Montgomery,1294,39,1
Morgan,1437,36,1
Moultrie,377,11,0
Ogle,2518,206,3
Out Of State,4979,118,1
Peoria,9079,233,9
Perry,733,41,0
Piatt,649,11,0
Pike,182,1,0
Pope,64,1,0
Pulaski,271,56,0
Putnam,120,1,0
Randolph,1656,270,4
Richland,487,3,0
Rock Island,6166,658,24
Saline,566,7,0
Sangamon,14116,351,29
Schuyler,261,13,0
Shelby,620,16,1
St. Clair,8873,1137,82
Stark,131,3,0
Stephenson,2481,206,2
Tazewell,5919,73,5
Unassigned,25054,85,0
Union,1231,154,11
Vermilion,2442,40,1
Wabash,276,2,0
Warren,735,117,0
Washington,409,18,0
Wayne,587,9,1
White,316,2,0
Whiteside,2095,140,13
Will,41777,5566,276
Williamson,2372,67,2
Winnebago,19976,2251,55
Woodford,1149,19,2
