,Zip,Positive_Cases,Tested,update_date,update_time
0,53142,6,97,04-18-2020,22:45
1,60002,32,682,04-18-2020,22:45
2,60004,62,1858,04-18-2020,22:45
3,60005,38,593,04-18-2020,22:45
4,60007,57,715,04-18-2020,22:45
5,60008,34,423,04-18-2020,22:45
6,60010,30,553,04-18-2020,22:45
7,60012,19,163,04-18-2020,22:45
8,60013,32,341,04-18-2020,22:45
9,60014,38,635,04-18-2020,22:45
10,60015,74,1048,04-18-2020,22:45
11,60016,321,2591,04-18-2020,22:45
12,60018,96,984,04-18-2020,22:45
13,60020,10,214,04-18-2020,22:45
14,60021,7,85,04-18-2020,22:45
15,60022,15,299,04-18-2020,22:45
16,60025,145,1859,04-18-2020,22:45
17,60026,59,634,04-18-2020,22:45
18,60030,43,817,04-18-2020,22:45
19,60031,78,1175,04-18-2020,22:45
20,60033,13,265,04-18-2020,22:45
21,60035,104,1358,04-18-2020,22:45
22,60040,15,183,04-18-2020,22:45
23,60041,9,171,04-18-2020,22:45
24,60042,7,120,04-18-2020,22:45
25,60043,13,148,04-18-2020,22:45
26,60044,38,434,04-18-2020,22:45
27,60045,78,799,04-18-2020,22:45
28,60046,50,814,04-18-2020,22:45
29,60047,46,581,04-18-2020,22:45
30,60048,46,652,04-18-2020,22:45
31,60050,46,543,04-18-2020,22:45
32,60051,20,418,04-18-2020,22:45
33,60053,85,1154,04-18-2020,22:45
34,60056,120,1475,04-18-2020,22:45
35,60060,70,798,04-18-2020,22:45
36,60061,44,620,04-18-2020,22:45
37,60062,88,1453,04-18-2020,22:45
38,60064,149,861,04-18-2020,22:45
39,60067,30,601,04-18-2020,22:45
40,60068,101,1127,04-18-2020,22:45
41,60069,16,317,04-18-2020,22:45
42,60070,34,365,04-18-2020,22:45
43,60073,138,1371,04-18-2020,22:45
44,60074,67,692,04-18-2020,22:45
45,60076,175,2091,04-18-2020,22:45
46,60077,137,1746,04-18-2020,22:45
47,60081,14,175,04-18-2020,22:45
48,60083,26,288,04-18-2020,22:45
49,60084,52,325,04-18-2020,22:45
50,60085,510,2888,04-18-2020,22:45
51,60087,139,987,04-18-2020,22:45
52,60088,17,123,04-18-2020,22:45
53,60089,67,935,04-18-2020,22:45
54,60090,102,1221,04-18-2020,22:45
55,60091,74,1217,04-18-2020,22:45
56,60093,89,966,04-18-2020,22:45
57,60096,8,168,04-18-2020,22:45
58,60097,8,187,04-18-2020,22:45
59,60098,70,721,04-18-2020,22:45
60,60099,152,1058,04-18-2020,22:45
61,60101,112,1012,04-18-2020,22:45
62,60102,30,427,04-18-2020,22:45
63,60103,41,620,04-18-2020,22:45
64,60104,158,1085,04-18-2020,22:45
65,60106,107,747,04-18-2020,22:45
66,60107,80,755,04-18-2020,22:45
67,60108,36,566,04-18-2020,22:45
68,60110,38,403,04-18-2020,22:45
69,60115,22,482,04-18-2020,22:45
70,60118,16,178,04-18-2020,22:45
71,60119,8,164,04-18-2020,22:45
72,60120,71,596,04-18-2020,22:45
73,60123,71,736,04-18-2020,22:45
74,60124,16,252,04-18-2020,22:45
75,60126,80,1149,04-18-2020,22:45
76,60130,49,615,04-18-2020,22:45
77,60131,68,693,04-18-2020,22:45
78,60133,81,701,04-18-2020,22:45
79,60134,17,372,04-18-2020,22:45
80,60136,12,132,04-18-2020,22:45
81,60137,35,604,04-18-2020,22:45
82,60139,77,764,04-18-2020,22:45
83,60140,17,272,04-18-2020,22:45
84,60142,21,364,04-18-2020,22:45
85,60143,15,190,04-18-2020,22:45
86,60148,89,1059,04-18-2020,22:45
87,60153,119,1106,04-18-2020,22:45
88,60154,68,780,04-18-2020,22:45
89,60155,37,365,04-18-2020,22:45
90,60156,26,367,04-18-2020,22:45
91,60160,105,959,04-18-2020,22:45
92,60162,48,415,04-18-2020,22:45
93,60163,19,199,04-18-2020,22:45
94,60164,72,840,04-18-2020,22:45
95,60165,32,171,04-18-2020,22:45
96,60169,44,635,04-18-2020,22:45
97,60171,33,449,04-18-2020,22:45
98,60172,31,395,04-18-2020,22:45
99,60173,10,186,04-18-2020,22:45
100,60174,23,532,04-18-2020,22:45
101,60175,23,424,04-18-2020,22:45
102,60176,24,314,04-18-2020,22:45
103,60177,22,302,04-18-2020,22:45
104,60178,11,271,04-18-2020,22:45
105,60181,71,723,04-18-2020,22:45
