County,Tested,Positive_Cases,Deaths
Illinois,3235807,200427,7696
Adams,20586,581,7
Alexander,1212,37,0
Bond,3591,68,3
Boone,9484,770,23
Brown,1069,15,0
Bureau,4630,247,3
Calhoun,491,12,0
Carroll,1888,68,4
Cass,3427,245,11
Champaign,98397,1729,19
Chicago,763317,64994,2817
Christian,6725,144,4
Clark,2535,88,2
Clay,1809,31,0
Clinton,7460,433,17
Coles,13527,546,21
Cook,628180,48794,2126
Crawford,1723,31,0
Cumberland,2267,60,3
De Witt,2114,34,0
DeKalb,17724,960,31
Douglas,4580,133,3
DuPage,206224,12592,523
Edgar,1974,30,0
Edwards,454,24,0
Effingham,6057,192,1
Fayette,2896,73,3
Ford,2658,52,2
Franklin,6243,205,1
Fulton,5481,37,0
Gallatin,462,51,2
Greene,1958,66,0
Grundy,7001,353,5
Hamilton,838,31,0
Hancock,3366,72,1
Hardin,520,18,0
Henderson,651,15,0
Henry,9672,266,1
Iroquois,6555,274,12
Jackson,11679,743,20
Jasper,1513,61,7
Jefferson,5568,317,20
Jersey,3060,141,2
Jo Daviess,3141,136,1
Johnson,1534,71,0
Kane,111639,10027,305
Kankakee,32255,1829,69
Kendall,21731,1431,23
Knox,8908,331,1
Lake,164757,13047,450
LaSalle,18089,878,28
Lawrence,2517,52,0
Lee,4444,186,1
Livingston,5320,134,3
Logan,8086,179,1
Macon,21228,702,23
Macoupin,11110,209,3
Madison,45875,2855,79
Marion,6002,168,0
Marshall,1821,33,0
Mason,2702,58,0
Massac,1804,43,0
McDonough,4256,147,15
McHenry,48343,3308,114
McLean,33732,703,15
Menard,2944,58,0
Mercer,2589,77,4
Monroe,4475,334,13
Montgomery,7832,175,7
Morgan,8782,291,6
Moultrie,2440,100,0
Ogle,8796,421,5
Out Of State,37117,3,0
Peoria,50769,1758,37
Perry,3594,193,3
Piatt,4489,65,0
Pike,1711,30,0
Pope,342,11,0
Pulaski,902,101,1
Putnam,568,13,0
Randolph,6611,495,7
Richland,2728,24,0
Rock Island,38264,1796,38
Saline,3735,134,2
Sangamon,64380,1345,33
Schuyler,1190,19,0
Scott,1208,28,0
Shelby,3907,92,2
St. Clair,49057,4215,162
Stark,1061,7,0
Stephenson,7550,336,6
Tazewell,33547,612,9
Unassigned,51398,82,0
Union,3809,337,23
Vermilion,14947,257,2
Wabash,1222,44,0
Warren,2285,196,0
Washington,1679,69,1
Wayne,1897,67,2
White,1701,75,0
Whiteside,8911,368,17
Will,135545,9576,347
Williamson,14016,477,7
Winnebago,57506,3814,134
Woodford,6661,172,3
