Zip,Tested,Positive_Cases
60002,2324,145
60004,10754,426
60005,5560,272
60007,4792,401
60008,5182,414
60010,5784,268
60012,1247,108
60013,2564,184
60014,5687,439
60015,4389,224
60016,10893,1236
60018,6508,739
60020,1441,67
60021,517,33
60022,1263,45
60025,6952,496
60026,4253,207
60029,133,12
60030,5191,272
60031,6496,443
60033,2089,276
60035,6665,324
60040,1202,184
60041,1182,64
60042,929,65
60043,385,20
60044,2082,126
60045,3558,147
60046,4287,301
60047,8352,608
60048,4124,221
60050,4111,286
60051,2740,168
60053,4544,353
60056,8188,735
60060,5056,535
60061,3686,235
60062,9399,398
60064,2957,703
60067,7359,318
60068,6481,386
60069,3322,117
60070,3109,292
60071,400,22
60073,10232,1265
60074,5277,561
60076,6979,619
60077,5365,464
60079,148,14
60081,925,64
60083,1584,127
60084,2085,205
60085,15662,2718
60087,5746,814
60088,944,352
60089,5923,372
60090,6866,905
60091,4002,200
60093,3303,209
60096,814,65
60097,1200,60
60098,5640,453
60099,5643,678
60101,6394,899
60102,3581,260
60103,5821,377
60104,4051,497
60106,5118,590
60107,6814,747
60108,5653,410
60109,369,13
60110,4908,829
60112,519,41
60115,5663,374
60118,1876,110
60119,1165,61
60120,8398,1519
60123,8594,1033
60124,2847,194
60126,8613,506
60130,5004,194
60131,3189,411
60133,6637,839
60134,3659,245
60135,846,72
60136,932,91
60137,5598,268
60139,5800,737
60140,2054,135
60141,1138,25
60142,3496,175
60143,2003,217
60145,214,12
60146,290,15
60148,7818,514
60150,182,6
60151,401,24
60152,1409,91
60153,4594,601
60154,3474,244
60155,1425,202
60156,3051,220
60157,298,17
60160,4937,822
60162,2369,191
60163,959,112
60164,6166,591
60165,871,197
60169,4976,475
60171,1748,155
60172,3718,283
60173,1435,127
60174,4887,272
60175,2723,177
60176,1657,207
60177,3591,381
60178,2344,112
60180,155,6
60181,4144,342
60184,265,12
60185,6092,847
60187,5327,207
60188,6761,608
60189,4354,166
60190,2079,91
60191,2185,253
60192,1656,83
60193,6126,337
60194,3831,214
60195,487,26
60201,8401,374
60202,6520,483
60203,834,43
60301,584,37
60302,6876,292
60304,3159,105
60305,2017,102
60401,1466,69
60402,12697,1633
60403,3299,270
60404,2864,153
60406,5172,616
60408,881,31
60409,8200,790
60410,1535,71
60411,11849,1189
60415,2727,268
60416,895,39
60417,3102,215
60418,1142,149
60419,5636,514
60420,535,14
60421,382,17
60422,2015,122
60423,4002,242
60424,211,6
60425,2549,206
60426,5972,584
60428,2592,270
60429,3736,297
60430,4011,323
60431,4375,292
60432,3505,537
60433,3585,371
60434,531,189
60435,9804,824
60436,3388,297
60438,5346,531
60439,3651,171
60440,11343,1015
60441,3826,291
60442,1074,67
60443,4726,457
60445,3342,239
60446,7248,641
60447,1599,72
60448,2688,206
60449,1511,98
60450,2702,113
60451,3671,229
60452,3954,316
60453,10382,1002
60455,3629,426
60456,663,59
60457,2368,181
60458,2115,209
60459,4915,534
60461,1058,80
60462,6364,493
60463,2491,289
60464,1430,86
60465,2433,340
60466,5256,572
60467,3330,253
60468,780,44
60469,1037,129
60471,2984,266
60472,1098,81
60473,6345,539
60475,1498,116
60476,521,37
60477,5240,363
60478,4423,423
60480,924,52
60481,1831,54
60482,1339,141
60484,1288,149
60487,3154,233
60490,3462,197
60491,2500,211
60501,2054,329
60502,2805,164
60503,1927,106
60504,5607,435
60505,13199,2176
60506,11775,1274
60510,4380,189
60512,157,6
60513,3773,224
60514,1555,93
60515,3850,157
60516,4120,199
60517,4951,300
60518,278,16
60520,333,14
60521,3193,249
60523,1796,129
60525,7512,414
60526,4226,126
60527,6216,358
60531,201,10
60532,4229,193
60534,1971,210
60538,4306,385
60540,5964,202
60541,302,14
