Zip,Positive Cases,Deaths
60002,26,N/A
60004,88,N/A
60005,32,N/A
60007,45,N/A
60008,25,N/A
60010,24,N/A
60012,14,N/A
60013,29,N/A
60014,27,N/A
60015,61,N/A
60016,160,N/A
60018,61,N/A
60020,8,N/A
60021,6,N/A
60022,15,N/A
60025,123,N/A
60026,51,N/A
60030,30,N/A
60031,59,N/A
60035,83,N/A
60040,6,N/A
60042,7,N/A
60043,13,N/A
60044,28,N/A
60045,67,N/A
60046,41,N/A
60047,34,N/A
60048,40,N/A
60050,26,N/A
60051,18,N/A
60053,63,N/A
60056,80,N/A
60060,52,N/A
60061,33,N/A
60062,75,N/A
60064,74,N/A
60067,23,N/A
60068,85,N/A
60069,16,N/A
60070,16,N/A
60073,113,N/A
60074,47,N/A
60076,136,N/A
60077,116,N/A
60081,13,N/A
60083,18,N/A
60084,38,N/A
60085,310,N/A
60087,94,N/A
60088,17,N/A
60089,53,N/A
60090,71,N/A
60091,63,N/A
60093,75,N/A
60098,45,N/A
60099,95,N/A
60101,84,N/A
60102,29,N/A
60103,32,N/A
60104,133,N/A
60106,70,N/A
60107,56,N/A
60108,26,N/A
60110,18,N/A
60115,19,N/A
60118,10,N/A
60119,8,N/A
60120,51,N/A
60123,50,N/A
60124,13,N/A
60126,59,N/A
60130,44,N/A
60131,48,N/A
60133,56,N/A
60134,14,N/A
60136,11,N/A
60137,31,N/A
60139,51,N/A
60140,12,N/A
60142,17,N/A
60143,12,N/A
60148,70,N/A
60153,96,N/A
60154,64,N/A
60155,28,N/A
60156,19,N/A
60160,66,N/A
60162,30,N/A
60163,10,N/A
60164,48,N/A
60165,19,N/A
60169,28,N/A
60171,26,N/A
60172,25,N/A
60173,8,N/A
60174,17,N/A
60175,22,N/A
60176,18,N/A
60177,12,N/A
60178,9,N/A
60181,60,N/A
60185,43,N/A
60187,9,N/A
60188,72,N/A
60189,26,N/A
60191,12,N/A
60192,11,N/A
60193,44,N/A
60194,24,N/A
60201,94,N/A
60202,80,N/A
60203,14,N/A
60301,10,N/A
60302,67,N/A
60304,23,N/A
60305,11,N/A
60401,20,N/A
60402,176,N/A
60403,48,N/A
60404,31,N/A
60406,65,N/A
60409,151,N/A
60410,10,N/A
60411,213,N/A
60415,40,N/A
60417,47,N/A
60418,22,N/A
60419,107,N/A
60422,43,N/A
60423,55,N/A
60425,43,N/A
60426,99,N/A
60428,62,N/A
60429,81,N/A
60430,75,N/A
60431,58,N/A
60432,43,N/A
60433,56,N/A
60434,18,N/A
60435,162,N/A
60436,34,N/A
60438,91,N/A
60439,32,N/A
60440,111,N/A
60441,69,N/A
60442,16,N/A
60443,124,N/A
60445,33,N/A
60446,82,N/A
60447,6,N/A
60448,34,N/A
60449,23,N/A
60450,13,N/A
60451,36,N/A
60452,45,N/A
60453,129,N/A
60455,62,N/A
60456,8,N/A
60457,27,N/A
60458,17,N/A
60459,59,N/A
60461,27,N/A
60462,72,N/A
60463,37,N/A
60464,11,N/A
60465,35,N/A
60466,156,N/A
60467,48,N/A
60468,8,N/A
60469,11,N/A
60471,71,N/A
60472,27,N/A
60473,122,N/A
60475,34,N/A
60477,51,N/A
60478,90,N/A
60480,8,N/A
60482,16,N/A
60484,41,N/A
60487,38,N/A
60490,51,N/A
60491,47,N/A
60501,18,N/A
60502,20,N/A
60503,10,N/A
60504,36,N/A
60505,65,N/A
60506,84,N/A
60510,12,N/A
60513,36,N/A
60514,21,N/A
60515,22,N/A
60516,28,N/A
60517,43,N/A
60521,22,N/A
60523,26,N/A
60525,57,N/A
60526,16,N/A
60527,102,N/A
60532,27,N/A
60534,17,N/A
60538,17,N/A
60540,21,N/A
60542,14,N/A
60543,38,N/A
60544,40,N/A
60545,9,N/A
60546,36,N/A
60551,8,N/A
60554,7,N/A
60555,9,N/A
60558,11,N/A
60559,47,N/A
60560,17,N/A
60561,41,N/A
60563,35,N/A
60564,42,N/A
60565,51,N/A
60585,28,N/A
60586,78,N/A
60601,33,N/A
60605,54,N/A
60606,13,N/A
60607,91,N/A
60608,262,N/A
60609,177,N/A
60610,94,N/A
60611,63,N/A
60612,227,N/A
60613,136,N/A
60614,157,N/A
60615,137,N/A
60616,142,N/A
60617,285,N/A
60618,198,N/A
60619,318,N/A
60620,376,N/A
60621,139,N/A
60622,163,N/A
60623,297,N/A
60624,223,N/A
60625,203,N/A
60626,160,N/A
60628,298,N/A
60629,284,N/A
60630,126,N/A
60631,80,N/A
60632,193,N/A
60633,33,N/A
60634,239,N/A
60636,176,N/A
60637,172,N/A
60638,158,N/A
60639,276,N/A
60640,159,N/A
60641,171,N/A
60642,35,N/A
60643,265,N/A
60644,277,N/A
60645,339,N/A
60646,62,N/A
60647,149,N/A
60649,210,N/A
60651,261,N/A
60652,161,N/A
60653,159,N/A
60654,45,N/A
60655,105,N/A
60656,69,N/A
60657,145,N/A
60659,185,N/A
60660,108,N/A
60661,18,N/A
60706,57,N/A
60707,118,N/A
60712,60,N/A
60714,93,N/A
60803,42,N/A
60804,228,N/A
60805,59,N/A
60827,105,N/A
60901,124,N/A
60914,39,N/A
60915,7,N/A
60950,14,N/A
60954,8,N/A
60964,9,N/A
61008,7,N/A
61021,9,N/A
61032,6,N/A
61068,14,N/A
61081,13,N/A
61101,8,N/A
61102,11,N/A
61103,10,N/A
61104,6,N/A
61107,7,N/A
61108,13,N/A
61109,12,N/A
61114,7,N/A
61201,21,N/A
61241,8,N/A
61244,36,N/A
61264,6,N/A
61265,32,N/A
61282,8,N/A
61611,7,N/A
61614,7,N/A
61615,9,N/A
61701,29,N/A
61704,15,N/A
61705,7,N/A
61761,17,N/A
61764,9,N/A
61801,11,N/A
61802,14,N/A
61821,11,N/A
61822,23,N/A
61853,7,N/A
61874,6,N/A
61910,6,N/A
62002,18,N/A
62025,16,N/A
62034,8,N/A
62035,6,N/A
62040,24,N/A
62060,6,N/A
62201,7,N/A
62203,7,N/A
62204,6,N/A
62206,16,N/A
62207,9,N/A
62208,15,N/A
62220,10,N/A
62221,21,N/A
62223,15,N/A
62226,30,N/A
62233,22,N/A
62234,12,N/A
62236,23,N/A
62258,9,N/A
62265,7,N/A
62269,18,N/A
62278,8,N/A
62298,20,N/A
62301,10,N/A
