Zip,Tested,Positive_Cases
60002,1569,118
60004,7732,371
60005,3683,218
60007,3316,373
60008,3914,353
60010,3211,166
60012,764,88
60013,1469,116
60014,3616,313
60015,2597,192
60016,7726,1127
60018,4481,683
60020,954,42
60021,324,22
60022,690,31
60025,4463,387
60026,2306,157
60029,83,8
60030,3187,202
60031,4032,369
60033,1399,230
60035,3924,286
60040,822,178
60041,770,53
60042,570,46
60043,262,19
60044,1251,106
60045,2236,131
60046,2666,221
60047,4204,449
60048,2330,165
60050,2691,240
60051,1804,132
60053,2670,324
60056,5535,668
60060,3187,461
60061,2405,183
60062,5099,348
60064,2193,665
60067,4647,249
60068,3892,335
60069,1782,94
60070,1863,272
60071,248,15
60073,7157,1108
60074,3724,478
60076,4912,534
60077,3687,430
60079,93,12
60081,605,43
60083,1050,104
60084,1372,192
60085,11140,2463
60087,4107,687
60088,581,140
60089,3666,325
60090,4771,831
60091,2365,170
60093,2084,188
60096,495,41
60097,762,44
60098,3500,351
60099,3899,592
60101,4673,833
60102,2304,183
60103,3759,310
60104,2976,439
60106,3251,529
60107,4714,682
60108,3448,341
60109,334,11
60110,3618,756
60112,376,29
60115,4122,301
60118,1204,88
60119,774,39
60120,6343,1405
60123,6090,953
60124,1819,141
60126,4715,311
60130,3055,169
60131,2344,364
60133,4780,780
60134,2392,187
60135,592,47
60136,587,64
60137,3208,168
60139,4178,665
60140,1377,104
60141,820,26
60142,2223,117
60143,1505,201
60145,143,7
60146,210,9
60148,4980,405
60151,287,19
60152,911,85
60153,3336,531
60154,2390,216
60155,1068,181
60156,1938,166
60157,198,12
60160,3908,777
60162,1597,173
60163,682,100
60164,4440,544
60165,708,185
60169,3422,417
60171,1192,133
60172,2323,245
60173,980,111
60174,2996,200
60175,1761,112
60176,1138,169
60177,2166,289
60178,1630,70
60181,2753,285
60184,167,8
60185,4363,770
60187,3061,158
60188,4356,516
60189,2518,122
60190,1289,58
60191,1535,228
60192,1071,70
60193,4139,284
60194,2629,179
60195,315,21
60201,5175,341
60202,4134,458
60203,551,35
60301,379,30
60302,4076,230
60304,1687,86
60305,1011,60
60401,1025,43
60402,9239,1472
60403,2334,238
60404,2077,126
60406,3881,540
60408,634,25
60409,5614,645
60410,1066,54
60411,8595,988
60415,1987,216
60416,544,20
60417,2022,177
60418,769,120
60419,3912,424
60420,332,11
60421,275,14
60422,1297,91
60423,2641,166
60424,129,6
60425,1848,181
60426,4305,511
60428,1915,227
60429,2819,242
60430,2754,291
60431,3247,240
60432,2803,481
60433,2833,330
60434,315,167
60435,7421,733
60436,2587,267
60438,3505,422
60439,1895,114
60440,8222,925
60441,2642,231
60442,704,49
60443,3330,391
60445,2169,173
60446,5163,571
60447,1114,60
60448,1848,168
60449,1031,82
60450,1519,69
60451,2437,140
60452,2696,254
60453,7019,839
60455,2114,347
60456,474,56
60457,1365,143
60458,1478,157
60459,3473,458
60461,765,65
60462,3808,379
60463,1580,255
60464,892,59
60465,1655,278
60466,3845,506
60467,2141,197
60468,505,38
60469,776,91
60471,1978,228
60472,799,72
60473,4263,443
60475,1057,92
60476,307,27
60477,3474,269
60478,3164,351
60480,600,40
60481,1132,33
60482,943,109
60484,920,125
60487,2044,167
60490,2296,153
60491,1525,162
60501,1580,307
60502,1770,106
60503,1234,68
60504,3714,372
60505,10363,2052
60506,8407,1173
60510,2794,129
60513,2588,174
60514,945,52
60515,2124,114
60516,2572,148
60517,3305,248
60520,215,10
60521,1899,194
60523,1206,112
60525,4558,319
60526,2778,91
60527,3793,265
60532,2744,144
60534,1415,191
60538,2963,333
60540,3634,155
60541,199,11
60542,2100,207
60543,3531,302
60544,3169,192
60545,1495,157
60546,3115,175
60548,1483,103
60551,251,29
60552,322,10
60554,993,51
60555,1394,142
60558,1204,56
60559,2780,348
60560,1993,122
60561,2306,139
60563,3728,196
60564,3278,197
60565,3144,206
60585,1993,118
60586,4835,405
60601,1354,82
60602,280,15
60603,140,8
60604,201,24
60605,3222,220
60606,1085,39
60607,3504,480
60608,10626,1839
60609,9491,1864
60610,4599,296
60611,4655,183
60612,6111,729
60613,5117,418
60614,7522,554
60615,5581,419
60616,7063,494
60617,11481,1229
60618,11596,1434
60619,11154,990
60620,10541,1178
60621,4529,578
60622,6970,696
60623,13036,3515
60624,5509,916
60625,10438,1522
60626,9304,1122
60628,9481,1174
60629,15487,3502
60630,6803,867
60631,4812,348
60632,12531,3284
60633,2386,295
60634,12233,1566
60636,4695,789
60637,7551,665
